"","key_pin","pi_ns","property_use","address","class","age","land_sqft","bldg_sqft","net_rentable_sf","investment_rating","adj_rent_sf","pgi","v_c","exp","noi","cap_rate","inc_mv_sf","adj_sale_comp_sf","market_value_sf","excess_land_value","market_value_with_excess_land","sheet_name","file_name"
"53","08-08-402-043-0000","08-08-402-043-0000","Bank","2701 W ALGONQUIN, ROLLING MEADOWS","5-28","42","49291","8000","8000","C","19","152000","0.05","0.1","129960","0.075","216.6","213.75","215.175","146973.5","1868373.5","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"54","08-08-403-005-0000","08-08-403-005-0000","Bank","1801 W ALGONQUIN, ROLLING MEADOWS","5-28","9","42178","4148","4148","C","20","82960","0.05","0.1","70930.8","0.075","228","225","226.5","217481","1157003","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"55","08-09-215-008-0000","08-09-215-008-0000","Bank","1104 S ARLINGTON HEIGHTS, ARLINGTON HEIGHTS","5-28","9","30138","4507","4507","C","20","90140","0.05","0.1","77069.7","0.075","228","225","226.5","102935","1123770.5","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"56","08-09-300-019-0000","08-09-300-019-0000","Bank","850 W ALGONQUIN, ROLLING MEADOWS","5-28","8","30036","4598","4598","B","24.2","111271.6","0.05","0.1","95137.218","0.07","295.585714285714","272.25","283.917857142857","98974","1404428.30714286","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"57","08-09-302-026-0000","08-09-302-026-0000","Bank","1430 W GOLF, ROLLING MEADOWS","5-28","16","38616","3375","3375","C","18","60750","0.05","0.1","51941.25","0.075","205.2","202.5","203.85","213486","901479.75","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"58","08-09-302-039-0000","08-09-302-039-0000","Bank","1401  ALGONQUIN, ROLLING MEADOWS","5-28","0","26305","3864","3864","C","21","81144","0.05","0.1","69378.12","0.075","239.4","236.25","237.825","92216.5","1011172.3","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"59","08-12-100-012-0000","08-12-100-012-0000","Bank","299 W CENTRAL, MOUNT PROSPECT","5-28","4","34361","6459","6459","C","19","122721","0.05","0.1","104926.455","0.075","216.6","213.75","215.175","72462.5","1462277.825","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"60","08-12-115-006-0000","08-12-115-006-0000","Bank","320 E NORTHWEST, MOUNT PROSPECT","5-28","29","24980","4723","4723","C","20","94460","0.05","0.1","80763.3","0.075","228","225","226.5","51748","1121507.5","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"61","08-12-120-036-0000","08-12-120-036-0000","Bank","15 E PROSPECT, MOUNT PROSPECT","5-28","40","24011","5125","5125","C","20","102500","0.05","0.1","87637.5","0.075","228","225","226.5","0","1160812.5","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"62","08-14-401-030-0000","08-14-401-030-0000","Bank","1190 S ELMHURST, MOUNT PROSPECT","5-28","43","57817","12000","12000","C","18","216000","0.05","0.1","184680","0.075","205.2","202.5","203.85","0","2446200","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"63","08-14-403-021-0000","08-14-403-021-0000","Bank","1450 N ELMHURST, MOUNT PROSPECT","5-28","13","29006","4150","4150","C","20","83000","0.05","0.1","70965","0.075","228","225","226.5","105451","1045426","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"64","08-14-403-024-0000","08-14-403-024-0000","Bank","1590 S ELMHURST, MOUNT PROSPECT","5-28","13","26522","2884","2884","C","20","57680","0.05","0.1","49316.4","0.075","228","225","226.5","127381","780607","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"65","08-15-100-010-0000","08-15-100-010-0000","Bank","301 E GOLF, ARLINGTON HEIGHTS","5-28","24","63541","6037","6037","C","17.1","103232.7","0.05","0.1","88263.9585","0.075","194.94","192.375","193.6575","334840.5","1503950.8275","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"66","08-16-200-111-0000","08-16-200-111-0000","Bank","19 W GOLF, ARLINGTON HEIGHTS","5-28","7","30425","3366","3366","B","31.46","105894.36","0.05","0.1","90539.6778","0.07","384.261428571429","353.925","369.093214285714","144168.5","1386536.25928571","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"67","08-16-401-045-0000","08-16-401-045-0000","Bank","15 E ALGONQUIN, ARLINGTON HEIGHTS","5-28","44","21239","2009","2009","C","23.1","46407.9","0.05","0.1","39678.7545","0.075","263.34","259.875","261.6075","112225.5","637794.9675","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"68","08-21-401-037-0000","08-21-401-037-0000","Bank","450 E HIGGINS, ELK GROVE VILLAGE","5-28","41","48337","11382","11382","C","17.1","194632.2","0.05","0.1","166410.531","0.075","194.94","192.375","193.6575","0","2204209.665","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"69","08-21-401-042-0000","08-21-401-042-0000","Bank","100 E HIGGINS, ELK GROVE VILLAGE","5-28","47","105833","17768","17768","C","18","319824","0.05","0.1","273449.52","0.075","205.2","202.5","203.85","295468.5","3917475.3","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"70","08-22-301-065-0000","08-22-301-065-0000","Bank","900 E HIGGINS, ELK GROVE VILLAGE","5-28","20","55803","4244","4244","C","18","76392","0.05","0.1","65315.16","0.075","205.2","202.5","203.85","330029.5","1195168.9","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"71","08-23-401-028-0000","08-23-401-028-0000","Bank","1800 N ELMHURST, MOUNT PROSPECT","5-28","9","46765","5325","5325","C","20","106500","0.05","0.1","91057.5","0.075","228","225","226.5","216452.5","1422565","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"72","08-23-402-015-0000","08-23-402-015-0000","Bank","2100 S ELMHURST, MOUNT PROSPECT","5-28","28","86003","14423","14423","C","18","259614","0.05","0.1","221969.97","0.075","205.2","202.5","203.85","240643.5","3180772.05","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"73","08-24-100-032-0000","08-24-100-032-0000","Bank","845 S ELMHURST, DES PLAINES","5-28","8","28251","4172","4172","C","20","83440","0.05","0.1","71341.2","0.075","228","225","226.5","98285.5","1043243.5","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"74","08-31-400-019-0000","08-31-400-019-0000","Bank","1100 W DEVON, ELK GROVE VILLAGE","5-28","36","45120","4176","4176","C","22","91872","0.05","0.1","78550.56","0.075","250.8","247.5","249.15","241536","1281986.4","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"75","08-32-200-031-0000","08-32-200-031-0000","Bank","70  BIESTERFIELD, ELK GROVE VILLAGE","5-28","30","40156","4332","4332","C","20","86640","0.05","0.1","74077.2","0.075","228","225","226.5","194038","1175236","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"76","08-32-422-046-0000","08-32-422-046-0000","Bank","75  TURNER, ELK GROVE VILLAGE","5-28","30","51026","9680","9680","C","15.39","148975.2","0.05","0.1","127373.796","0.075","175.446","173.1375","174.29175","104601","1791745.14","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"77","08-23-203-040-0000","08-23-203-040-0000","BanquetHall","1700 S ELMHURST, MOUNT PROSPECT","5-92","0","167561","24172","21912","C","11","241032","0","0","241032","0.08","137.5","105","121.25","0","2656830","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"78","08-26-100-009-0000","08-26-100-009-0000","BanquetHall","1905 E HIGGINS, ELK GROVE VILLAGE","5-97","50","195584","22545","22545","C","12.1","272794.5","0","0","272794.5","0.08","151.25","115.5","133.375","895934","3902873.375","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"79","08-21-403-030-0000","08-21-403-030-0000","BowlingAlley","53 S ARLINGTON HEIGHTS, ELK GROVE VILLAGE","5-32","57","69611","37974","37974","C","8","303792","0.1","0.1","246071.52","0.09","72","70","71","0","2696154","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"80","08-08-301-044-0000","08-08-301-044-0000 08-08-301-045-0000 08-08-301-069-0000","CarWash","2765 W ALGONQUIN, ROLLING MEADOWS","5-97","1","59534","4780","4780","B","16.94","80973.2","0","0.1","72875.88","0.07","217.8","181.5","199.65","343519","1297846","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"81","08-08-403-028-0000","08-08-403-028-0000","CarWash","5600  NEW WILKE, ROLLING MEADOWS","5-97","28","28166","7252","7252","C","14","101528","0","0.1","91375.2","0.08","157.5","150","153.75","0","1114995","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"82","08-12-122-031-0000","08-12-122-031-0000 08-12-121-057-0000","CarWash","113 E PROSPECT, MOUNT PROSPECT","5-97","59","69601","9375","9375","C","14","131250","0","0.1","118125","0.08","157.5","150","153.75","272858.5","1714264.75","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"83","08-16-200-012-0000","08-16-200-012-0000","CarWash","2100 S ARLINGTON HEIGHTS, ARLINGTON HEIGHTS","5-97","49","38559","4900","4900","C","14","68600","0","0.1","61740","0.08","157.5","150","153.75","161151.5","914526.5","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"84","08-22-400-064-0000","08-22-400-064-0000 08-22-400-055-0000","CarWash","1140 E HIGGINS, ELK GROVE VILLAGE","5-22","29","63289","4455","4455","C","14","62370","0","0.1","56133","0.08","157.5","150","153.75","386486.5","1071442.75","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"85","08-24-300-012-0000","08-24-300-012-0000","CarWash","771 W ALGONQUIN, DES PLAINES","5-97","46","39900","6821","6821","C","14","95494","0","0.1","85944.6","0.08","157.5","150","153.75","107236","1155964.75","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"86","08-31-400-026-0000","08-31-400-026-0000","CarWash","1191  NERGE, ELK GROVE VILLAGE","5-97","33","42657","8086","8086","C","13.3","107543.8","0","0.1","96789.42","0.08","149.625","142.5","146.0625","0","1181061.375","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"87","08-22-304-014-0000","08-22-304-014-0000","DataCenter","200  INNOVATION, ELK GROVE VILLAGE","5-97","0","352681","165128","165128","A","26.62","4395707.36","0.05","0.15","3549533.6932","0.05","429.913","423.5","426.7065","0","70461190.932","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
"88","08-23-102-005-0000","08-23-102-005-0000","DataCenter","1305 E ALGONQUIN, MOUNT PROSPECT","5-92","0","572250","62016","62016","A","15.4","955046.4","0.05","0.15","771199.968","0.05","248.71","245","246.855","2755581","18064540.68","Special","2022.ICValuationModels.T16.ElkGrove Hardcode.xlsx"
