keypin_concat,keypin,pins,has_range,pins2,pins3,check_me,Alea_added
02343000190000,02-34-300-019-0000,02-34-300-019-0000,0,02-34-300-019-0000,02-34-300-019-0000,0,0
03021000500000,03-02-100-050-0000,"03-02-100-050-0000, 03-03-203-002-0000, 03-03-203-003-0000, 03-03-203-004-0000, 03-03-203-005-0000, 03-03-203-006-0000, 03-03-203-007-0000, 03-03-203-008-0000, 03-03-203-009-0000",0,03-02-100-050-0000,03-02-100-050-0000,0,0
03021000500000,03-02-100-050-0000,"03-02-100-050-0000, 03-03-203-002-0000, 03-03-203-003-0000, 03-03-203-004-0000, 03-03-203-005-0000, 03-03-203-006-0000, 03-03-203-007-0000, 03-03-203-008-0000, 03-03-203-009-0000",0,03-03-203-002-0000,03-03-203-002-0000,0,0
03021000500000,03-02-100-050-0000,"03-02-100-050-0000, 03-03-203-002-0000, 03-03-203-003-0000, 03-03-203-004-0000, 03-03-203-005-0000, 03-03-203-006-0000, 03-03-203-007-0000, 03-03-203-008-0000, 03-03-203-009-0000",0,03-03-203-003-0000,03-03-203-003-0000,0,0
03021000500000,03-02-100-050-0000,"03-02-100-050-0000, 03-03-203-002-0000, 03-03-203-003-0000, 03-03-203-004-0000, 03-03-203-005-0000, 03-03-203-006-0000, 03-03-203-007-0000, 03-03-203-008-0000, 03-03-203-009-0000",0,03-03-203-004-0000,03-03-203-004-0000,0,0
03021000500000,03-02-100-050-0000,"03-02-100-050-0000, 03-03-203-002-0000, 03-03-203-003-0000, 03-03-203-004-0000, 03-03-203-005-0000, 03-03-203-006-0000, 03-03-203-007-0000, 03-03-203-008-0000, 03-03-203-009-0000",0,03-03-203-005-0000,03-03-203-005-0000,0,0
03021000500000,03-02-100-050-0000,"03-02-100-050-0000, 03-03-203-002-0000, 03-03-203-003-0000, 03-03-203-004-0000, 03-03-203-005-0000, 03-03-203-006-0000, 03-03-203-007-0000, 03-03-203-008-0000, 03-03-203-009-0000",0,03-03-203-006-0000,03-03-203-006-0000,0,0
03021000500000,03-02-100-050-0000,"03-02-100-050-0000, 03-03-203-002-0000, 03-03-203-003-0000, 03-03-203-004-0000, 03-03-203-005-0000, 03-03-203-006-0000, 03-03-203-007-0000, 03-03-203-008-0000, 03-03-203-009-0000",0,03-03-203-007-0000,03-03-203-007-0000,0,0
03021000500000,03-02-100-050-0000,"03-02-100-050-0000, 03-03-203-002-0000, 03-03-203-003-0000, 03-03-203-004-0000, 03-03-203-005-0000, 03-03-203-006-0000, 03-03-203-007-0000, 03-03-203-008-0000, 03-03-203-009-0000",0,03-03-203-008-0000,03-03-203-008-0000,0,0
03021000500000,03-02-100-050-0000,"03-02-100-050-0000, 03-03-203-002-0000, 03-03-203-003-0000, 03-03-203-004-0000, 03-03-203-005-0000, 03-03-203-006-0000, 03-03-203-007-0000, 03-03-203-008-0000, 03-03-203-009-0000",0,03-03-203-009-0000,03-03-203-009-0000,0,0
03023160400000,03-02-316-040-0000,03-02-316-040-0000,0,03-02-316-040-0000,03-02-316-040-0000,0,0
03032000260000,03-03-200-026-0000,03-03-200-026-0000,0,03-03-200-026-0000,03-03-200-026-0000,0,0
03034010120000,03-03-401-012-0000,"03-03-401-012-0000, 03-03-401-013-0000",0,03-03-401-012-0000,03-03-401-012-0000,0,0
03034010120000,03-03-401-012-0000,"03-03-401-012-0000, 03-03-401-013-0000",0,03-03-401-013-0000,03-03-401-013-0000,0,0
03061080020000,03-06-108-002-0000,"03-06-108-002-0000, 03-06-108-003-0000",0,03-06-108-002-0000,03-06-108-002-0000,0,0
03061080020000,03-06-108-002-0000,"03-06-108-002-0000, 03-06-108-003-0000",0,03-06-108-003-0000,03-06-108-003-0000,0,0
03063020150000,03-06-302-015-0000,03-06-302-015-0000,0,03-06-302-015-0000,03-06-302-015-0000,0,0
03063030090000,03-06-303-009-0000,03-06-303-009-0000,0,03-06-303-009-0000,03-06-303-009-0000,0,0
03063040010000,03-06-304-001-0000,"03-06-304-001-0000, 03-06-304-002-0000, 03-06-304-012-0000, 03-06-304-013-0000",0,03-06-304-001-0000,03-06-304-001-0000,0,0
03063040010000,03-06-304-001-0000,"03-06-304-001-0000, 03-06-304-002-0000, 03-06-304-012-0000, 03-06-304-013-0000",0,03-06-304-002-0000,03-06-304-002-0000,0,0
03063040010000,03-06-304-001-0000,"03-06-304-001-0000, 03-06-304-002-0000, 03-06-304-012-0000, 03-06-304-013-0000",0,03-06-304-012-0000,03-06-304-012-0000,0,0
03063040010000,03-06-304-001-0000,"03-06-304-001-0000, 03-06-304-002-0000, 03-06-304-012-0000, 03-06-304-013-0000",0,03-06-304-013-0000,03-06-304-013-0000,0,0
03063040070000,03-06-304-007-0000,"03-06-304-007-0000, 03-06-304-016-0000",0,03-06-304-007-0000,03-06-304-007-0000,0,0
03063040070000,03-06-304-007-0000,"03-06-304-007-0000, 03-06-304-016-0000",0,03-06-304-016-0000,03-06-304-016-0000,0,0
03063040180000,03-06-304-018-0000,03-06-304-018-0000,0,03-06-304-018-0000,03-06-304-018-0000,0,0
03071000150000,03-07-100-015-0000,03-07-100-015-0000,0,03-07-100-015-0000,03-07-100-015-0000,0,0
03072000540000,03-07-200-054-0000,03-07-200-054-0000,0,03-07-200-054-0000,03-07-200-054-0000,0,0
03072020130000,03-07-202-013-0000,03-07-202-013-0000,0,03-07-202-013-0000,03-07-202-013-0000,0,0
03072040110000,03-07-204-011-0000,03-07-204-011-0000,0,03-07-204-011-0000,03-07-204-011-0000,0,0
03083160040000,03-08-316-004-0000,03-08-316-004-0000,0,03-08-316-004-0000,03-08-316-004-0000,0,0
03083160060000,03-08-316-006-0000,03-08-316-006-0000,0,03-08-316-006-0000,03-08-316-006-0000,0,0
03104020110000,03-10-402-011-0000,03-10-402-011-0000,0,03-10-402-011-0000,03-10-402-011-0000,0,0
03104020281001,03-10-402-028-1001,03-10-402-028-1001,0,03-10-402-028-1001,03-10-402-028-1001,0,0
03104020281002,03-10-402-028-1002,03-10-402-028-1002,0,03-10-402-028-1002,03-10-402-028-1002,0,0
03104020281003,03-10-402-028-1003,03-10-402-028-1003,0,03-10-402-028-1003,03-10-402-028-1003,0,0
03111000310000,03-11-100-031-0000,03-11-100-031-0000,0,03-11-100-031-0000,03-11-100-031-0000,0,0
03113000060000,03-11-300-006-0000,03-11-300-006-0000,0,03-11-300-006-0000,03-11-300-006-0000,0,0
03113030260000,03-11-303-026-0000,"03-11-303-026-0000, 03-11-410-001-0000, 03-11-410-002-0000",0,03-11-303-026-0000,03-11-303-026-0000,0,0
03113030260000,03-11-303-026-0000,"03-11-303-026-0000, 03-11-410-001-0000, 03-11-410-002-0000",0,03-11-410-001-0000,03-11-410-001-0000,0,0
03113030260000,03-11-303-026-0000,"03-11-303-026-0000, 03-11-410-001-0000, 03-11-410-002-0000",0,03-11-410-002-0000,03-11-410-002-0000,0,0
03113040010000,03-11-304-001-0000,"03-11-304-001-0000, 03-11-304-002-0000, 03-11-304-003-0000",0,03-11-304-001-0000,03-11-304-001-0000,0,0
03113040010000,03-11-304-001-0000,"03-11-304-001-0000, 03-11-304-002-0000, 03-11-304-003-0000",0,03-11-304-002-0000,03-11-304-002-0000,0,0
03113040010000,03-11-304-001-0000,"03-11-304-001-0000, 03-11-304-002-0000, 03-11-304-003-0000",0,03-11-304-003-0000,03-11-304-003-0000,0,0
03113040040000,03-11-304-004-0000,03-11-304-004-0000,0,03-11-304-004-0000,03-11-304-004-0000,0,0
03113050120000,03-11-305-012-0000,"03-11-305-012-0000, 03-11-305-022-0000",0,03-11-305-012-0000,03-11-305-012-0000,0,0
03113050120000,03-11-305-012-0000,"03-11-305-012-0000, 03-11-305-022-0000",0,03-11-305-022-0000,03-11-305-022-0000,0,0
03113050130000,03-11-305-013-0000,"03-11-305-013-0000, 03-11-305-014-0000, 03-11-305-015-0000, 03-11-305-016-0000, 03-11-305-017-0000",0,03-11-305-013-0000,03-11-305-013-0000,0,0
03113050130000,03-11-305-013-0000,"03-11-305-013-0000, 03-11-305-014-0000, 03-11-305-015-0000, 03-11-305-016-0000, 03-11-305-017-0000",0,03-11-305-014-0000,03-11-305-014-0000,0,0
03113050130000,03-11-305-013-0000,"03-11-305-013-0000, 03-11-305-014-0000, 03-11-305-015-0000, 03-11-305-016-0000, 03-11-305-017-0000",0,03-11-305-015-0000,03-11-305-015-0000,0,0
03113050130000,03-11-305-013-0000,"03-11-305-013-0000, 03-11-305-014-0000, 03-11-305-015-0000, 03-11-305-016-0000, 03-11-305-017-0000",0,03-11-305-016-0000,03-11-305-016-0000,0,0
03113050130000,03-11-305-013-0000,"03-11-305-013-0000, 03-11-305-014-0000, 03-11-305-015-0000, 03-11-305-016-0000, 03-11-305-017-0000",0,03-11-305-017-0000,03-11-305-017-0000,0,0
03113050290000,03-11-305-029-0000,03-11-305-029-0000,0,03-11-305-029-0000,03-11-305-029-0000,0,0
03113050331002,03-11-305-033-1002,03-11-305-033-1002,0,03-11-305-033-1002,03-11-305-033-1002,0,0
03113050331003,03-11-305-033-1003,03-11-305-033-1003,0,03-11-305-033-1003,03-11-305-033-1003,0,0
03114090100000,03-11-409-010-0000,"03-11-409-010-0000, 03-11-409-011-0000, 03-11-409-012-0000",0,03-11-409-010-0000,03-11-409-010-0000,0,0
03114090100000,03-11-409-010-0000,"03-11-409-010-0000, 03-11-409-011-0000, 03-11-409-012-0000",0,03-11-409-011-0000,03-11-409-011-0000,0,0
03114090100000,03-11-409-010-0000,"03-11-409-010-0000, 03-11-409-011-0000, 03-11-409-012-0000",0,03-11-409-012-0000,03-11-409-012-0000,0,0
03114090150000,03-11-409-015-0000,"03-11-409-015-0000, 03-11-409-016-0000",0,03-11-409-015-0000,03-11-409-015-0000,0,0
03114090150000,03-11-409-015-0000,"03-11-409-015-0000, 03-11-409-016-0000",0,03-11-409-016-0000,03-11-409-016-0000,0,0
03114100030000,03-11-410-003-0000,03-11-410-003-0000,0,03-11-410-003-0000,03-11-410-003-0000,0,0
03134000130000,03-13-400-013-0000,"03-13-400-013-0000, 03-13-400-030-0000",0,03-13-400-013-0000,03-13-400-013-0000,0,0
03134000130000,03-13-400-013-0000,"03-13-400-013-0000, 03-13-400-030-0000",0,03-13-400-030-0000,03-13-400-030-0000,0,0
03141000130000,03-14-100-013-0000,03-14-100-013-0000,0,03-14-100-013-0000,03-14-100-013-0000,0,0
03141020220000,03-14-102-022-0000,03-14-102-022-0000,0,03-14-102-022-0000,03-14-102-022-0000,0,0
03141020270000,03-14-102-027-0000,03-14-102-027-0000,0,03-14-102-027-0000,03-14-102-027-0000,0,0
03141020290000,03-14-102-029-0000,03-14-102-029-0000,0,03-14-102-029-0000,03-14-102-029-0000,0,0
03141030100000,03-14-103-010-0000,03-14-103-010-0000,0,03-14-103-010-0000,03-14-103-010-0000,0,0
03142000190000,03-14-200-019-0000,03-14-200-019-0000,0,03-14-200-019-0000,03-14-200-019-0000,0,0
03142000260000,03-14-200-026-0000,03-14-200-026-0000,0,03-14-200-026-0000,03-14-200-026-0000,0,0
03142050120000,03-14-205-012-0000,03-14-205-012-0000,0,03-14-205-012-0000,03-14-205-012-0000,0,0
03142050180000,03-14-205-018-0000,"03-14-205-018-0000, 03-14-205-019-0000",0,03-14-205-018-0000,03-14-205-018-0000,0,0
03142050180000,03-14-205-018-0000,"03-14-205-018-0000, 03-14-205-019-0000",0,03-14-205-019-0000,03-14-205-019-0000,0,0
03143010120000,03-14-301-012-0000,"03-14-301-012-0000, 03-14-301-014-0000, 03-14-302-017-0000, 03-14-302-018-0000, 03-14-302-015-0000, 03-14-302-016-0000",0,03-14-301-012-0000,03-14-301-012-0000,0,0
03143010120000,03-14-301-012-0000,"03-14-301-012-0000, 03-14-301-014-0000, 03-14-302-017-0000, 03-14-302-018-0000, 03-14-302-015-0000, 03-14-302-016-0000",0,03-14-301-014-0000,03-14-301-014-0000,0,0
03143010120000,03-14-301-012-0000,"03-14-301-012-0000, 03-14-301-014-0000, 03-14-302-017-0000, 03-14-302-018-0000, 03-14-302-015-0000, 03-14-302-016-0000",0,03-14-302-017-0000,03-14-302-017-0000,0,0
03143010120000,03-14-301-012-0000,"03-14-301-012-0000, 03-14-301-014-0000, 03-14-302-017-0000, 03-14-302-018-0000, 03-14-302-015-0000, 03-14-302-016-0000",0,03-14-302-018-0000,03-14-302-018-0000,0,0
03143010120000,03-14-301-012-0000,"03-14-301-012-0000, 03-14-301-014-0000, 03-14-302-017-0000, 03-14-302-018-0000, 03-14-302-015-0000, 03-14-302-016-0000",0,03-14-302-015-0000,03-14-302-015-0000,0,0
03143010120000,03-14-301-012-0000,"03-14-301-012-0000, 03-14-301-014-0000, 03-14-302-017-0000, 03-14-302-018-0000, 03-14-302-015-0000, 03-14-302-016-0000",0,03-14-302-016-0000,03-14-302-016-0000,0,0
03143010150000,03-14-301-015-0000,03-14-301-015-0000,0,03-14-301-015-0000,03-14-301-015-0000,0,0
03143030060000,03-14-303-006-0000,"03-14-303-006-0000, 03-14-303-007-0000, 03-14-303-008-0000, 03-14-303-009-0000",0,03-14-303-006-0000,03-14-303-006-0000,0,0
03143030060000,03-14-303-006-0000,"03-14-303-006-0000, 03-14-303-007-0000, 03-14-303-008-0000, 03-14-303-009-0000",0,03-14-303-007-0000,03-14-303-007-0000,0,0
03143030060000,03-14-303-006-0000,"03-14-303-006-0000, 03-14-303-007-0000, 03-14-303-008-0000, 03-14-303-009-0000",0,03-14-303-008-0000,03-14-303-008-0000,0,0
03143030060000,03-14-303-006-0000,"03-14-303-006-0000, 03-14-303-007-0000, 03-14-303-008-0000, 03-14-303-009-0000",0,03-14-303-009-0000,03-14-303-009-0000,0,0
03144040280000,03-14-404-028-0000,"03-14-404-028-0000, 03-14-404-029-0000, 03-14-404-030-0000, 03-14-404-031-0000, 03-14-404-032-0000",0,03-14-404-028-0000,03-14-404-028-0000,0,0
03144040280000,03-14-404-028-0000,"03-14-404-028-0000, 03-14-404-029-0000, 03-14-404-030-0000, 03-14-404-031-0000, 03-14-404-032-0000",0,03-14-404-029-0000,03-14-404-029-0000,0,0
03144040280000,03-14-404-028-0000,"03-14-404-028-0000, 03-14-404-029-0000, 03-14-404-030-0000, 03-14-404-031-0000, 03-14-404-032-0000",0,03-14-404-030-0000,03-14-404-030-0000,0,0
03144040280000,03-14-404-028-0000,"03-14-404-028-0000, 03-14-404-029-0000, 03-14-404-030-0000, 03-14-404-031-0000, 03-14-404-032-0000",0,03-14-404-031-0000,03-14-404-031-0000,0,0
03144040280000,03-14-404-028-0000,"03-14-404-028-0000, 03-14-404-029-0000, 03-14-404-030-0000, 03-14-404-031-0000, 03-14-404-032-0000",0,03-14-404-032-0000,03-14-404-032-0000,0,0
03144040330000,03-14-404-033-0000,"03-14-404-033-0000, 03-14-404-034-0000, 03-14-404-035-0000, 03-14-404-036-0000, 03-14-404-037-0000, 03-14-404-038-0000",0,03-14-404-033-0000,03-14-404-033-0000,0,0
03144040330000,03-14-404-033-0000,"03-14-404-033-0000, 03-14-404-034-0000, 03-14-404-035-0000, 03-14-404-036-0000, 03-14-404-037-0000, 03-14-404-038-0000",0,03-14-404-034-0000,03-14-404-034-0000,0,0
03144040330000,03-14-404-033-0000,"03-14-404-033-0000, 03-14-404-034-0000, 03-14-404-035-0000, 03-14-404-036-0000, 03-14-404-037-0000, 03-14-404-038-0000",0,03-14-404-035-0000,03-14-404-035-0000,0,0
03144040330000,03-14-404-033-0000,"03-14-404-033-0000, 03-14-404-034-0000, 03-14-404-035-0000, 03-14-404-036-0000, 03-14-404-037-0000, 03-14-404-038-0000",0,03-14-404-036-0000,03-14-404-036-0000,0,0
03144040330000,03-14-404-033-0000,"03-14-404-033-0000, 03-14-404-034-0000, 03-14-404-035-0000, 03-14-404-036-0000, 03-14-404-037-0000, 03-14-404-038-0000",0,03-14-404-037-0000,03-14-404-037-0000,0,0
03144040330000,03-14-404-033-0000,"03-14-404-033-0000, 03-14-404-034-0000, 03-14-404-035-0000, 03-14-404-036-0000, 03-14-404-037-0000, 03-14-404-038-0000",0,03-14-404-038-0000,03-14-404-038-0000,0,0
03144050300000,03-14-405-030-0000,"03-14-200-027-0000, 03-14-405-030-0000, 03-14-405-031-0000, 03-14-405-032-0000, 03-14-405-033-0000, 03-14-405-034-0000, 03-14-405-035-0000, 03-14-405-036-0000, 03-14-405-037-0000",0,03-14-200-027-0000,03-14-200-027-0000,0,0
03144050300000,03-14-405-030-0000,"03-14-200-027-0000, 03-14-405-030-0000, 03-14-405-031-0000, 03-14-405-032-0000, 03-14-405-033-0000, 03-14-405-034-0000, 03-14-405-035-0000, 03-14-405-036-0000, 03-14-405-037-0000",0,03-14-405-030-0000,03-14-405-030-0000,0,0
03144050300000,03-14-405-030-0000,"03-14-200-027-0000, 03-14-405-030-0000, 03-14-405-031-0000, 03-14-405-032-0000, 03-14-405-033-0000, 03-14-405-034-0000, 03-14-405-035-0000, 03-14-405-036-0000, 03-14-405-037-0000",0,03-14-405-031-0000,03-14-405-031-0000,0,0
03144050300000,03-14-405-030-0000,"03-14-200-027-0000, 03-14-405-030-0000, 03-14-405-031-0000, 03-14-405-032-0000, 03-14-405-033-0000, 03-14-405-034-0000, 03-14-405-035-0000, 03-14-405-036-0000, 03-14-405-037-0000",0,03-14-405-032-0000,03-14-405-032-0000,0,0
03144050300000,03-14-405-030-0000,"03-14-200-027-0000, 03-14-405-030-0000, 03-14-405-031-0000, 03-14-405-032-0000, 03-14-405-033-0000, 03-14-405-034-0000, 03-14-405-035-0000, 03-14-405-036-0000, 03-14-405-037-0000",0,03-14-405-033-0000,03-14-405-033-0000,0,0
03144050300000,03-14-405-030-0000,"03-14-200-027-0000, 03-14-405-030-0000, 03-14-405-031-0000, 03-14-405-032-0000, 03-14-405-033-0000, 03-14-405-034-0000, 03-14-405-035-0000, 03-14-405-036-0000, 03-14-405-037-0000",0,03-14-405-034-0000,03-14-405-034-0000,0,0
03144050300000,03-14-405-030-0000,"03-14-200-027-0000, 03-14-405-030-0000, 03-14-405-031-0000, 03-14-405-032-0000, 03-14-405-033-0000, 03-14-405-034-0000, 03-14-405-035-0000, 03-14-405-036-0000, 03-14-405-037-0000",0,03-14-405-035-0000,03-14-405-035-0000,0,0
03144050300000,03-14-405-030-0000,"03-14-200-027-0000, 03-14-405-030-0000, 03-14-405-031-0000, 03-14-405-032-0000, 03-14-405-033-0000, 03-14-405-034-0000, 03-14-405-035-0000, 03-14-405-036-0000, 03-14-405-037-0000",0,03-14-405-036-0000,03-14-405-036-0000,0,0
03144050300000,03-14-405-030-0000,"03-14-200-027-0000, 03-14-405-030-0000, 03-14-405-031-0000, 03-14-405-032-0000, 03-14-405-033-0000, 03-14-405-034-0000, 03-14-405-035-0000, 03-14-405-036-0000, 03-14-405-037-0000",0,03-14-405-037-0000,03-14-405-037-0000,0,0
03144060060000,03-14-406-006-0000,"03-14-406-006-0000, 03-14-406-007-0000, 03-14-406-021-0000",0,03-14-406-006-0000,03-14-406-006-0000,0,0
03144060060000,03-14-406-006-0000,"03-14-406-006-0000, 03-14-406-007-0000, 03-14-406-021-0000",0,03-14-406-007-0000,03-14-406-007-0000,0,0
03144060060000,03-14-406-006-0000,"03-14-406-006-0000, 03-14-406-007-0000, 03-14-406-021-0000",0,03-14-406-021-0000,03-14-406-021-0000,0,0
03144060300000,03-14-406-030-0000,03-14-406-030-0000,0,03-14-406-030-0000,03-14-406-030-0000,0,0
03144070070000,03-14-407-007-0000,03-14-407-007-0000,0,03-14-407-007-0000,03-14-407-007-0000,0,0
03213040320000,03-21-304-032-0000,03-21-304-032-0000,0,03-21-304-032-0000,03-21-304-032-0000,0,0
03232020250000,03-23-202-025-0000,03-23-202-025-0000,0,03-23-202-025-0000,03-23-202-025-0000,0,0
03234060050000,03-23-406-005-0000,"03-23-406-005-0000, 03-23-406-025-0000",0,03-23-406-005-0000,03-23-406-005-0000,0,0
03234060050000,03-23-406-005-0000,"03-23-406-005-0000, 03-23-406-025-0000",0,03-23-406-025-0000,03-23-406-025-0000,0,0
03234060110000,03-23-406-011-0000,03-23-406-011-0000,0,03-23-406-011-0000,03-23-406-011-0000,0,0
03234060300000,03-23-406-030-0000,03-23-406-030-0000,0,03-23-406-030-0000,03-23-406-030-0000,0,0
03234070330000,03-23-407-033-0000,03-23-407-033-0000,0,03-23-407-033-0000,03-23-407-033-0000,0,0
03304010030000,03-30-401-003-0000,"03-30-401-002-0000, 03-30-401-003-0000, 03-30-414-015-0000, 03-30-414-018-0000",0,03-30-401-002-0000,03-30-401-002-0000,0,0
03304010030000,03-30-401-003-0000,"03-30-401-002-0000, 03-30-401-003-0000, 03-30-414-015-0000, 03-30-414-018-0000",0,03-30-401-003-0000,03-30-401-003-0000,0,0
03304010030000,03-30-401-003-0000,"03-30-401-002-0000, 03-30-401-003-0000, 03-30-414-015-0000, 03-30-414-018-0000",0,03-30-414-015-0000,03-30-414-015-0000,0,0
03304010030000,03-30-401-003-0000,"03-30-401-002-0000, 03-30-401-003-0000, 03-30-414-015-0000, 03-30-414-018-0000",0,03-30-414-018-0000,03-30-414-018-0000,0,0
03322270030000,03-32-227-003-0000,"03-32-227-003-0000, 03-32-227-004-0000, 03-32-227-005-0000, 03-32-227-006-0000",0,03-32-227-003-0000,03-32-227-003-0000,0,0
03322270030000,03-32-227-003-0000,"03-32-227-003-0000, 03-32-227-004-0000, 03-32-227-005-0000, 03-32-227-006-0000",0,03-32-227-004-0000,03-32-227-004-0000,0,0
03322270030000,03-32-227-003-0000,"03-32-227-003-0000, 03-32-227-004-0000, 03-32-227-005-0000, 03-32-227-006-0000",0,03-32-227-005-0000,03-32-227-005-0000,0,0
03322270030000,03-32-227-003-0000,"03-32-227-003-0000, 03-32-227-004-0000, 03-32-227-005-0000, 03-32-227-006-0000",0,03-32-227-006-0000,03-32-227-006-0000,0,0
03333000260000,03-33-300-026-0000,"03-33-300-026-0000, 03-33-300-064-0000",0,03-33-300-026-0000,03-33-300-026-0000,0,0
03333000260000,03-33-300-026-0000,"03-33-300-026-0000, 03-33-300-064-0000",0,03-33-300-064-0000,03-33-300-064-0000,0,0
03333000810000,03-33-300-081-0000,"03-33-300-081-0000, 03-33-300-082-0000",0,03-33-300-081-0000,03-33-300-081-0000,0,0
03333000810000,03-33-300-081-0000,"03-33-300-081-0000, 03-33-300-082-0000",0,03-33-300-082-0000,03-33-300-082-0000,0,0
03342002040000,03-34-200-204-0000,03-34-200-204-0000,0,03-34-200-204-0000,03-34-200-204-0000,0,0
03351020090000,03-35-102-009-0000,03-35-102-009-0000,0,03-35-102-009-0000,03-35-102-009-0000,0,0
03351020250000,03-35-102-025-0000,"03-35-102-025-0000, 03-35-102-026-0000",0,03-35-102-025-0000,03-35-102-025-0000,0,0
03351020250000,03-35-102-025-0000,"03-35-102-025-0000, 03-35-102-026-0000",0,03-35-102-026-0000,03-35-102-026-0000,0,0
03351020300000,03-35-102-030-0000,03-35-102-030-0000,0,03-35-102-030-0000,03-35-102-030-0000,0,0
03351040070000,03-35-104-007-0000,03-35-104-007-0000,0,03-35-104-007-0000,03-35-104-007-0000,0,0
03351040090000,03-35-104-009-0000,"03-35-104-009-0000, 03-35-104-010-0000",0,03-35-104-009-0000,03-35-104-009-0000,0,0
03351040090000,03-35-104-009-0000,"03-35-104-009-0000, 03-35-104-010-0000",0,03-35-104-010-0000,03-35-104-010-0000,0,0
03351040270000,03-35-104-027-0000,03-35-104-027-0000,0,03-35-104-027-0000,03-35-104-027-0000,0,0
03351040430000,03-35-104-043-0000,"03-35-104-043-0000, 03-35-201-001-0000",0,03-35-104-043-0000,03-35-104-043-0000,0,0
03351040430000,03-35-104-043-0000,"03-35-104-043-0000, 03-35-201-001-0000",0,03-35-201-001-0000,03-35-201-001-0000,0,0
03351040570000,03-35-104-057-0000,03-35-104-057-0000,0,03-35-104-057-0000,03-35-104-057-0000,0,0
03351040580000,03-35-104-058-0000,03-35-104-058-0000,0,03-35-104-058-0000,03-35-104-058-0000,0,0
03352000380000,03-35-200-038-0000,03-35-200-038-0000,0,03-35-200-038-0000,03-35-200-038-0000,0,0
03352000450000,03-35-200-045-0000,03-35-200-045-0000,0,03-35-200-045-0000,03-35-200-045-0000,0,0
03352000510000,03-35-200-051-0000,03-35-200-051-0000,0,03-35-200-051-0000,03-35-200-051-0000,0,0
03352000520000,03-35-200-052-0000,03-35-200-052-0000,0,03-35-200-052-0000,03-35-200-052-0000,0,0
