year,agency_number,agency_name,adjust_eligible,lastyear_rate,lastyear_levy,total_ptab_refunds,total_coe_refunds,aggregate_refunds,levy_adjustment,home_rule_ind,agg_ext_base_year,lim_numerator,lim_denominator,lim_rate,prior_eav,curr_new_prop,cty_cook_eav,cty_total_eav,pct_burden,total_levy,total_max_levy,total_prelim_rate,total_reduced_levy,total_final_levy,total_final_rate,reduction_type,reduction_pct,total_non_cap_ext,total_ext,pct_inCook,recap_levyshare
2021,020030000,TOWN BLOOM,Eligible,0.204,2475435,-28693,-437,-29130,29130,0,2020,3494439,1104117421,0.317,1213448303,3478495,1107595916,1107595916,1,2614523,2614523,0.236,2521995,2551125,0.231,CLERK,0.9753839999999999,28797.49,2558546.57,1,0.011
2021,020030002,GENERAL ASSISTANCE BLOOM,Eligible,0.08,970759,-11089,-169,-11258,11258,0,2020,3494439,1104117421,0.317,1213448303,3478495,1107595916,1107595916,1,1025137,1025137,0.093,987975,999233,0.091,CLERK,0.9753839999999999,11075.96,1007912.28,1,0.011
2021,020030003,ROAD AND BRIDGE BLOOM,Eligible,0.064,776607,-4548,-68,-4616,4616,0,2020,787478,1104117421,0.072,1213448303,3478495,1107595916,1107595916,1,815718,815718,0.074,788608,793224,0.072,CLERK,0.9729720000000001,4430.38,797469.06,1,0.006
2021,020040000,TOWN BREMEN,Eligible,0.079,1493422,-12913,-429,-13342,13342,0,2020,1859367,1718878777,0.109,1890407922,7217680,1726096457,1726096457,1,1628478,1628478,0.095,1531047,1544389,0.09,CLERK,0.9478260000000001,13808.77,1553486.81,1,0.009
2021,020040002,GENERAL ASSISTANCE BREMEN,Eligible,0.018,340273,-2828,-95,-2923,2923,0,2020,1859367,1718878777,0.109,1890407922,7217680,1726096457,1726096457,1,370929,370929,0.022,348671,351594,0.021,CLERK,0.9478260000000001,3452.19,362480.26,1,0.008
2021,020040003,ROAD AND BRIDGE BREMEN,Eligible,0.052,983012,-4307,-168,-4475,4475,0,2020,996774,1718878777,0.058,1890407922,7217680,1726096457,1726096457,1,1067602,1067602,0.062,994231,998706,0.058,CLERK,0.935483,5178.29,1001135.95,1,0.004
2021,020050000,TOWN CALUMET,Eligible,0.409,902098,-8014,-726,-8740,8740,0,2020,1214416,197792866,0.614,220561750,32726,197825592,197825592,1,966949,914192,0.463,NA,914192,0.463,AGENCY,NA,8704.33,915932.49,1,0.01
2021,020050002,GENERAL ASSISTANCE CALUMET,Eligible,0.134,295553,-2559,-451,-3010,3010,0,2020,1214416,197792866,0.614,220561750,32726,197825592,197825592,1,338826,337895,0.171,194421,312178,0.158,AGENCY,NA,2967.38,312564.44,1,0.01
2021,020050003,ROAD AND BRIDGE CALUMET,Eligible,0.138,304375,-1802,-187,-1989,1989,0,2020,308636,197792866,0.156,220561750,32726,197825592,197825592,1,330857,330087,0.167,211492,310304,0.157,AGENCY,NA,1978.26,310586.18,1,0.006
2021,020060000,TOWN OF CICERO,Not Eligible,5.07,42611851,NA,NA,NA,NA,1,NA,NA,NA,NA,840470438,2577431,774266737,774266737,1,43752047,43752047,5.651,NA,43752047,5.651,NA,NA,NA,43753813.31,1,NA
2021,020060001,TOWN OF CICERO LIBRARY FUND,Not Eligible,0.225,1891058,NA,NA,NA,NA,1,NA,NA,NA,NA,840470438,2577431,774266737,774266737,1,1944855,1944855,0.252,NA,1944855,0.252,NA,NA,NA,1951152.18,1,NA
2021,020060002,GENERAL ASSISTANCE CICERO,Not Eligible,0.017,142880,NA,NA,NA,NA,1,NA,NA,NA,NA,840470438,2577431,774266737,774266737,1,144283,144283,0.019,NA,144283,0.019,NA,NA,NA,147110.68,1,NA
2021,020060004,CICERO COMM MENTAL HLTH FD,Not Eligible,0.077,647162,NA,NA,NA,NA,1,NA,NA,NA,NA,840470438,2577431,774266737,774266737,1,664142,664142,0.086,NA,664142,0.086,NA,NA,NA,665869.39,1,NA
2021,020060100,TOWN OF CICERO SPECIAL SERVICE AREA #2,Not Eligible,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,38549501,0,37156898,37156898,1,0,0,0,NA,0,0,NA,NA,NA,0,1,NA
2021,020070000,TOWN ELK GROVE,Eligible,0.053,2312093,-50378,-1527,-51905,51905,0,2019,2854893,NA,0.072,NA,40699467,NA,NA,1,2347230,2347230,0.058,NA,2347230,0.058,NA,NA,52729.96,2352567.35,NA,0.022
2021,020070002,GENERAL ASSISTANCE ELK GROVE,Eligible,0.011,479868,-10144,-313,-10458,10458,0,2020,2854893,NA,0.072,NA,40699467,NA,NA,1,466459,466459,0.012,NA,466459,0.012,NA,NA,12168.45,486738.07,NA,0.022
2021,020070003,TRUE,Eligible,0.013,567117,-6408,-190,-6598,6598,0,2019,602841,NA,0.015,NA,40699467,NA,NA,1,562567,562567,0.014,NA,562567,0.014,NA,NA,8112.3,567861.09,NA,0.012
2021,020090000,TOWN HANOVER,Eligible,0.256,5781039,-61625,-2368,-63993,63993,0,2020,9411214,2074295770,0.454,NA,12077234,2086373004,2086373004,1,6018464,6018464,0.289,5912779,5976772,0.287,CLERK,0.9934350000000001,64677.56,5987890.52,1,0.011
2021,020090002,GENERAL ASSISTANCE HANOVER,Eligible,0.02,451644,-4750,-182,-4932,4932,0,2020,9411214,2074295770,0.454,NA,12077234,2086373004,2086373004,1,460821,460821,0.023,454829,459761,0.022,CLERK,0.9934350000000001,4172.75,459002.06,1,0.011
2021,020090003,TOWN HANOVER ROAD FUND,Eligible,0.076,1716246,-10578,-704,-11282,11282,0,2020,9411214,2074295770,0.454,NA,12077234,2086373004,2086373004,1,1743661,1743661,0.084,1721257,1732539,0.083,CLERK,0.9934350000000001,10431.87,1731689.59,1,0.007
2021,020090004,HANOVER COMM MENTAL HLTH FAC&SERV DIST,Eligible,0.059,1332349,-13887,-533,-14419,14419,0,2020,9411214,2074295770,0.454,NA,12077234,2086373004,2086373004,1,1386738,1386738,0.067,1364487,1378906,0.067,CLERK,0.9934350000000001,14604.61,1397869.91,1,0.01
2021,020100000,TOWN LEMONT,Eligible,0.093,949723,-5720,-1772,-7492,7492,0,2020,1017716,932307790,0.11,1021207293,11155408,943463198,943463198,1,1001453,1001453,0.107,985002,992494,0.106,AGENCY,NA,7547.71,1000070.99,1,0.008
2021,020100002,GENERAL ASSISTANCE LEMONT,Eligible,0.005,51060,-250,-44,-294,294,0,2019,1017716,932307790,0.11,1021207293,11155408,943463198,943463198,1,52886,52886,0.006,52118,52412,0.006,AGENCY,NA,NA,56607.79,1,0.006
2021,020100003,ROAD AND BRIDGE LEMONT,Eligible,0.117,1194813,-5232,-948,-6180,6180,0,2020,1211539,932307790,0.13,1021207293,11155408,943463198,943463198,1,1307512,1307512,0.139,1225557,1231737,0.131,CLERK,0.942028,6604.24,1235936.79,1,0.005
2021,020110000,TOWN LEYDEN,Eligible,0.115,4072285,-61770,-448,-62217,62217,0,2020,4452458,NA,0.137,NA,8301927,NA,NA,1,4465973,4465973,0.137,4131935,4194152,0.129,CLERK,0.938356,61962.73,4206943.4,NA,0.015
2021,020110002,GENERAL ASSISTANCE LEYDEN,Eligible,0.009,318701,-3890,-30,-3920,3920,0,2020,4452458,NA,0.137,NA,8301927,NA,NA,1,348561,348561,0.011,322858,326778,0.01,CLERK,0.938356,3261.2,326119.64,NA,0.012
2021,020110003,ROAD AND BRIDGE LEYDEN,Eligible,0.156,5524143,-51808,-390,-52199,52199,0,2020,5601480,NA,0.173,NA,8301927,NA,NA,1,6025990,6025990,0.185,5619040,5671239,0.174,CLERK,0.940217,52179.14,5674481.8,NA,0.009
2021,020110007,LEYDEN TOWNSHIP SPEC REFUSE COLLECTION DIST,Eligible,0,0,NA,NA,NA,NA,0,NA,0,NA,0,135257201,237735,124813378,124813378,1,0,0,0,NA,0,0,NA,NA,NA,0,1,NA
2021,020110008,TOWN LEYDEN - WESTDALE PARK DIST,Eligible,0.24,112801,-1266,0,-1266,1266,0,2020,114380,43311749,0.265,47000450,6801,43318550,43318550,1,123248,123248,0.285,114620,115886,0.268,CLERK,0.939716,1256.24,116093.71,1,0.011
2021,020120000,TOWN LYONS,Eligible,0.04,1925945,-33085,-2185,-35270,35270,0,2020,6026331,NA,0.137,NA,12243099,NA,NA,1,1906265,1906265,0.043,NA,1906265,0.043,NA,NA,35523.23,1909373.81,NA,0.019
2021,020120002,GENERAL ASSISTANCE LYONS,Eligible,0.003,144446,-850,-97,-947,947,0,2019,6026331,NA,0.137,NA,12243099,NA,NA,1,210745,210745,0.005,NA,210745,0.005,NA,NA,NA,222020.21,NA,0.004
2021,020120003,ROAD AND BRIDGE LYONS,Eligible,0.036,1733350,-11199,-762,-11962,11962,0,2020,1757617,NA,0.04,NA,12243099,NA,NA,1,1700956,1700956,0.039,NA,1700956,0.039,NA,NA,13321.21,1731757.64,NA,0.007
2021,020120004,LYONS MENTAL HEALTH,Eligible,0.08,3851889,-50418,-3479,-53896,53896,0,2020,6026331,NA,0.137,NA,12243099,NA,NA,1,3844914,3844914,0.087,NA,3844914,0.087,NA,NA,53284.85,3863151.66,NA,0.014
2021,020120006,LYONS TWP SPECIAL POLICE DIST,Eligible,0.075,102645,-399,-4,-403,403,0,2020,104082,126151114,0.083,136860028,198861,126349975,126349975,1,93721,93721,0.075,NA,93721,0.075,NA,NA,379.05,94762.48,1,0.004
2021,020130000,TOWN MAINE,Eligible,0.022,1099207,-77990,-5023,-83013,83013,0,2018,3993659,NA,0.087,NA,91484141,NA,NA,1,4428581,4428581,0.095,3403675,3486688,0.075,CLERK,0.783783,84621.77,3525907.23,NA,0.024
2021,020130002,GENERAL ASSISTANCE MAINE,Eligible,0,0,-13448,-444,-13893,13893,0,2020,3993659,NA,0.087,NA,91484141,NA,NA,1,866001,866001,0.019,667571,681464,0.015,CLERK,0.783783,14103.63,705181.45,NA,0.02
2021,020130003,ROAD AND BRIDGE MAINE,Eligible,0.054,2698054,-37022,-4722,-41744,41744,0,2020,2735826,NA,0.06,NA,91484141,NA,NA,1,2725464,2725464,0.058,NA,2725464,0.058,NA,NA,42310.89,2726701.59,NA,0.015
2021,020140000,TOWN NEW TRIER,Eligible,0.053,2760910,-32972,-229,-33201,33201,0,2020,3223029,NA,0.068,NA,22361832,NA,NA,1,2909667,2909667,0.061,2835049,2868250,0.06,CLERK,0.985507,33693.29,2887996.32,NA,0.012
2021,020140002,GENERAL ASSISTANCE NEW TRIER,Eligible,0.008,416741,-4727,-33,-4760,4760,0,2019,3223029,NA,0.068,NA,22361832,NA,NA,1,434003,434003,0.009,423572,428332,0.009,CLERK,0.985507,4813.33,433199.45,NA,0.011
2021,020140003,ROAD AND BRIDGE NEW TRIER,Eligible,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,22361832,NA,NA,1,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA
2021,020150000,TOWN NILES,Eligible,0.046,2418969,-30178,-418,-30596,30596,0,2020,2826090,NA,0.058,NA,4183932,NA,NA,1,2637355,2637355,0.054,2439406,2470002,0.051,CLERK,0.935483,29331.54,2493180.75,NA,0.012
2021,020150002,GENERAL ASSISTANCE NILES,Eligible,0.007,368104,-4655,-65,-4720,4720,0,2020,2826090,NA,0.058,NA,4183932,NA,NA,1,401398,401398,0.009,371532,376252,0.008,CLERK,0.935483,4888.59,391087.18,NA,0.013
2021,020150003,ROAD AND BRIDGE NILES,Eligible,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,4183932,NA,NA,1,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA
2021,020160000,TOWN NORTHFIELD,Eligible,0.022,1395729,-13761,-15360,-29121,29121,0,2020,1867783,NA,0.032,NA,514288689,NA,NA,1,1682271,1682271,0.027,1513223,1542344,0.025,CLERK,0.914285,31924.55,1596227.32,NA,0.019
2021,020160002,GENERAL ASSISTANCE NORTHFIELD,Eligible,0.007,444096,-3685,-3994,-7679,7679,0,2019,1867783,NA,0.032,NA,514288689,NA,NA,1,533700,533700,0.009,478868,486547,0.008,CLERK,0.914285,6384.91,510792.74,NA,0.016
2021,020160003,ROAD AND BRIDGE NORTHFIELD,Eligible,0.049,3108670,-18381,-19693,-38074,38074,0,2020,3152190,NA,0.054,NA,514288689,NA,NA,1,4619117,4619117,0.073,3441465,3479539,0.055,CLERK,0.75,38309.46,3511700.1,NA,0.011
2021,020160006,NORTHFIELD TWP SPECIAL POLICE DISTR,Eligible,0.009,45109,-166,-47,-214,214,0,2020,45740,461201488,0.01,501209237,1144032,462345520,462345520,1,47796,47796,0.011,43460,43674,0.01,CLERK,0.9090900000000001,NA,46234.55,1,0.005
2021,020170000,TOWN NORWOOD PARK,Eligible,0.047,477623,-4690,-293,-4983,4983,0,2020,494762,932374162,0.054,1016220164,2327218,934701380,934701380,1,478808,478808,0.052,NA,478808,0.052,NA,NA,4673.51,486044.72,1,0.01
2021,020170002,GENERAL ASSISTANCE NORWOOD PARK,Eligible,0.001,10162,-83,-5,-87,87,0,2019,494762,932374162,0.054,1016220164,2327218,934701380,934701380,1,5237,5237,0.001,NA,5237,0.001,NA,NA,NA,9347.01,1,0.017
2021,020170003,ROAD AND BRIDGE NORWOOD PARK,Eligible,0.019,193082,-966,-60,-1026,1026,0,2019,198610,932374162,0.022,1016220164,2327218,934701380,934701380,1,193727,193727,0.021,NA,193727,0.021,NA,NA,934.7,196287.29,1,0.005
2021,020170006,NORWOOD PARK TWP SPECIAL POLICE DIST,Eligible,0,0,NA,NA,NA,NA,0,NA,0,NA,0,45121951,0,38225224,38225224,1,0,0,0,NA,0,0,NA,NA,NA,0,1,NA
2021,020180000,TOWN OAK PARK,Eligible,0.183,3712488,-20601,-2890,-23491,23491,0,2020,5947437,1861963453,0.32,2028681978,8186287,1870149740,1870149740,1,3754184,3754184,0.201,NA,3754184,0.201,NA,NA,24311.95,3759000.98,1,0.006
2021,020180002,GENERAL ASSISTANCE OAK PARK,Eligible,0.007,142008,-3351,-523,-3873,3873,0,2018,5947437,1861963453,0.32,2028681978,8186287,1870149740,1870149740,1,146576,146576,0.008,NA,146576,0.008,NA,NA,3740.3,149611.98,1,0.026
2021,020180004,OAK PARK MENTAL HEALTH DISTRICT,Eligible,0.081,1643232,-11006,-1721,-12727,12727,0,2020,5947437,1861963453,0.32,2028681978,8186287,1870149740,1870149740,1,1664017,1664017,0.089,NA,1664017,0.089,NA,NA,13091.05,1664433.27,1,0.008
2021,020190000,TOWN ORLAND,Eligible,0.067,2389774,-17982,-1596,-19578,19578,0,2020,2640236,NA,0.081,NA,8458245,NA,NA,1,2525965,2525965,0.078,2443164,2462742,0.076,CLERK,0.975903,19597.59,2482361.79,NA,0.008
2021,020190002,GENERAL ASSISTANCE ORLAND,Eligible,0.006,214010,-1565,-131,-1696,1696,0,2020,2640236,NA,0.081,NA,8458245,NA,NA,1,188094,188094,0.006,182910,184606,0.006,CLERK,0.975903,3266.27,195975.93,NA,0.009
2021,020190003,ROAD AND BRIDGE ORLAND,Eligible,0.035,1248390,-5232,-460,-5692,5692,0,2020,1265866,NA,0.039,NA,8458245,NA,NA,1,1237728,1237728,0.038,NA,1237728,0.038,NA,NA,6532.53,1241180.89,NA,0.005
2021,020200000,TOWN PALATINE,Eligible,0.055,2046729,-17518,-354,-17872,17872,0,2020,2339522,NA,0.069,NA,9177526,NA,NA,1,2045767,2045767,0.06,NA,2045767,0.06,NA,NA,17212.27,2065472.18,NA,0.009
2021,020200002,GENERAL ASSISTANCE PALATINE,Eligible,0.007,260493,-3268,-83,-3351,3351,0,2020,2339522,NA,0.069,NA,9177526,NA,NA,1,243341,243341,0.008,NA,243341,0.008,NA,NA,3442.45,275396.29,NA,0.014
2021,020200003,ROAD AND BRIDGE PALATINE,Eligible,0.068,2530502,-12905,-336,-13241,13241,0,2019,2709569,NA,0.079,NA,9177526,NA,NA,1,2541891,2541891,0.074,NA,2541891,0.074,NA,NA,13769.81,2547415.68,NA,0.005
2021,020210000,TOWN PALOS,Eligible,0.062,1037076,-9073,-620,-9694,9694,0,2020,1203142,1524419068,0.079,1672703384,4470456,1528889524,1528889524,1,1093583,1093583,0.072,NA,1093583,0.072,NA,NA,9173.34,1100800.46,1,0.009
2021,020210002,GENERAL ASSISTANCE PALOS,Eligible,0.007,117089,-1166,-81,-1247,1247,0,2019,1203142,1524419068,0.079,1672703384,4470456,1528889524,1528889524,1,113812,113812,0.008,NA,113812,0.008,NA,NA,1528.89,122311.16,1,0.011
2021,020210003,ROAD AND BRIDGE PALOS,Eligible,0.049,819625,-5739,-387,-6126,6126,0,2020,831099,1524419068,0.055,1672703384,4470456,1528889524,1528889524,1,884108,884108,0.058,833243,839369,0.055,CLERK,0.948275,6115.56,840889.24,1,0.007
2021,020220000,TOWN PROVISO,Eligible,0.099,3690570,-31777,-1847,-33624,33624,0,2020,10092702,NA,0.295,NA,6953719,NA,NA,1,4021413,4021413,0.118,3747927,3781551,0.111,CLERK,0.9394899999999999,34321.68,3809706.5,NA,0.009
2021,020220002,GENERAL ASSISTANCE PROVISO,Eligible,0.049,1826646,-15724,-916,-16640,16640,0,2020,10092702,NA,0.295,NA,6953719,NA,NA,1,1990614,1990614,0.058,1853370,1870010,0.055,CLERK,0.9394899999999999,17160.84,1887692.41,NA,0.009
2021,020220003,ROAD AND BRIDGE PROVISO,Eligible,0,0,0,0,0,0,0,NA,0,NA,0,NA,6953719,NA,NA,1,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA
2021,020220004,MENTAL HEALTH DISTRICT PROVISO,Eligible,0.119,4436140,-39012,-2296,-41308,41308,0,2020,10092702,NA,0.295,NA,6953719,NA,NA,1,4838536,4838536,0.141,4506436,4547744,0.133,CLERK,0.9394899999999999,41186.02,4564783.47,NA,0.009
2021,020230000,TOWN RICH,Eligible,0.241,3287415,-39337,-2111,-41447,41447,0,2020,3997358,1213202580,0.33,1364072440,34783344,1247985924,1247985924,1,3495547,3463272,0.278,NA,3463272,0.278,NA,NA,41183.54,3469400.87,1,0.012
2021,020230002,GENERAL ASSISTANCE RICH,Eligible,0.048,654755,-6903,-388,-7291,7291,0,2020,3997358,1213202580,0.33,1364072440,34783344,1247985924,1247985924,1,650115,650115,0.053,NA,650115,0.053,NA,NA,7487.92,661432.54,1,0.011
2021,020230003,ROAD AND BRIDGE RICH,Eligible,0.099,1350432,-7962,-404,-8367,8367,0,2020,1369337,1213202580,0.113,1364072440,34783344,1247985924,1247985924,1,1391567,1391567,0.112,NA,1391567,0.112,NA,NA,8735.9,1397744.23,1,0.006
2021,020240000,TOWN RIVER FOREST,Eligible,0.099,633980,-1464,-93,-1557,1557,0,2020,655841,587062671,0.112,640383684,7256868,594319539,594319539,1,644417,644417,0.109,NA,644417,0.109,NA,NA,1782.96,647808.3,1,0.002
2021,020240002,GENERAL ASSISTANCE RIVER FOREST,Eligible,0.002,12808,-32,-2,-33,33,0,2020,655841,587062671,0.112,640383684,7256868,594319539,594319539,1,9033,9033,0.002,NA,9033,0.002,NA,NA,NA,11886.39,1,0.004
2021,020250000,TOWN RIVERSIDE,Eligible,0.097,594879,-2835,-650,-3485,3485,0,2020,1361880,559896508,0.244,613277329,436692,560333200,560333200,1,640718,640718,0.115,609642,613127,0.11,CLERK,0.956862,3362,616366.52,1,0.006
2021,020250002,GENERAL ASSISTANCE RIVERSIDE,Eligible,0.013,79726,-359,-85,-444,444,0,2020,1361880,559896508,0.244,613277329,436692,560333200,560333200,1,82562,82562,0.015,79006,79450,0.015,CLERK,0.956862,560.33,84049.98,1,0.006
2021,020250003,ROAD AND BRIDGE RIVERSIDE,Eligible,0,0,NA,NA,NA,NA,0,NA,0,NA,0,613277329,436692,560333200,560333200,1,0,0,0,NA,0,0,NA,NA,NA,0,1,NA
2021,020250004,RIVERSIDE MENTAL HEALTH DISTRICT,Eligible,0.109,668472,-3141,-722,-3863,3863,0,2020,1361880,559896508,0.244,613277329,436692,560333200,560333200,1,712693,712693,0.128,678003,681866,0.122,CLERK,0.956862,3922.33,683606.5,1,0.006
2021,020260000,TOWN SCHAUMBURG,Eligible,0.098,5143245,-70593,-4801,-75394,75394,0,2020,6013503,NA,0.124,NA,9416923,NA,NA,1,5372937,5372937,0.111,5213199,5288593,0.109,AGENCY,NA,77809.86,5300796.88,NA,0.014
2021,020260002,GENERAL ASSISTANCE SCHAUMBURG,Eligible,0.015,787231,-10337,-703,-11040,11040,0,2020,6013503,NA,0.124,NA,9416923,NA,NA,1,821877,821877,0.017,797929,808969,0.017,AGENCY,NA,9726.23,826729.79,NA,0.014
2021,020260003,ROAD AND BRIDGE SCHAUMBURG,Eligible,0.031,1626945,-10509,-703,-11212,11212,0,2020,1649721,NA,0.034,NA,9416923,NA,NA,1,1686965,1686965,0.035,1629143,1640355,0.034,CLERK,0.971428,9726.23,1653459.58,NA,0.007
2021,020260006,SCHAUMBURG TOWNSHIP SPECIAL POLICE DIST,Eligible,0,0,NA,NA,NA,NA,0,NA,0,NA,0,67980275,169943,62313477,62313477,1,0,0,0,NA,0,0,NA,NA,NA,0,1,NA
2021,020270000,TOWN STICKNEY,Eligible,0.227,3037816,-51335,-660,-51995,51995,0,2019,6754718,1222224040,0.553,1338244721,3985900,1226209940,1226209940,1,3240995,3240995,0.265,NA,3240995,0.265,NA,NA,51500.82,3249456.34,1,0.016
2021,020270002,GENERAL ASSISTANCE STICKNEY,Eligible,0.011,147207,-3066,-39,-3105,3105,0,2020,6754718,1222224040,0.553,1338244721,3985900,1226209940,1226209940,1,150105,150105,0.013,NA,150105,0.013,NA,NA,3678.63,159407.29,1,0.021
2021,020270003,ROAD AND BRIDGE STICKNEY,Eligible,0.065,869859,-11387,-143,-11531,11531,0,2020,882037,1222224040,0.073,1338244721,3985900,1226209940,1226209940,1,924531,924531,0.076,528476,900007,0.074,AGENCY,NA,11035.89,907395.36,1,0.013
2021,020270004,STICKNEY PUBLIC HEALTH DISTRICT,Eligible,0.241,3225170,-40586,-544,-41130,41130,0,2020,6754718,1222224040,0.553,1338244721,3985900,1226209940,1226209940,1,3378534,3378534,0.276,NA,3378534,0.276,NA,NA,42917.35,3384339.43,1,0.012
2021,020280000,TOWN THORNTON,Eligible,0.397,8745571,-162418,-11839,-174257,174257,0,2018,19459230,1965423323,0.991,NA,10429543,1975852866,1975852866,1,11087512,10710511,0.542,NA,10710511,0.542,NA,NA,173875.05,10709122.53,1,0.016
2021,020280002,GENERAL ASSISTANCE THORNTON,Eligible,0.402,8855717,-94757,-6619,-101376,101376,0,2020,19459230,1965423323,0.991,NA,10429543,1975852866,1975852866,1,8042620,8042620,0.407,NA,8042620,0.407,NA,NA,100768.5,8041721.16,1,0.013
2021,020280003,ROAD AND BRIDGE THORNTON,Eligible,0.033,726962,-8989,-655,-9643,9643,0,2020,737138,1965423323,0.038,NA,10429543,1975852866,1975852866,1,788365,788365,0.04,69286,748848,0.038,AGENCY,NA,9879.26,750824.09,1,0.013
2021,020290000,TOWN WHEELING,Eligible,0.037,2114068,-30339,-270,-30609,30609,0,2019,3427905,NA,0.066,NA,11178393,NA,NA,1,2140626,2140626,0.041,NA,2140626,0.041,NA,NA,31654.97,2163089.86,NA,0.014
2021,020290002,GENERAL ASSISTANCE WHEELING,Eligible,0.008,457096,-6022,-55,-6076,6076,0,2020,3427905,NA,0.066,NA,11178393,NA,NA,1,417786,417786,0.008,NA,417786,0.008,NA,NA,5275.83,422066.31,NA,0.015
2021,020290003,TOWN WHEELING ROAD FUND,Eligible,0.013,742781,-5453,-49,-5502,5502,0,2019,3427905,NA,0.066,NA,11178393,NA,NA,1,746463,746463,0.015,NA,746463,0.015,NA,NA,5275.83,791374.34,NA,0.007
2021,020300000,TOWN WORTH,Eligible,0.06,2271227,-34698,-351,-35050,35050,0,2020,2878779,NA,0.083,NA,5789336,NA,NA,1,2379390,2379390,0.069,2316208,2351258,0.068,CLERK,0.988095,34725.77,2361352.36,NA,0.015
2021,020300002,GENERAL ASSISTANCE WORTH,Eligible,0.015,567807,-8661,-86,-8747,8747,0,2020,2878779,NA,0.083,NA,5789336,NA,NA,1,554317,554317,0.016,538249,546996,0.016,CLERK,0.988095,10417.73,555612.32,NA,0.016
2021,020300003,ROAD AND BRIDGE WORTH,Eligible,0.029,1097760,-8778,-86,-8864,8864,0,2020,1113128,NA,0.033,NA,5789336,NA,NA,1,1132324,1132324,0.033,NA,1132324,0.033,NA,NA,10417.73,1145950.41,NA,0.008
2021,020300100,WORTH TOWNSHIP SPECIAL SERVICE AREA #1,Not Eligible,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,6983316,0,6353685,6353685,1,0,0,0,NA,0,0,NA,NA,NA,0,1,NA
2021,030010000,VILLAGE OF   ALSIP,Not Eligible,2.051,14218228,NA,NA,NA,NA,1,NA,NA,NA,NA,693233932,1820538,643517971,643517971,1,14868240,14868240,2.311,NA,14868240,2.311,NA,NA,NA,14871700.31,1,NA
