clean_name,agency_num,exemption_level,total_billed,av,eav,nonTIF_EAV_post_exemps,TIF_increment_EAV,Exempt_EAV,Total_EAV,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,pin_count,tax_rate_current,nonTIF_EAV_pre_exemps,taxrate_new,taxrate_change
Des Plaines,030290000,20000,193215026.48,831496724,2496735173,1871734409.0048094,44981066.30745956,592316851.5835906,2509032326.8958597,188881221.86,4333804.62,59588657.986215934,251571627.13,193215026.48,24162,0.10091240560161903,2464051260.5884,0.07665474532980956,0.024257660271809464
Dixmoor,030300000,20000,6755064.33,15342041,46067500,30352914.633459177,7710219.022933454,17707649.64300006,55770783.29939269,5386731.76,1368332.57,3142576.58214322,8175622.12,6755064.33,2116,0.17747,48060564.27645923,0.11208215802490068,0.06538784197509931
Dolton,030310000,20000,39153413.53,101921188,306038718,149374948.5221113,7835182.047201364,189851259.95293757,347061390.52225024,37296221.25,1857192.28,47371397.28732398,75974238.23,39153413.53,9404,0.2496819019454203,339226208.4750489,0.10994498749863912,0.13973691444678119
East Dundee,030320000,20000,433352.81999999995,1612361,4841436,1287935.537928723,3553454.474360407,0,4841390.01228913,115283.11000000002,318069.71,0,433352.82,433352.82,2,0.08951,1287935.537928723,0.08951,0
East Hazelcrest,030330000,20000,3922923.6999999997,8690225,26094149,17210973.20673122,1229017.8621791857,10492047.923115347,28932038.99202575,3661462.44,261461.26,2232078.275163559,5551285.65,3922923.7,665,0.21274,27703021.129846565,0.1321683444862708,0.08057165551372922
Elgin,030340000,20000,40958346.92,173944186,522287515,346888491.00997806,8309650.196145854,172208819.7764971,527406960.982621,39979222,979124.92,19763158.91494604,60134104.89,40958346.92,7834,0.11525093232006368,519097310.7864752,0.0770168158633459,0.03823411645671779
Elk Grove Village,030350000,20000,211914504.55,856766322,2572612371,1883683692.004868,364866645.57090586,330954510.6842539,2579504848.260028,178140490.38,33774014.17,32276930.66865506,243546223.31,211914504.55,14010,0.09457027798037529,2214638202.6891217,0.08043773929470427,0.01413253868567102
Elmwood Park,030370000,20000,47201918.76,191953956,576380157,372862845.79103047,4480816.851866656,208229281.4735582,585572944.1164553,46641413.38,560505.38,26047400.81952739,72100122.83,47201918.76,8422,0.12509,581092127.2645886,0.08026509255865856,0.04482490744134145
Evanston,030380000,20000,265674217.54,1164593021,3496923555,2938836104.726418,46468364.274860136,519339278.5957857,3504643747.597064,261534134.24,4140083.3,46104954.91008696,311092152.38,265674217.54,24791,0.08899241908025583,3458175383.3222036,0.07562778206718629,0.013364637013069544
Evergreen Park,030390000,20000,44577036.79,181383976,544641676,328164177.0819997,15344295.004712537,208512980.63732558,552021452.7240378,42623401.15,1953635.64,26547872.694744293,70186113.36,44577036.79,8935,0.12988438143676334,536677157.7193253,0.07942093405117764,0.0504634473855857
Flossmoor,030400000,20000,31787087.24,91794463,275631220,177460278.61337063,0,101664502.80858187,279124781.4219525,31787087.24,0,18231995.624831032,49392359.48,31787087.24,4186,0.17912226605512058,279124781.4219525,0.11388127946958429,0.06524098658553629
Ford Heights,030410000,20000,4011488.32,6306876,18764306,14646224.425762294,1514364.7126149004,8117430.332901363,24278019.47127856,3588087.09,423401.23,2262870.9177671093,4736826.43,4011488.32,1959,0.24498375729438204,22763654.758663658,0.15762350677166212,0.08736025052271992
Forest Park,030420000,20000,41356629.11,155986053,468379306,346704887.37951183,20984013.229846533,107225575.87776986,474914476.4871282,38977461.69,2379167.42,12157235.793021547,52773135.19,41356629.11,5964,0.1124225908224198,453930463.25728166,0.08586659157067433,0.02655599925174547
Forestview,030430000,20000,8569440.47,25662593,77057066,69204757.80885413,0,8071217.872539173,77275975.68139331,8569440.47,0,1070566.3386135958,9610972.54,8569440.47,468,0.12382733126050499,77275975.68139331,0.11089397958987363,0.012933351670631366
Frankfort,030440000,20000,2647.31,31486,31486,31474.378789680184,0,0,31474.378789680184,2647.31,0,0,2647.31,2647.31,1,0.08410999999999999,31474.378789680184,0.08410999999999999,0
Franklin Park,030450000,20000,99630480.01,307696797,923921202,727840219.6185218,44228409.80486996,156489439.8220219,928558069.2454137,93978242.65,5652237.36,20274609.95530652,119301217.24,99630480.01,7860,0.12911933157425157,884329659.4405437,0.10627059903142203,0.022848732542829542
Glencoe,030460000,20000,81266110.16,311355591,934907470,853019921.3249702,0,81909679.60613345,934929600.9311037,81266110.16,0,7813035.488705969,89077187.29,81266110.16,3756,0.09526871310786246,934929600.9311037,0.08692217048114258,0.008346542626719883
Glenview,030470000,20000,237872361.64,1102299495,3309874666,2811013446.267912,28799578.064516123,471852142.1813741,3311665166.513802,235194000.88,2678360.76,39478512.586457744,277202194.07,237872361.64000002,18265,0.08366875697171039,3282865588.449286,0.07164289689700566,0.012025860074704728
Glenwood,030480000,20000,15263967.94,52035728,156123771,64100455.44698936,19122535.260110322,83979735.6954678,167202726.40256748,11843297.57,3420670.37,15791896.632554844,28964014.64,15263967.94,3913,0.184761519827177,148080191.14245716,0.07997894572277009,0.10478257410440692
Golf,030490000,20000,3570294.71,14240077,42758673,37977818.42357196,0,4780893.697585173,42758712.12115713,3570294.71,0,449451.81650998205,4019746.16,3570294.71,204,0.09401,42758712.12115713,0.0834986493485478,0.0105113506514522
Hanover Park,030500000,20000,27161742.6,115546226,346947417,205825521.63152412,16402485.937287938,126596863.46201546,348824871.0308275,25134191.12,2027551.48,15328578.910978448,42265286.61,27161742.6,5406,0.12211406496516058,332422385.0935396,0.07560920156723966,0.046504863397920926
Harvey,030510000,20000,52895802.49,85170624,255741658,184797108.4087753,8902801.812865373,134489640.01017442,328189550.2318151,50474165.31,2421637.18,36183696.25362353,69529712.44,52895802.49,14345,0.27313287391028884,319286748.4189497,0.15808412206250008,0.11504875184778876
Harwood Heights,030520000,20000,21007677.56,103009529,309306650,233772979.4812413,0,76356660.44577134,310129639.9270126,21007677.56,0,6863058.15126383,27797278.43,21007677.56,2907,0.08986358306514942,310129639.9270126,0.06773837407138526,0.02212520899376416
Hazelcrest,030530000,20000,23164736.6,62656811,188115006,93058901.66052476,1926127.7842134677,119770607.31910534,214755636.76384357,22692426.96,472309.64,29203022.628395267,45612167.91,23164736.6,6149,0.24385014818658712,212829508.9796301,0.10662255938471338,0.13722758880187375
Hickory Hills,030540000,20000,28831140.59,120662795,362314140,237405025.49385443,1388861.1688419653,126970393.78373183,365764280.44642824,28664074.48,167066.11000000002,15242032.283269227,43658627.86,28831140.59,5166,0.12073912260438653,364375419.2775863,0.07866632314778431,0.04207279945660222
Hillside,030550000,20000,31301766.42,102161988,306761812,207220650.23450398,31656888.912724487,71565023.15512173,310442562.30235016,27421695.01,3880071.41,10079819.0444883,40850554.03,31301766.419999998,3444,0.1323308993527811,278785673.3896257,0.09836120585606975,0.03396969349671136
Hinsdale,030560000,20000,14873145.97,71538147,214807606,197809902.51852164,0,16997892.024588324,214807794.54310995,14873145.97,0,1275613.7612419494,16148758.58,14873145.97,992,0.07518908700037086,214807794.54310995,0.0692393216067171,0.005949765393653758
Hodgkins,030570000,20000,24059182.69,81376560,244349400,225052092.9188521,14753998.75788267,4665219.74118341,244471311.41791818,22515029.18,1544153.51,488261.89811225573,24534686.28,24059182.69,623,0.10004363384489089,229717312.6600355,0.09801189522585338,0.002031738619037507
Hoffman Estates,030580000,20000,152250136.11,615133630,1846859328,1392345810.8534958,24082493.912695106,440517860.4947632,1856946165.2609541,149698047.4,2552088.71,49123011.50836169,200247889.91,152250136.11,17833,0.10751499105544506,1832863671.348259,0.08167440368867247,0.025840587366772583
Homer Glen,030585000,20000,16656.620000000003,63637,191082,191082.02363198347,0,0,191082.02363198347,16656.620000000003,0,0,16656.620000000003,16656.620000000003,3,0.08717000000000003,191082.02363198347,0.08717000000000003,0
Hometown,030590000,20000,3119177.68,21515598,64604867,24830263.333864037,0,43862872.5014035,68693135.83526754,3119177.68,0,5510054.0436263075,8115715.22,3119177.68,1683,0.12561999999999998,68693135.83526754,0.04540741432273634,0.08021258567726364
Homewood,030600000,20000,47918048.55,156840932,470946346,282583425.24803925,7900358.211312765,196920347.14365074,487404130.6030027,46534323.85,1383724.7,32145759.465303723,77343284.77,47918048.55,8544,0.16467464009665192,479503772.39169,0.09704683576918291,0.06762780432746901
Indian Head Park,030610000,20000,10539037.93,59648967,179107950,126066345.73162648,0,54416453.403835475,180482799.13546196,10539037.93,0,4536493.372414441,14963515.78,10539037.93,2255,0.08359913876171039,180482799.13546196,0.0583935864275348,0.025205552334175596
Inverness,030630000,20000,37996196.66,159557199,479084349,397411049.99853796,0,81686445.17786,479097495.176398,37996196.66,0,7926441.31264578,45921219.08,37996196.66,3259,0.09560931096440269,479097495.176398,0.07930785913629176,0.01630145182811092
Justice,030640000,20000,16604826.69,74665092,224196869,138253106.9466173,7348845.5933988765,81366015.66096163,226967968.2009778,15767646.2,837180.49,9248781.802452018,25542947.46,16604826.69,3376,0.11404912734502415,219619122.60757893,0.07179541568506324,0.042253711659960905
Kenilworth,030650000,20000,27930917.14,101609688,305103427,282783611.90537375,1060369.4701515306,21259792.880015686,305103774.25554097,27826651.01,104266.13,2091169.3857497964,30022084.3,27930917.14,1013,0.09840262956720233,304043404.7853894,0.09152196881113597,0.006880660756066359
La Grange,030660000,20000,63757854.1,276977764,831681113,686412071.5632621,0,146857649.0832142,833269720.6464763,63757854.1,0,13576522.235783912,77187321.92,63757854.1,6767,0.09288568301952402,833269720.6464763,0.0765152657299664,0.016370417289557612
La Grange Park,030670000,20000,34360779.86,156511637,469957471,336320025.8158035,7676737.180145509,126970938.96872926,470967701.9646783,33612355.44,748424.42,12881763.407449892,47141704.59,34360779.86,4737,0.09994158200501829,463290964.7845328,0.07255128632960157,0.027390295675416718
Lansing,030680000,20000,60980273.54,169972007,510356319,262554764.8585217,33245151.38093844,257666588.12763447,553466504.3670946,54066501.81,6913771.73,52886964.01164459,104890207.25,60980273.54,12443,0.2059246642853116,520221352.98615617,0.1039298012272072,0.10199486305810439
Lemont,030690000,20000,49698813.89,268519890,806208378,623669828.2451293,10405380.454197498,172981059.63012314,807056268.32945,48883240.17,815573.72,13558255.453809053,63190894.75,49698813.89,7755,0.07837999844813202,796650887.8752525,0.0613609310100394,0.017019067438092624
Lincolnwood,030700000,20000,60455479.42,252883680,759333847,612689224.6946801,13014350.341544192,134138286.55025631,759841861.5864806,59198032.89,1257446.53,12960441.246485766,73366979.39,60455479.42,5667,0.09662000000000001,746827511.2449365,0.07926600453070999,0.01735399546929002
Lynwood,030710000,20000,16258706.19,61435907,184200393,118328276.25186823,2567559.8376639443,67305342.48607054,188201178.5756027,15858598.73,400107.45999999996,9934183.89826573,25577172.92,16258706.19,3472,0.13402205484886895,185633618.73793876,0.08542956193935851,0.04859249290951044
Lyons,030720000,20000,19280529.86,80750330,242468959,155299883.1590047,12069092.07428721,79060860.11653568,246429835.34982756,17896325.69,1384204.17,9081386.850981457,27907257.36,19280529.86,4083,0.11523721284243817,234360743.27554035,0.07636230129616506,0.03887491154627311
Markham,030730000,20000,29865362.84,57330163,172141750,96513750.48751874,15189469.006978465,102132712.39165856,213835931.88615578,25659420.78,4205942.06,27404336.249599148,45942504.65,29865362.84,9509,0.2658628501160392,198646462.8791773,0.1291712946110036,0.13669155550503562
Matteson,030740000,20000,69701834.58,179282274,538077868,366931538.1097136,16197072.85656098,164029936.05643335,547158547.0227079,66786568.93,2915265.65,29722041.47378744,97772924.04,69701834.58,7401,0.18201370553770882,530961474.166147,0.1257842087976073,0.056229496740101526
Maywood,030750000,20000,38468648.76,120106151,360642733,181055858.20345423,23060005.205566768,173090236.70566562,377206100.1146866,34127372.18,4341276.58,32680049.209836327,68019553.61,38468648.76,7895,0.1884908476236695,354146094.90911984,0.09636523646761568,0.09212561115605382
Mc Cook,030760000,20000,21492347.61,55249910,165898898,109198414.7690852,54812163.322225645,1901766.2361923018,165912344.32750314,14085181.38,7407166.23,264516.6657919873,21754992.84,21492347.61,357,0.12898704994742846,111100181.0052775,0.12677910380119833,0.0022079461462301275
Melrose Park,030770000,20000,80683013.99,268506633,806244938,616734648.9913894,70077081.55867149,122832329.19834904,809644059.74841,72434159.92,8248854.07,13126276.328951292,93444464.32,80683013.99,6704,0.11744785223022437,739566978.1897384,0.09794131168119403,0.019506540549030338
Merrionette Park,030780000,20000,4770558.15,18568676,55756160,42754598.94246281,0,14211527.018766543,56966125.961229354,4770558.15,0,1585722.184753971,6221284.4799999995,4770558.15,664,0.11158,56966125.961229354,0.08374376999494051,0.027836230005059484
Midlothian,030800000,20000,22107847.03,88611137,266072583,138745250.46450922,8402833.838592011,126699917.87521198,273848002.1783132,20845960.95,1261886.08,19044955.27706893,39984255.85,22107847.03,5935,0.15024630306413522,265445168.3397212,0.07853207907450395,0.07171422398963127
Morton Grove,030810000,20000,81826636.27,354849898,1065507698,731486123.5157051,53319680.78399722,284304435.48364913,1069110239.7833514,76287936.23,5538700.04,30315664.50809239,111757512.68,81826636.27,10697,0.1042917066742717,1015790558.9993542,0.07510203314465783,0.02918967352961388
Mt Prospect,030820000,20000,163488544.38,694664240,2085868197,1577326775.706837,13448845.111815222,506158816.71815515,2096934437.536807,162093796.77,1394747.61,52596790.35862941,214955158.7,163488544.38,19022,0.1027648799643067,2083485592.424992,0.07779933653457005,0.024965543429736642
Niles,030830000,20000,113576314.55,520761474,1563690655,1196182893.6792285,52929916.93789276,320292705.1177356,1569405515.7348568,108987368.77,4588945.78,29922194.972174924,142954915.34,113576314.55,11738,0.0911126294698763,1516475598.7969642,0.07186885753813699,0.019243771931739317
Norridge,030840000,20000,37030704.1,197407649,592755963,427437976.96483254,0,167019149.25252038,594457126.2173529,37030704.1,0,14401872.796367822,51283782.15,37030704.1,5754,0.08663409920416758,594457126.2173529,0.062293313456655196,0.024340785747512382
North Lake,030850000,20000,49690297.63,151557381,455081275,367265180.9784307,0,93431820.63128938,460697001.6097201,49690297.63,0,12709011.726885179,61642427.980000004,49690297.63,4045,0.13529814478361424,460697001.60972005,0.10785895600878077,0.027439188774833465
North Riverside,030860000,20000,22505799.54,96141104,288682904,221636481.52123985,0,67843036.81775561,289479518.33899546,22505799.54,0,6757965.548803254,29183178.95,22505799.54,2672,0.10154375031370107,289479518.33899546,0.07774574059379409,0.023798009719906976
Northbrook,030870000,20000,207935337.31,942429962,2829834490,2448042597.9077053,13581061.298076924,369871917.6494278,2831495576.8552103,206805393.01,1129944.3,31424372.645330295,239219275.47,207935337.31,14922,0.084477857201812,2817914515.557133,0.07338951975592924,0.011088337445882765
Northfield,030880000,20000,43151331.69,197749544,593782600,531342819.7353572,0,62548740.91594951,593891560.6513067,43151331.69,0,5097597.023129069,48240068.38,43151331.69,3006,0.08121184682893076,593891560.6513067,0.07265860394223646,0.008553242886694304
Oak Brook,030890000,20000,50659.56,321393,965046,799040.1760428352,0,165998.81822385854,965038.9942666938,50659.56,0,10484.485359018905,61144.05,50659.56,15,0.0634005166684938,965038.9942666937,0.05249483212695958,0.010905684541534226
Oak Forest,030900000,20000,49097720.03,197885925,594115956,330397267.79385227,10168172.345950449,261443385.93933094,602008826.0791336,47576109.09,1521610.94,37312302.326047406,85274598.87,49097720.03,10648,0.1439966783250901,591840653.7331831,0.08038668650066835,0.06360999182442176
Oak Lawn,030910000,20000,112898606.12,499544455,1499982056,906449260.0561932,28512403.58894382,606678830.4705465,1541640494.1156836,109491891.34,3406714.7800000003,73358923.4508168,181248743.17000002,112898606.12,26028,0.12079207978305626,1513128090.5267396,0.07236128390286142,0.04843079588019483
Oak Park,030920000,20000,204149082,687093365,2063135342,1632146630.1128178,0,438799013.81258905,2070945643.925407,204149082,0,54694926.04928361,257872042.94,204149082,18838,0.12508011120660695,2070945643.925407,0.098577711394222,0.026502399812384947
Olympia Fields,030930000,20000,19818686.87,54452997,163470470,99887389.91450226,7934580.904683255,56071586.42796865,163893557.24715418,18329445.38,1489241.49,10289489.611953607,30028830.3,19818686.87,2246,0.18350109453945015,155958976.3424709,0.11752735116541352,0.06597374337403664
Orland Hills,030940000,20000,12167482.53,57434309,172457417,115850749.99145246,0,56844187.61457332,172694937.6060258,12167482.53,0,6252166.35045262,18393646.77,12167482.53,2251,0.10502722279223677,172694937.6060258,0.07045650960399341,0.034570713188243354
Orland Park,030950000,20000,194849496.87,873458796,2622057792,1965423058.7955887,14082303.684483655,651206372.6767088,2630711735.156781,193492666.91,1356829.96,64412025.01211301,258376724.17,194849496.87,25012,0.09844835494530745,2616629431.4722977,0.0739472944019924,0.02450106054331505
Palatine,030960000,20000,182511458.14000002,751359092,2256078938,1578976267.3434677,105972370.77659428,590760464.9829044,2275709103.1029663,171052894.68,11458563.46,64078704.16810943,244451263.26,182511458.14000002,27202,0.10833151721006307,2169736732.326372,0.07883578322269479,0.02949573398736828
Palos Heights,030970000,20000,39210893.37,170819396,512919446,346011061.3079872,9055697.469349695,158904757.47367865,513971516.25101554,38079597.01,1131296.36,17480500.907403685,56577687.77,39210893.37,5620,0.1100531204582071,504915818.78166586,0.07541771438629903,0.03463540607190807
Palos Hills,030980000,20000,29968686.16,150235875,451113342,269198589.8937376,0,192034166.71245322,461232756.60619086,29968686.16,0,20960013.466756396,49871421.95,29968686.16,7874,0.11132556887400384,461232756.6061908,0.06497519035836352,0.04635037851564032
Palos Park,030990000,20000,19487687.99,89391720,268291000,210760935.31750727,0,57625707.88019468,268386643.19770196,19487687.99,0,5358590.830753609,24837430.3,19487687.99,2432,0.09246347270494969,268386643.19770193,0.07261049863664326,0.019852974068306425
Park Forest,031000000,20000,29840621.23,49379687,148272304,63249804.63244191,7340111.963225087,117780869.69757204,188370786.29323903,26615155.83,3225465.4,48521257.41557042,61428610.72,29840621.23,5917,0.4207942773051449,181030674.33001393,0.14702014411922978,0.27377413318591515
Park Ridge,031010000,20000,149353040.23,629508627,1890225594,1427734883.8865976,49166463.72415376,416094703.8626148,1892996051.4733663,144393528.32,4959511.91,42113072.622460656,191186956.81,149353040.23,16343,0.1011346924065693,1843829587.7492125,0.07831175358036374,0.022822938826205563
Phoenix,031020000,20000,2312663.06,4606931,13833270,4573289.28867842,3173255.4917540224,14029318.723988974,21775863.504421417,1362146.1099999999,950516.95,4202342.130583658,4136045.23,2312663.06,1698,0.2978482278328888,18602608.012667395,0.07322339475585629,0.2246248330770325
Posen,031030000,20000,6911498.35,28836596,86587702,34538327.988431074,15070284.108662618,44729456.79793972,94338068.8950334,4786117.09,2125381.26,6222321.339127516,12044178.87,6911498.35,2955,0.13857408186068396,79267784.78637078,0.06037909477221722,0.07819498708846673
Prospect Heights,031040000,20000,39467566.21,158877504,477061479,346432141.94171774,1126979.15815284,142225852.29801857,489784973.39788914,39329680.31,137885.9,16575713.453712665,54450529.92,39467566.21,6117,0.11352780400098285,488657994.2397363,0.0804850852203695,0.03304271878061335
Richton Park,031050000,20000,22899596.07,67563509,202600055,100388740.60793218,21879279.25560007,92462771.53016517,214730791.3936974,18832476.96,4067119.11,17314102.76730695,37931046.58,22899596.07,4475,0.18759550967523503,192851512.13809735,0.09765273163383037,0.08994277804140466
River Forest,031060000,20000,56009172.9,216535226,650190355,533650349.42550933,7135330.790769529,111580817.51463805,652366497.730917,55270166.69,739006.21,11556425.269991063,67340371.7,56009172.9,4538,0.10357,645231166.9401474,0.0856594806976008,0.01791051930239919
River Grove,031070000,20000,24826895.27,89118375,267595793,173803184.62043387,18153139.43459511,80796653.65772834,272752977.7127573,22553759.15,2273136.12,10411717.431945939,34587950.1,24826895.27,3596,0.12976608684849367,254599838.2781622,0.08858512755753978,0.04118095929095389
Riverdale,031080000,20000,24885673.6,41082216,123357481,81459564.63872948,0,75075199.46378699,156534764.10251647,24885673.6,0,23421835.185526427,37966780.36,24885673.6,4897,0.30549725757027,156534764.10251647,0.1589785741377045,0.14651868343256552
Riverside,031090000,20000,32751122.41,119721326,359487235,267233530.14789385,0,93150509.8024469,360384039.95034075,32751122.41,0,11416561.129621,44057958.17,32751122.41,3631,0.1225561866876312,360384039.95034075,0.09087839299019167,0.03167779369743953
