year,clean_name,mean_fmv_all,median_fmv_all,min_fmv_all,quant25_all_fmv,quant50_all_fmv,quant75_all_fmv,max_fmv_all,mean_av_c2,muni_PC_total,muni_parcels,muni_PC_residential,muni_PC_industrial,muni_PC_commercial,muni_PC_inTIF,muni_PC_withincents,muni_PC_incents_inTIFs,muni_PC_claimed_exe,muni_fmv_incentive,muni_fmv_taxed,muni_fmv_inTIF,muni_fmv_exempt,muni_fmv_abated,muni_fmv_tif_increment,muni_fmv_abates_inTIF,muni_fmv_incents_inTIF,muni_fmv_untaxable_value,muni_fmv,muni_fmv_c2_res,muni_fmv_residential,muni_fmv_industrial,muni_fmv_indust_incent,muni_fmv_commercial,muni_fmv_commerc_incent,muni_zero_bill,muni_levy,muni_current_rate_avg,muni_min_TC_rate,muni_max_TC_rate,muni_avg_C2_bill_noexe,muni_avg_C2_bill_withexe,muni_final_tax_to_dist,muni_final_tax_to_tif,untaxable_value_av,muni_av,muni_av_taxed,muni_av_taxed_commerc,muni_av_taxed_indust,muni_eav_taxed,muni_c2_taxed,muni_res_taxed,muni_eav_taxed_commerc,muni_eav_taxed_indust,exempt_allexemptions_eav,exempt_GHE_eav,exempt_SR_eav,exempt_FR_eav,exempt_LTHO_eav,exempt_DIS_eav,exempt_VET_eav,total_value_eav,untaxable_value_eav,zero_bills,has_HO_exemp,has_SR_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,muni_range_TC_rate,muni_effective_rate,muni_pct_eav_taxed,pct_fmv_taxed,pct_fmv_w_incentclass,pct_fmv_inTIF,pct_fmv_in_tif_increment,pct_fmv_untaxable_value,pct_fmv_incents_inTIFs
2006,Blue Island,77146.01001562647,74209.375,0,27388,74209,95523,4420812.5,12613.665224625624,7962,7628,6121,190,401,774,24,19,3894,15871662,467415722,63487933,111052268,12804702,34935996,1863406,9464869,30484360,614236531.7444179,473800800,498609517,48962509,15680669,49031728,190994,744,26052939.643543325,0.103,0.088,0.123,3280.79,2386.505,26052939.643543325,2076668.3464566737,30484359.73808353,118357618,92793694.86876023,17699674.0407488,10962683.397054493,251248208.2266552,149359597.2454508,165295676.6840077,47923637.43273145,29682561.565864746,59592806,35373747,2785165,9956380,0,0,0,320465086.49679995,82539452.42683496,744,3894,864,579,0,0,0,0,81,0.034,4.242,0.104,0.761,0.026,0.103,0.057,0.05,0.015
2006,Bridgeview,183481.2530021066,125418.75,0,102747,125419,159338,14750218.75,21061.879272190803,5037,4487,4122,294,301,157,13,0,3210,37579544,764943171,39223875,134610513,0,24626171,0,0,32022002,924195071.3716109,535366644,557632398,211856335,37579544,140173229,0,185,41760447.65459028,0.082,0.076,0.102,4496.741,3219.235,41760447.65459028,1597107.1654097224,32022001.568138085,216217927,187575245.21856898,48042010.05513145,68752370.28617902,507878733.9537973,169883067.21360675,184315560.0683168,130078546.42527391,186153917.7868583,58315428,44703802,2996000,10615626,0,0,0,585431659.1451999,86702771.44589067,185,3210,730,430,0,0,0,0,0,0.026,4.519,0.082,0.828,0.041,0.042,0.027,0.035,0
2006,Broadview,155893.31982121838,102106.25,0,89878,102106,118028,9699989.47368421,16577.10600841944,3303,3220,2662,287,167,186,9,1,1929,19043325,401128041,77597247,64622262,0,49210453,0,1574369,30165185,514915635.3694843,270724862,278263117,164931499,19043325,67992558,0,132,23233799.81859763,0.088,0.079,0.096,3942.121,2728.801,23233799.81859763,4180293.0514023704,30165185.340577554,127140359,98654993.00230119,9530244.993216872,53981896.46305225,267118259.0530307,88716195.74513023,93320673.05211687,25804091.343634,146161382.86336026,27995398,20889362,1433950,5652535,0,0,19551,344245236.02839994,81675255.82814778,132,1928,418,254,0,0,0,1,0,0.018,4.512,0.087,0.779,0.037,0.151,0.096,0.059,0.003
2006,Brookfield,118210.8124397011,132200,0,74728,132200,150572,2869730.5555555555,19671.4304243798,8783,8580,7967,76,381,0,1,0,5799,441538,797138410,0,241003543,0,0,0,0,38606856,1038245565.6578947,976094250,981534933,13888046,441538,40369436,0,277,32456199.25,0.086,0.079,0.096,3474.587,3440.954,32456199.25,0,38606856.09490745,178273499,139689196.91562194,15305825.436132332,4911386.967914416,378222469.5687379,318490513.00851315,322021096.73713964,41442052.9508719,13298071.354325073,104424328,78597119,4229743,21597466,0,0,0,482693325.89239997,104531923.56257139,277,5799,1349,750,0,0,0,0,0,0.017,3.126,0.086,0.768,0,0,0,0.037,0
2006,Buffalo Grove,146140.0437186234,145843.75,0,88481,145844,179166,7039463.157894737,21962.42191689008,6107,3287,5970,0,65,0,0,0,4734,0,716311961,0,175431972,0,0,0,0,28069115,892477246.9896332,819198338,823676254,0,0,67272797,0,71,28263233.35,0.08,0.076,0.081,3357.573,3857.839,28263233.35,0,28069115.45279953,158046300,129859839.7679163,25563661.94712718,0,351608502.15561014,278572307.87319565,281482165.9577728,69216171.08804154,0,75999937,59024443,4393538,12581956,0,0,0,427926161.88,75999937,71,4734,1257,536,0,0,0,0,0,0.005,3.167,0.08,0.803,0,0,0,0.031,0
2006,Burbank,135409.35678470627,127075,0,107084,127075,147941,7938992.105263158,20596.288513586664,9919,9585,9276,3,371,0,0,0,7634,0,999589664,0,343292856,0,0,0,0,54926857,1343125409.9475014,1189049481,1204321740,1423714,0,131578452,0,105,40295530.2,0.078,0.077,0.099,4208.355,2866.796,40295530.2,0,54926856.99512484,245577659,190597361.78027007,49875530.44118786,512536.9366445284,516061416.7562592,366369042.26608783,376175034.7634409,135042986.22256023,1387745.009658725,148719958,108611894,6709500,33398564,0,0,0,664926069.5084,148719958,105,7634,2007,1211,0,0,0,0,0,0.022,3,0.078,0.744,0,0,0,0.041,0
2006,Burnham,55482.55053040755,48875,0,14126,48875,73219,4433621.052631579,10144.616974169741,2149,1994,1379,78,131,0,0,0,918,0,97062285,0,22143746,0,0,0,0,3545072,119232001.08984582,85912225,89586400,9736939,0,12456989,0,176,6471449.81,0.114,0.112,0.12,2823.198,2099.12,6471449.81,0,3545071.6501698922,24506080,20955509.527570575,4733655.494265878,3503449.145198407,56739137.59685009,27629435.478528395,29997608.80420066,12816845.61627429,9485938.905539207,9598636,7684627,518862,1395147,0,0,0,66352662.208,9598636,176,918,157,114,0,0,0,0,0,0.008,5.428,0.114,0.814,0,0,0,0.03,0
2006,Burr Ridge,398840.22295865155,297856.25,0,150396,297856,480570,15299518.421052631,58506.27044776119,1834,1272,1675,13,19,0,2,0,1150,4608119,686755482,0,44667408,0,0,0,0,7564727,731472968.9061669,612487519,612487519,21182838,4608119,72973421,0,59,20066407.68,0.056,0.056,0.059,6281.196,9229.693,20066407.68,0,7564727.48941149,137894523,130739719.58165354,27729900.182790246,6704198.179784627,353990864.7392851,245967103.05765095,245967103.05765095,75081477.73492287,18152286.991584852,19350636,16410024,1281000,1659612,0,0,0,373363210.4748,20482256.150330547,59,1150,313,56,0,0,0,0,0,0.004,2.743,0.057,0.939,0.006,0,0,0.01,0
2006,Calumet City,77284.09887984952,63562.5,0,33629,63562,83033,57754989.47368421,11518.786926190682,15529,14589,11759,191,986,759,99,58,8008,34883938,981721326,41320614,204497893,38872262,13822557,9371356,13160844,51686119,1200144771.5051835,835903969,872899498,44454296,16437988,242648463,18445950,1498,70263093.74773325,0.119,0.115,0.128,3517.245,2508.223,70263093.74773325,1069135.5222667435,51686119.16452555,251293456,215165056.12836254,87406735.99792667,10650349.471520025,582580905.9731543,272560891.34748363,296589270.1872295,236662478.3879862,28836886.229087617,123592730,66144468,6230936,16204105,0,0,12250,680402161.4655999,139945336.24986938,1498,8006,1803,1191,0,0,0,1,169,0.013,5.855,0.121,0.818,0.029,0.034,0.012,0.043,0.011
2006,Calumet Park,65746.02226332907,61531.53409090909,0,37592,61532,72342,3660747.3684210526,10244.7675493905,3230,3171,2482,94,233,478,9,9,1699,5997606,151939409,39633511,37666702,2324392,22151022,397944,5997606,13525847,212359651.9105529,152326888,167160662,11569665,2014112,27754083,3983494,174,9308012.439666908,0.115,0.115,0.115,2961.261,2186.048,9308012.439666908,2058666.1403330911,13525847.4948037,42657401,29812986.090405785,5261542.034743925,2027263.3071740174,80721641.13838269,49300351.23532529,58641965.60259729,14246151.21327265,5489018.130504369,18619755,12777885,1084197,2455736,0,0,0,115499178.94759999,36622584.676930495,174,1699,323,217,0,0,0,0,5,0,4.383,0.115,0.715,0.028,0.187,0.104,0.064,0.028
2006,Chicago,197192.18448189372,134018.75,0,73869,134019,211256,479938578.94736844,27961.358352902345,810211,602880,672568,12746,36326,124685,358,279,385586,797640228,119505684760,25389134901,26713761964,0,13033462672,0,664707996,7748092819,159767276981.25925,115417096912,123530055225,3973376743,688601385,29685482966,109038843,56599,3685269667.076902,0.053,0.053,0.08,3496.942,2795.624,3685269667.076902,497855653.81309813,7748092819.453408,33465581171,25584359352.591114,9226828235.863491,869826803.4807134,69272211383.0757,35968058070.16963,40870993223.18553,24982560131.423985,2355143053.104379,11575385051,8985043331,302715599,2287160609,0,0,465512,90611407578.5996,20978736117.952065,56599,385512,86821,50352,0,0,0,23,0,0.027,2.307,0.053,0.748,0.005,0.159,0.082,0.048,0.004
2006,Chicago Heights,60651.3689714748,48221.875,0,9188,48222,75073,11999958.333333334,9932.902849740933,14182,14162,9300,368,768,80,59,6,5943,38500962,694869613,21582325,144831378,29503020,7898173,0,2082644,37614378,860157714.7534556,575115075,579983033,124546545,36725088,121034749,1775875,2042,53199507.18156728,0.125,0.107,0.19,2773.281,2362.256,53199507.18156728,973200.4084327205,37614377.8888777,183384368,153955935.83763424,42157295.42790879,34692783.69992692,416851091.87397844,186278937.97984776,189442252.19632596,114145093.10060583,93934181.14592211,85844214,45499931,5329867,11916367,0,0,0,496531514.79679996,101844689.57192525,2042,5943,1607,1006,0,0,0,0,84,0.083,6.185,0.128,0.808,0.045,0.025,0.009,0.044,0.002
2006,Chicago Ridge,148686.56877555183,103250,0,58253,103250,128038,61469342.10526316,16152.550596782563,4443,2981,3961,115,197,154,10,6,2909,4632253,535519724,38152509,94526719,0,30567737,0,4231406,24286014,660614425.0697768,389074562,430679688,48233403,4632253,173792436,0,108,31071255.616365287,0.089,0.082,0.094,3732.294,2689.739,31071255.616365287,2191884.0736347134,24286014.234754335,156333826,132054017.86848113,63411876.464705765,11150458.607959146,357549458.78069943,125661286.56061234,152697297.81919885,171693996.7158373,30190981.726910178,40950487,30963530,2426375,7560582,0,0,0,423289467.2776,65756812.14202083,108,2909,713,423,0,0,0,0,0,0.012,4.703,0.087,0.811,0.007,0.058,0.046,0.037,0.006
2006,Cicero,121971.7854298778,114975,0,98581,114975,135731,8097028.947368421,19049.495732966276,17305,17079,14740,582,930,2102,34,26,10504,26910469,1467629116,312657952,490222249,0,152870414,0,17689769,123988921,2110721746.8640351,1729932331,1778693856,134761273,21164756,177309011,5745712,808,78363423.59307446,0.103,0.103,0.104,5013.312,3357.899,78363423.59307446,12345254.366925545,123988920.53737053,402764124,280248260.24984807,44040612.16432194,31263446.209339526,758800189.4524885,517952315.4584539,547341065.0760107,119244361.49611807,84648906.9564077,212389634,171796999,6187650,34404985,0,0,0,1090524142.1424,335712401.2469844,808,10504,1786,1184,0,0,0,0,0,0.001,3.713,0.103,0.695,0.013,0.148,0.072,0.059,0.008
2006,Country Club Hills,96555.67439883684,82621.875,0,66589,82622,98119,11666431.578947369,14352.259553601623,6384,5609,5914,10,61,32,4,1,4425,1828594,499865357,9750843,105803216,0,6472636,0,366012,19539611,616411425.3621744,530495394,530495394,2203051,912588,55644900,916006,186,31109469.77674807,0.126,0.121,0.133,4576.987,3692.776,31109469.77674807,821099.8632519308,19539611.34198127,111951050,91062807.98087619,16633659.089740714,610581.7283882076,246561658.88902035,183837311.53619573,183837311.53619573,45037295.35138195,1653211.0877839108,45835646,39313160,2239734,4282752,0,0,0,303118662.97999996,52905451.66954848,186,4425,644,295,0,0,0,0,0,0.012,5.047,0.126,0.811,0.003,0.016,0.011,0.032,0.001
2006,Countryside,207307.81854048985,171759.375,0,68894,171759,218919,5310397.368421053,24789.624710782045,2658,1947,2190,49,278,0,4,0,1552,5488400,481377057,0,69594373,0,0,0,0,11629056,551024181.680622,334814869,352930515,45155183,5488400,147251456,0,87,18924881.15,0.059,0.054,0.067,2583.909,3302.517,18924881.15,0,11629055.780327575,130191020,119047476.29649019,55863551.07559563,15158185.398846034,322332946.8203768,114874925.75288592,126646906.32118197,151256150.89228272,41042302.78591552,30149396,21989545,1458000,6701851,0,0,0,352505205.752,31486831.43081494,87,1551,422,206,0,0,0,0,0,0.012,3.434,0.059,0.874,0.01,0,0,0.021,0
2006,Crestwood,110154.4260195683,73668.75,0,54681,73669,120350,9248707.894736841,13432.178212290502,6104,3078,5384,165,205,4,6,0,3958,3843038,556934315,11385328,109490552,0,5943365,0,0,20114471,672382616.423445,450817481,457201077,54614288,3843038,142568589,0,138,27570596.92846378,0.078,0.064,0.083,1610.495,2365.368,27570596.92846378,487341.6515362219,20114470.501507767,150298262,130529538.95379452,52111218.38787136,18702328.61259242,353421779.67129403,147862218.63968498,152010432.827328,141096334.9070005,50638424.95145524,47433059,34647474,4029827,8755758,0,0,0,406947574.19119996,54461940.32988243,138,3958,1155,673,0,0,0,0,0,0.018,4.1,0.078,0.828,0.006,0.017,0.009,0.03,0
2006,Deer Park,102793.14630681818,108965.625,0,35444,108966,153977,248943.75,23235.363636363636,16,16,11,0,0,0,0,0,7,0,1469771,0,174915,0,0,0,0,27986,1644690.3409090908,1597431,1597431,0,0,0,0,4,50031.68,0.078,0.078,0.078,4019.715,4538.169,50031.68,0,27986.408627566852,265986,237998.9571210208,0,0,644405.9763008758,616255.0231839258,616255.0231839258,0,0,75776,72276,3500,0,0,0,0,720183.6935999999,75776,4,7,1,0,0,0,0,0,0,0,3.042,0.078,0.894,0,0,0,0.017,0
2006,Deerfield,2627901.9255278087,835839.4736842106,0,227658,835839,3410987,22105265.789473683,NA,73,73,0,4,58,0,0,0,0,0,191836840,0,0,0,0,0,0,0,191836840.56353003,0,0,4823339,0,185593029,0,7,12198292.61,0.063,0.058,0.064,NA,NA,12198292.61,0,0,72574257,72574256.72428177,70525350.70534746,1736401.9393653572,196502057.5066653,0,0,190954439.56979877,4701481.891025641,0,0,0,0,0,0,0,196502058.2532,0,7,0,0,0,0,0,0,0,0,0.006,6.359,0.062,1,0,0,0,0,0
2006,Des Plaines,187217.731488457,152356.25,0,109731,152356,178984,31765362.5,24341.45843091335,23023,18701,20670,337,919,1284,11,1,16242,80041744,3546811762,248042675,629145771,0,132097388,0,15583519,137945249,4310313832.058745,3118140825,3181185696,530264834,80041744,564696562,0,797,149748743.64483443,0.071,0.063,0.084,3775.395,3728.364,149748743.64483443,5982471.01516557,137945249.24932668,910358165,778094499.9902315,197743166.11230278,172480457.37500018,2106768668.1735506,1044992736.057132,1084951704.3760848,535409396.565671,467008086.3885504,272556275,196919579,17341275,58210488,0,0,84933,2464885767.554,373500556.8674769,797,16239,4630,2037,0,0,0,3,0,0.022,3.474,0.071,0.823,0.019,0.058,0.031,0.032,0.004
2006,Dixmoor,30955.17166624772,10884.090909090908,0,5423,10884,35114,1597562.5,5213.488095238095,2208,2208,1049,41,117,785,0,0,566,0,43949652,24416436,10330796,452136,14067721,0,0,6307275,68349019.03907496,32844975,41352888,11096208,0,10464087,0,377,3262381.5972287473,0.115,0.113,0.161,1386.201,865.941,3262381.5972287473,1736342.4427712525,6307274.610377182,16463967,10319279.609128784,1333742.0972549338,2945302.966899183,27940481.469677094,8789809.190459272,14013258.725582179,3611240.1025274587,7974702.313176228,4916179,3276756,472205,726505,0,0,0,44577837.0492,17077576.735057257,377,566,173,112,0,0,0,0,4,0.048,4.773,0.117,0.643,0,0.357,0.206,0.092,0
2006,Dolton,71150.53709857645,69378.125,0,53438,69378,78873,5914075,11105.366601514781,9330,9112,8201,99,293,155,8,1,6013,6538731,515189597,30967981,138535558,4001239,10181230,5914075,5914075,27864437,663834511.1297182,568178319,571586177,30382376,6486238,52812471,52494,454,35234570.11750195,0.134,0.123,0.142,3776.942,2762.412,35234570.11750195,1295588.21249805,27864437.35926464,123290886,97390734.29125279,16500951.794728624,9530975.944030443,263695152.16699603,186064331.4334566,188278839.4598439,44677977.07940722,25806070.466056824,63714744,49968531,2961157,7059765,0,0,33474,333822402.93359995,75445750.59394494,454,6007,876,555,0,0,0,6,29,0.019,5.308,0.134,0.776,0.01,0.047,0.015,0.042,0.009
2006,East Dundee,1127243.1818181819,1127243.1818181819,793913.6363636364,960578,1127243,1293908,1460572.7272727273,NA,2,2,0,0,0,0,0,0,0,0,2254486,0,0,0,0,0,0,0,2254486.3636363638,0,0,0,0,0,0,0,94663.42000000001,0.07,0.07,0.07,NA,NA,94663.42000000001,0,0,495987,495986.86408487154,0,0,1342934.033196198,0,0,0,0,0,0,0,0,0,0,0,1342934.4011999997,0,0,0,0,0,0,0,0,0,0,0,4.199,0.07,1,0,0,0,0,0
2006,East Hazelcrest,83608.77625820914,75537.5,0,48683,75538,95264,1867584.2105263157,13238.927835051547,674,673,485,37,32,11,3,0,325,690288,46048812,6510176,9177422,0,1126094,0,0,1951866,56352315.19803296,40130500,40130500,8054632,690288,7354761,0,92,3324245.5101480377,0.12,0.12,0.12,4279.209,2827.549,3324245.5101480377,136434.72985196247,1951865.9479663884,12156032,10266294.52887321,2491592.027619476,2643475.4389677094,27797019.0663771,13409372.522786185,13409372.522786185,6746234.573982493,7157474.098548969,3975806,3084612,268762,622432,0,0,0,32913672.243199997,5284872.240713793,92,325,78,46,0,0,0,0,0,0,5.899,0.12,0.817,0.012,0.116,0.02,0.035,0
2006,Elgin,126782.23641615133,109931.25,0,86611,109931,129097,9207006.25,18662.40207845433,7668,6337,6881,91,177,0,4,0,4880,15820556,837289656,0,134692329,0,0,0,0,23003136,972166188.8390484,796884569,817119410,64771820,15820556,73368282,0,326,37445187.16,0.085,0.084,0.091,4020.914,3381.265,37445187.16,0,23003136.196237687,184079158,162474427.97286615,27840189.144313052,20151457.908669207,439915761.1793323,286841976.0916694,299991064.3546908,75380096.12714201,54562087.43351274,58382399,50149946,2492000,5721195,0,0,19258,498412728.20079994,62283291.56493315,326,4879,724,327,0,0,0,1,0,0.008,3.852,0.085,0.861,0.016,0,0,0.024,0
2006,Elk Grove Village,254188.80996486158,153581.25,0,126781,153581,189662,37749256.25,24293.72252485949,13461,10295,11581,1237,249,15,75,0,9560,210766362,3080313908,26867429,316632719,0,24001143,0,0,78750642,3421635570.9370017,1755980631,1824638356,1262066062,210766362,308196063,0,334,136992462.2482842,0.068,0.057,0.08,3713.368,3779.91,136992462.2482842,1690517.3217157994,78750641.66379113,832353490,772444077.697601,107918067.02947156,412190511.1232739,2091469584.7740242,623346445.57475245,667818373.8326246,292198958.2889972,1116047027.9173765,137170360,106609517,7707000,22853843,0,0,0,2253680309.5239997,213225237.36888087,334,9560,2202,920,0,0,0,0,0,0.022,4.004,0.066,0.9,0.062,0.008,0.007,0.023,0
