"","key_pin","pi_ns","address","tax_district","classes","subclass2","land_total_sf","gba","market_value","x2025_partial_value","x2025_partial_value_reason","sheet_name","file_name","idph_number","bldg_sf","units_beds","revenue_bed_night","est_pgi","est_vacancy_percent","exp_percent","noi","cap_rate","final_mv_bed","impr_name","year_blt","units_keys","rev_key_night","occupancy","rev_par","total_rev","ebitda_noi","final_mv_key","investment_rating","adj_rent_sf","pgi","v_c","egi","percent_exp","l_b_ratio","excess_land_area","excess_land_value","final_mv_sf","studios","x1br","x2br","x3br","x4br","mobile_home_pads","comm_sf","adjusted_pgi","final_mv_unit","nbhd","town_region","land_total_val","model"
"11","01-01-100-079-0000","01-01-100-079-0000","237 W MAIN BARRINGTON","10021","5-92","57:OFFICE-SINGLETENANT","9603",NA,"373000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"2100",NA,NA,NA,NA,NA,"33535.6167749823","0.09",NA,NA,"1965",NA,NA,NA,NA,NA,NA,NA,"C","34","71400","0.1","64260","0.478126100607185","4","0","0","177.437125793557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","01-01-100-119-8002","01-01-100-119-8002","111 W MAIN BARRINGTON","10148","5-92","84:RETAIL-SHOPPING CENTERS","0",NA,"8724000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"27404",NA,NA,NA,NA,NA,"610700.387711659","0.07",NA,NA,"2015",NA,NA,NA,NA,NA,NA,NA,"B","48.4","1326353.6","0.05","1260035.92","0.515330969523743","6","0","0","318.358314589976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","01-01-101-001-0000","01-01-101-001-0000","101 S HOUGH BARRINGTON","10148","5-92","77:RETAIL-MULTI TENANT","9042",NA,"1764000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"12060",NA,NA,NA,NA,NA,"145536.281203925","0.0825",NA,NA,"1950",NA,NA,NA,NA,NA,NA,NA,"C","25.2","303912","0.05","288716.4","0.495919590283319","4","0","0","146.274969801422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","01-01-101-005-0000","01-01-101-005-0000","127  PARK BARRINGTON","10148","5-92","77:RETAIL-MULTI TENANT","4296",NA,"731000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"4500",NA,NA,NA,NA,NA,"60338.4133008548","0.0825",NA,NA,"2006",NA,NA,NA,NA,NA,NA,NA,"C","28","126000","0.05","119700","0.495919688380495","4","0","0","162.527712594895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","01-01-101-006-0000","01-01-101-006-0000","133  PARK BARRINGTON","10148","5-92","56:OFFICE-MULTITENANT","3234",NA,"775000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"5340",NA,NA,NA,NA,NA,"73595.3735905192","0.095",NA,NA,"1942",NA,NA,NA,NA,NA,NA,NA,"C","30.6","163404","0.15","138893.4","0.470130520308962","4","0","0","145.072685965936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","01-01-101-007-0000","01-01-101-007-0000 01-01-101-015-0000 01-01-101-024-0000","135  PARK BARRINGTON","10148","5-92 5-92 5-90","77:RETAIL-MULTI TENANT","6406",NA,"1352000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"9240",NA,NA,NA,NA,NA,"111505.2967128","0.0825",NA,NA,"1949",NA,NA,NA,NA,NA,NA,NA,"C","25.2","232848","0.05","221205.6","0.495920100066184","4","0","0","146.274821871704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","01-01-102-001-0000","01-01-102-001-0000","105 S COOK BARRINGTON","10148","5-92","86:RETAIL-RESTAURANTS","2574",NA,"1218000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"4694",NA,NA,NA,NA,NA,"97419.0455094939","0.08",NA,NA,"1910",NA,NA,NA,NA,NA,NA,NA,"B","45.254","212422.276","0.05","201801.1622","0.517252306936942","4","0","0","259.424386209773",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","01-01-102-003-0000","01-01-102-003-0000","117 S COOK BARRINGTON","10148","5-92","77:RETAIL-MULTI TENANT","1298",NA,"430000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"2442",NA,NA,NA,NA,NA,"31154.0882890061","0.0725",NA,NA,"1918",NA,NA,NA,NA,NA,NA,NA,"B","28","68376","0.05","64957.2","0.520390529625568","4","0","0","175.967060854619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","01-01-102-005-0000","01-01-102-005-0000","207  PARK BARRINGTON","10148","5-92","77:RETAIL-MULTI TENANT","2311",NA,"919000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"5148",NA,NA,NA,NA,NA,"66645.0585613691","0.0725",NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,"B","27.72","142702.56","0.05","135567.432","0.5083991960446","4","0","0","178.56297339809",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","01-01-102-008-0000","01-01-102-008-0000","219  PARK BARRINGTON","10148","5-92","77:RETAIL-MULTI TENANT","488",NA,"201000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"1122",NA,NA,NA,NA,NA,"16548.7590109687","0.0825",NA,NA,"1948",NA,NA,NA,NA,NA,NA,NA,"C","30.8","34557.6","0.05","32829.72","0.495921408681868","4","0","0","178.779873720831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","01-01-103-002-0000","01-01-103-002-0000","257 W MAIN BARRINGTON","10148","5-92","56:OFFICE-MULTITENANT","9072",NA,"2191000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"15105",NA,NA,NA,NA,NA,"208175.895953026","0.095",NA,NA,"1987",NA,NA,NA,NA,NA,NA,NA,"C","30.6","462213","0.15","392881.05","0.470129964392464","4","0","0","145.072838170021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","01-01-103-003-0000","01-01-103-003-0000 01-01-103-004-0000","303 E MAIN BARRINGTON","10148","5-92 5-92","56:OFFICE-MULTITENANT","21420",NA,"4867000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"27863",NA,NA,NA,NA,NA,"413653.98564476","0.085",NA,NA,"2002",NA,NA,NA,NA,NA,NA,NA,"B","32.64","909448.32","0.15","773031.072","0.464893455609039","4","0","0","174.65877608921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","01-01-104-003-0000","01-01-104-003-0000 01-01-104-004-0000","200 S COOK BARRINGTON","10148","5-92 5-92","77:RETAIL-MULTI TENANT","10824",NA,"2465000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"16850",NA,NA,NA,NA,NA,"203340.619124019","0.0825",NA,NA,"1918",NA,NA,NA,NA,NA,NA,NA,"C","25.2","424620","0.05","403389","0.495919276123001","4","0","0","146.275060965035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","01-01-104-012-0000","01-01-104-012-0000","220 S COOK BARRINGTON","10148","5-92","56:OFFICE-MULTITENANT","3762",NA,"588000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"3650",NA,NA,NA,NA,NA,"55893.2188479546","0.095",NA,NA,"1989",NA,NA,NA,NA,NA,NA,NA,"C","34","124100","0.15","105485","0.470131119609853","4","0","0","161.191690981845",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","01-01-104-014-0000","01-01-104-014-0000 01-01-105-011-0000","201 S HOUGH BARRINGTON","10148","5-92 5-90","57:OFFICE-SINGLETENANT","43156",NA,"3641000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"20292",NA,NA,NA,NA,NA,"327720.268836375","0.09",NA,NA,"2005",NA,NA,NA,NA,NA,NA,NA,"C","33.66","683028.72","0.1","614725.848","0.466883863916561","4","0","0","179.446891405686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","01-01-105-001-0000","01-01-105-001-0000","201 S COOK BARRINGTON","10148","5-92","76:RETAIL-SINGLE TENANT","1530",NA,"362000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"2230",NA,NA,NA,NA,NA,"29900.9227330444","0.0825",NA,NA,"1948",NA,NA,NA,NA,NA,NA,NA,"C","28","62440","0.05","59318","0.495921596597249","4","0","0","162.527097339554",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","01-01-105-002-0000","01-01-105-002-0000","205 S COOK BARRINGTON","10148","5-92","76:RETAIL-SINGLE TENANT","2282",NA,"340000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"2095",NA,NA,NA,NA,NA,"28090.7920329869","0.0825",NA,NA,"1895",NA,NA,NA,NA,NA,NA,NA,"C","28","58660","0.05","55727","0.495921330181297","4","0","0","162.527183238515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","01-01-200-001-0000","01-01-200-001-0000","325 E MAIN BARRINGTON","10021","5-92","76:RETAIL-SINGLE TENANT","9660",NA,"570000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"3493",NA,NA,NA,NA,NA,"47003.7437422949","0.0825",NA,NA,"1893",NA,NA,NA,NA,NA,NA,NA,"C","28","97804","0.05","92913.8","0.49411450460217","4","0","0","163.109747607058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","01-01-200-009-0000","01-01-200-009-0000","112  WOOL BARRINGTON","10021","5-92","56:OFFICE-MULTITENANT","3102",NA,"372000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"2300",NA,NA,NA,NA,NA,"35335.4452572875","0.095",NA,NA,"1949",NA,NA,NA,NA,NA,NA,NA,"C","34","78200","0.15","66470","0.468400101439936","4","0","0","161.718284930377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","01-01-201-035-0000","01-01-201-035-0000 01-01-201-036-0000","148 S NORTHWEST BARRINGTON","10021","5-92 5-90","77:RETAIL-MULTI TENANT","17760",NA,"829000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"4160",NA,NA,NA,NA,NA,"60070.4591087036","0.0725",NA,NA,"1958",NA,NA,NA,NA,NA,NA,NA,"B","30.8","128128","0.05","121721.6","0.5064930208878","4","0","0","199.172609776869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","01-01-201-063-0000","01-01-201-063-0000 01-01-201-073-0000","126 S NORTHWEST BARRINGTON","10021","5-92 5-90","57:OFFICE-SINGLETENANT","10920",NA,"543000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"2714",NA,NA,NA,NA,NA,"48866.8843398462","0.09",NA,NA,"1895",NA,NA,NA,NA,NA,NA,NA,"C","37.4","101503.6","0.1","91353.24","0.465077709998614","4",NA,"0","200.060936460518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","01-01-201-078-0000","01-01-201-078-0000","118  WOOL BARRINGTON","10021","5-92","86:RETAIL-RESTAURANTS","17464",NA,"2255000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"13102",NA,NA,NA,NA,NA,"180437.31997585","0.08",NA,NA,"1878",NA,NA,NA,NA,NA,NA,NA,"B","29.92","392011.84","0.05","372411.248","0.515489070362746","4","0","0","172.146733300116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","01-01-202-014-0000","01-01-202-014-0000 01-01-202-015-0000 01-01-202-016-0000 01-01-202-017-0000 01-01-202-018-0000 01-01-202-019-0000","215 S NORTHWEST BARRINGTON","10021","5-92 5-92 5-92 5-92 5-90 5-90","56:OFFICE-MULTITENANT","31926",NA,"1974000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"13564",NA,NA,NA,NA,NA,"187548.918788308","0.095",NA,NA,"1985",NA,NA,NA,NA,NA,NA,NA,"C","30.6","415058.4","0.15","352799.64","0.468398213818165","4","0","0","145.546973248311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","01-01-211-006-0000","01-01-211-006-0000 01-01-211-007-0000 01-01-211-008-0000","800 S NORTHWEST BARRINGTON","10021","5-92 5-92 5-92","56:OFFICE-MULTITENANT","28080",NA,"1674000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"11502",NA,NA,NA,NA,NA,"159037.76172178","0.095",NA,NA,"1986",NA,NA,NA,NA,NA,NA,NA,"C","30.6","351961.2","0.15","299167.02","0.468398081707736","4","0","0","145.547009418756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","01-01-211-031-0000","01-01-211-031-0000","836 S NORTHWEST BARRINGTON","10021","5-92","56:OFFICE-MULTITENANT","11325",NA,"555000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"3432",NA,NA,NA,NA,NA,"52726.8491694751","0.095",NA,NA,"1958",NA,NA,NA,NA,NA,NA,NA,"C","34","116688","0.15","99184.8","0.468397887887306","4","0","0","161.718958316388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","01-01-211-036-0000","01-01-211-036-0000","840 S NORTHWEST BARRINGTON","10021","5-92","56:OFFICE-MULTITENANT","12835",NA,"591000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"3400",NA,NA,NA,NA,NA,"50251.6749915192","0.085",NA,NA,"1962",NA,NA,NA,NA,NA,NA,NA,"B","34","115600","0.15","98260","0.488584622516596","4","0","0","173.881228344357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","01-02-201-011-0000","01-02-201-011-0000 01-02-201-012-0000 01-02-201-013-0000","312 S HAGER BARRINGTON","10021","5-22 5-90 5-90","58:RETAIL-AUTOMOTIVE SERVICE GARAGE","26136",NA,"555000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"4250",NA,NA,NA,NA,NA,"44424.8536768161","0.08",NA,NA,"1954",NA,NA,NA,NA,NA,NA,NA,"C","22","93500","0.05","88825","0.499860921172912","6","0","0","130.661334343577",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","01-02-201-017-0000","01-02-201-017-0000","509 W MAIN BARRINGTON","10021","5-92","56:OFFICE-MULTITENANT","9504",NA,"389000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"2740",NA,NA,NA,NA,NA,"36938.7060907623","0.095",NA,NA,"1926",NA,NA,NA,NA,NA,NA,NA,"C","30.6","83844","0.15","71267.4","0.481688596879326","4","0","0","141.908206264934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","01-02-201-024-0000","01-02-201-023-0000 01-02-201-024-0000","860  COUNTRY BARRINGTON","10021","5-90 5-92","56:OFFICE-MULTITENANT","17424",NA,"1068000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"7340",NA,NA,NA,NA,NA,"101489.593545957","0.095",NA,NA,"1979",NA,NA,NA,NA,NA,NA,NA,"C","30.6","224604","0.15","190913.4","0.468399842305688","4","0","0","145.546527385569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","01-02-202-004-0000","01-02-202-004-0000 01-02-202-036-0000","419 W MAIN BARRINGTON","10021","5-22 5-22","58:RETAIL-AUTOMOTIVE SERVICE GARAGE","56026",NA,"1443000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"12240",NA,NA,NA,NA,NA,"115412.371013697","0.08",NA,NA,"1992",NA,NA,NA,NA,NA,NA,NA,"C","19.36","236966.4","0.05","225118.08","0.487325180573249","6","0","0","117.86394098621",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","01-02-202-033-0000","01-02-202-033-0000","120  LAGESCHULTE BARRINGTON","10021","5-92","77:RETAIL-MULTI TENANT","11579",NA,"1349000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"9188",NA,NA,NA,NA,NA,"111275.10084337","0.0825",NA,NA,"1979",NA,NA,NA,NA,NA,NA,NA,"C","25.2","231537.6","0.05","219960.72","0.494113763387528","4","0","0","146.798987933364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","01-02-202-044-0000","01-02-202-044-0000","300  LAGESCHULTE BARRINGTON","10021","5-92","57:OFFICE-SINGLETENANT","8918",NA,"901000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"5640",NA,NA,NA,NA,NA,"81060.5875112925","0.09",NA,NA,"1993",NA,NA,NA,NA,NA,NA,NA,"C","30.6","172584","0.1","155325.6","0.478124742403747","4","0","0","159.693828824453",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","01-02-202-048-0000","01-02-202-048-0000","210  LAGESCHULTE BARRINGTON","10021","5-22","58:RETAIL-AUTOMOTIVE SERVICE GARAGE","17603",NA,"1056000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"10104",NA,NA,NA,NA,NA,"84493.1225713968","0.08",NA,NA,"1989",NA,NA,NA,NA,NA,NA,NA,"C","17.6","177830.4","0.05","168938.88","0.499859815742849","6","0","0","104.529298509745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","01-02-203-017-0000","01-02-203-017-0000","111  LAGESCHULTE BARRINGTON","10021","5-22","58:RETAIL-AUTOMOTIVE SERVICE GARAGE","10296",NA,"492000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"3426",NA,NA,NA,NA,NA,"39392.9286260526","0.08",NA,NA,"1986",NA,NA,NA,NA,NA,NA,NA,"C","24.2","82909.2","0.05","78763.74","0.4998595974994","6","0","0","143.72784816861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","01-12-108-004-0000","01-12-108-004-0000","1410 S BARRINGTON BARRINGTON","10021","4-97","109:SPECIAL-SPORT FACILITIES/FITNESS CENTERS","206880",NA,"9850000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"64249",NA,NA,NA,NA,NA,"591006.459329704","0.06",NA,NA,"1999",NA,NA,NA,NA,NA,NA,NA,"B","19.36","1243860.64","0.05","1181667.608","0.499853888412837","4","0","0","153.311454738518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","01-12-108-014-0000","01-12-108-014-0000 01-12-108-015-0000","1250  GROVE BARRINGTON","10021","5-92 5-92","114:SPECIAL-CBD OFFICE","186194",NA,"6731000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"92573",NA,NA,NA,NA,NA,"605826.427286954","0.09",NA,NA,"1989",NA,NA,NA,NA,NA,NA,NA,"B","19","1758887","0.34","1160865.42","0.478125184151877","4","0","0","72.7145576748385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","01-12-301-003-0000","01-12-301-003-0000 01-12-301-004-0000 01-12-301-008-0000 01-12-301-018-0000 01-12-301-019-0000 01-12-301-022-0000 01-12-400-007-0000","1475 S BARRINGTON BARRINGTON","10021","5-97 5-90 5-97 5-90 5-97 5-90 5-90","61:RETAIL-AUTOMOTIVE AUTO DEALERSHIP","994855",NA,"31848000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"185622",NA,NA,NA,NA,NA,"2070127.43269393","0.065",NA,NA,"2012",NA,NA,NA,NA,NA,NA,NA,"B","24.288","4508387.136","0.05","4282967.7792","0.516660516862304","6","0","0","171.575106125014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","01-12-301-015-0000","01-12-301-015-0000","1445 S BARRINGTON BARRINGTON","10076","5-97","58:RETAIL-AUTOMOTIVE SERVICE GARAGE","168300",NA,"2435000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"15375",NA,NA,NA,NA,NA,"133964.271280971","0.08",NA,NA,"1977",NA,NA,NA,NA,NA,NA,NA,"C","17.6","270600","0.05","257070","0.4788801832926","6","76050","760500","108.914041691847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","01-12-301-017-0000","01-12-301-017-0000","1455 S BARRINGTON BARRINGTON","10021","5-97","112:SPECIAL-SELF STORAGE","140250",NA,"13145000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"100527",NA,NA,NA,NA,NA,"788695.669908085","0.06",NA,NA,"1986",NA,NA,NA,NA,NA,NA,NA,"B","19.8","1990434.6","0.08","1831199.832","0.569301145551828","4","0","0","130.760172210465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","01-12-301-021-0000","01-12-301-021-0000","18 E DUNDEE BARRINGTON","10021","5-97","61:RETAIL-AUTOMOTIVE AUTO DEALERSHIP","372408",NA,"11404000",NA,NA,"Specials","Barrington 2025.T10.PublicModel.xlsx",NA,"58532",NA,NA,NA,NA,NA,"734367.703062981","0.065",NA,NA,"2023",NA,NA,NA,NA,NA,NA,NA,"B","27.324","1599328.368","0.05","1519361.9496","0.516660461810093","6","21216","106080","193.022016375784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
