agency_number,agency_name,recaptured_sp_ptab,recaptured_coe,year,total_recaptured
020060004,CICERO COMM MENTAL HLTH FD,-15502,-154,2021,-15656
020060023,TOWN OF CICERO - JUDGEMENT FUND,-80341,-735,2021,-81076
020060024,TOWN OF CICERO - 2007 ESCROW,-17909,-178,2021,-18087
020060025,TOWN OF CICERO - 2010B ESCROW ACCOUNT,-15355,-152,2021,-15507
020060026,TOWN OF CICERO - 2012 ESCROW,-48930,-488,2021,-49418
020060027,TOWN OF CICERO - 2014A ESCROW,-2392,-13,2021,-2405
020060028,TOWN OF CICERO - 2017 ESCROW,-34709,-356,2021,-35065
020060080,TOWN OF CICERO FIRE PENSION ESCROW,-137869,-1419,2021,-139288
020060085,TOWN OF CICERO - POLICE PENSION ESCROW ACCT,-160205,-1667,2021,-161872
020060500,TIF TOWN OF CICERO,-913418,0,2021,-913418
020060501,TIF TOWN OF CICERO-LARAMIE/25TH ST,-6457,0,2021,-6457
020060502,TIF TOWN OF CICERO-54TH AVE,-21792,0,2021,-21792
020060503,TIF TOWN OF CICERO-TOWN SQUARE,-189982,0,2021,-189982
020070000,TOWN ELK GROVE,-60080,-378,2021,-60458
020070002,GENERAL ASSISTANCE ELK GROVE,-11949,-79,2021,-12028
020070003,TOWN ELK GROVE ROAD FUND,-7612,-47,2021,-7659
020090000,TOWN HANOVER,-77051,-1729,2021,-78780
020090002,GENERAL ASSISTANCE HANOVER,-5920,-132,2021,-6052
020090003,TOWN HANOVER ROAD FUND,-13058,-294,2021,-13352
020090004,HANOVER COMM MENTAL HLTH FAC&SERV DIST,-17406,-394,2021,-17800
020100000,TOWN LEMONT,-16519,-111,2021,-16630
020100002,GENERAL ASSISTANCE LEMONT,-890,-6,2021,-896
020100003,ROAD AND BRIDGE LEMONT,-17795,-120,2021,-17915
020110000,TOWN LEYDEN,-87745,-772,2021,-88517
020110002,GENERAL ASSISTANCE LEYDEN,-5865,-48,2021,-5913
020110003,ROAD AND BRIDGE LEYDEN,-74363,-642,2021,-75005
020110008,TOWN LEYDEN - WESTDALE PARK DIST,-1351,0,2021,-1351
020120000,TOWN LYONS,-59888,-1994,2021,-61882
020120002,GENERAL ASSISTANCE LYONS,-1683,-95,2021,-1778
020120003,ROAD AND BRIDGE LYONS,-19836,-698,2021,-20534
020120004,LYONS MENTAL HEALTH,-88096,-3111,2021,-91207
020120006,LYONS TWP SPECIAL POLICE DIST,-455,0,2021,-455
020130000,TOWN MAINE,-50941,-2095,2021,-53036
020130002,GENERAL ASSISTANCE MAINE,-6385,-335,2021,-6720
020130003,ROAD AND BRIDGE MAINE,-25741,-1318,2021,-27059
020140000,TOWN NEW TRIER,-22751,-2673,2021,-25424
020140002,GENERAL ASSISTANCE NEW TRIER,-3355,-396,2021,-3751
020150000,TOWN NILES,-41142,-1837,2021,-42979
020150002,GENERAL ASSISTANCE NILES,-6371,-287,2021,-6658
020160000,TOWN NORTHFIELD,-20652,-4396,2021,-25048
020160002,GENERAL ASSISTANCE NORTHFIELD,-6277,-1415,2021,-7692
020160003,ROAD AND BRIDGE NORTHFIELD,-27104,-5872,2021,-32976
020160006,NORTHFIELD TWP SPECIAL POLICE DISTR,-239,-26,2021,-265
020170000,TOWN NORWOOD PARK,-5764,-249,2021,-6013
020170002,GENERAL ASSISTANCE NORWOOD PARK,-110,-5,2021,-115
020170003,ROAD AND BRIDGE NORWOOD PARK,-1327,-52,2021,-1379
020180000,TOWN OAK PARK,-32968,-5710,2021,-38678
020180002,GENERAL ASSISTANCE OAK PARK,-4586,-296,2021,-4882
020180004,OAK PARK MENTAL HEALTH DISTRICT,-16624,-2572,2021,-19196
020190000,TOWN ORLAND,-47357,-1145,2021,-48502
020190002,GENERAL ASSISTANCE ORLAND,-4083,-95,2021,-4178
020190003,ROAD AND BRIDGE ORLAND,-13631,-316,2021,-13947
020200000,TOWN PALATINE,-28520,-734,2021,-29254
020200002,GENERAL ASSISTANCE PALATINE,-4387,-121,2021,-4508
020200003,ROAD AND BRIDGE PALATINE,-20142,-517,2021,-20659
020210000,TOWN PALOS,-22492,-327,2021,-22819
020210002,GENERAL ASSISTANCE PALOS,-3106,-44,2021,-3150
020210003,ROAD AND BRIDGE PALOS,-14508,-214,2021,-14722
020220000,TOWN PROVISO,-84226,-1270,2021,-85496
020220002,GENERAL ASSISTANCE PROVISO,-41822,-630,2021,-42452
020220004,MENTAL HEALTH DISTRICT PROVISO,-102499,-1537,2021,-104036
020230000,TOWN RICH,-58843,-9719,2021,-68562
020230002,GENERAL ASSISTANCE RICH,-10696,-1696,2021,-12392
020230003,ROAD AND BRIDGE RICH,-11599,-1762,2021,-13361
020240000,TOWN RIVER FOREST,-6476,-287,2021,-6763
020240002,GENERAL ASSISTANCE RIVER FOREST,-128,-5,2021,-133
020250000,TOWN RIVERSIDE,-4433,-1255,2021,-5688
020250002,GENERAL ASSISTANCE RIVERSIDE,-570,-154,2021,-724
020250004,RIVERSIDE MENTAL HEALTH DISTRICT,-4919,-1365,2021,-6284
020260000,TOWN SCHAUMBURG,-119014,-1088,2021,-120102
020260002,GENERAL ASSISTANCE SCHAUMBURG,-17673,-154,2021,-17827
020260003,ROAD AND BRIDGE SCHAUMBURG,-18173,-161,2021,-18334
020270000,TOWN STICKNEY,-136649,-250,2021,-136899
020270002,GENERAL ASSISTANCE STICKNEY,-7000,-14,2021,-7014
020270003,ROAD AND BRIDGE STICKNEY,-27743,-51,2021,-27794
020270004,STICKNEY PUBLIC HEALTH DISTRICT,-109196,-201,2021,-109397
020280000,TOWN THORNTON,-451472,-8851,2021,-460323
020280002,GENERAL ASSISTANCE THORNTON,-265757,-5363,2021,-271120
020280003,ROAD AND BRIDGE THORNTON,-27462,-554,2021,-28016
020290000,TOWN WHEELING,-30125,-3256,2021,-33381
020290002,GENERAL ASSISTANCE WHEELING,-6241,-605,2021,-6846
020290003,TOWN WHEELING ROAD FUND,-5602,-586,2021,-6188
020300000,TOWN WORTH,-69709,-2854,2021,-72563
020300002,GENERAL ASSISTANCE WORTH,-17258,-717,2021,-17975
020300003,ROAD AND BRIDGE WORTH,-17339,-709,2021,-18048
030010000,VILLAGE OF   ALSIP,-381032,-13920,2021,-394952
030010020,VILLAGE OF ALSIP   RB,-4885,-181,2021,-5066
030010080,VILLAGE OF ALSIP FIRE PENSION ESCROW,-120192,-4314,2021,-124506
030010085,VILLAGE OF ALSIP - POLICE PENSION ESCROW,-186290,-6751,2021,-193041
030010501,TIF VIL OF ALSIP-123RD PL/CICERO AVE,0,-43767,2021,-43767
030010502,TIF VIL OF ALSIP-PULASKI ROAD CORRIDOR,-16427,0,2021,-16427
030020000,VILLAGE OF ARLINGTON HEIGHTS,-440356,-57258,2021,-497614
030020001,VILLAGE OF ARLINGTON HTS LIBRARY FUND,-231216,-33442,2021,-264658
030020020,VILLAGE OF ARLINGTON HEIGHTS RB,-4586,-568,2021,-5154
030020080,VILLAGE OF ARLINGTON HEIGHTS FIRE PENSION,-81005,-12290,2021,-93295
030020085,VILLAGE OF ARLINGTON HEIGHTS POLICE PENSION,-64156,-10750,2021,-74906
030020505,TIF VIL OF ARLINGTON HEIGHTS-5,-44360,0,2021,-44360
030020506,TIF VIL OF ARLINGTON HEIGHTS-HICKORY/KENSING,-18361,-1252,2021,-19613
030030000,VILLAGE OF   BARRINGTON,-23952,-424,2021,-24376
030030020,VILLAGE OF BARRINGTON RB,-612,0,2021,-612
030030080,VILLAGE OF BARRINGTON FIRE PENSION ESCROW,-4033,-67,2021,-4100
030030085,VILLAGE OF BARRINGTON POLICE PENSION ESCROW,-12544,-233,2021,-12777
030030100,VILLAGE OF BARRINGTON SPECIAL SERVICE AREA,-1237,0,2021,-1237
030030500,TIF VIL OF BARRINGTON-VILLAGE CENTER,-67133,0,2021,-67133
030040000,VILLAGE OF   BARRINGTON HILLS,-58637,0,2021,-58637
030040085,VILLAGE OF BARRINGTON HILLS POLICE PENSION,-11085,0,2021,-11085
030050000,VILLAGE OF   BARTLETT,-30114,-1944,2021,-32058
030050020,VILLAGE OF BARTLETT   RB,-1264,-79,2021,-1343
030050085,VILLAGE OF BARTLETT POLICE PENSION ESCROW,-4748,-347,2021,-5095
030050106,VIL OF BARTLETT SPEC SERV AREA 1- BLUFF CITY,-61531,0,2021,-61531
030060000,VILLAGE OF BEDFORD PARK,-886189,0,2021,-886189
030060020,VILLAGE OF BEDFORD PARK   RB,-4348,0,2021,-4348
030060507,TIF VIL OF BEDFORD PARK-ARCHER AVE,-74947,0,2021,-74947
030070000,VILLAGE OF   BELLWOOD,-427685,-5358,2021,-433043
030070001,VILLAGE OF BELLWOOD LIBRARY FUND,-57284,-824,2021,-58108
030070023,VILLAGE OF BELLWOOD 2012 ESCROW,0,-679,2021,-679
030070080,VILLAGE OF BELLWOOD FIRE PENSION ESCROW,-40290,-554,2021,-40844
030070085,VILLAGE OF BELLWOOD POLICE PENSION ESCROW,-72986,-1010,2021,-73996
030070511,TIF VIL OF BELLWOOD-CENTRAL METRO 2014,-30096,0,2021,-30096
030070512,TIF VIL OF BELLWOOD-SOUTH 2014,-6820,0,2021,-6820
030070513,TIF VIL OF BELLWOOD-NORTH 2014,-97886,0,2021,-97886
030070515,TIF VIL OF BELLWOOD-ADDISON CREEK B-2014,-2100,0,2021,-2100
030070516,TIF VIL OF BELLWOOD-ADDISON CREEK C-2014,-720,-1427,2021,-2147
030080000,VILLAGE OF   BENSENVILLE,-5100,0,2021,-5100
030080020,VILLAGE OF BENSENVILLE   RB,-685,0,2021,-685
030080085,VILLAGE OF BENSENVILLE POLICE PENSION ESCROW,-429,0,2021,-429
030090000,VILLAGE OF   BERKELEY,-79780,0,2021,-79780
030090001,VILLAGE OF BERKELEY LIBRARY FUND,-9154,0,2021,-9154
030090085,VILLAGE OF BERKELEY POLICE PENSION ESCROW,-20087,0,2021,-20087
030090501,TIF VIL OF BERKELEY-MCDERMOTT/ST CHARLES 2,-14308,0,2021,-14308
030100000,CITY OF   BERWYN,-460264,-9173,2021,-469437
030100001,CITY OF BERWYN LIBRARY FUND,-59973,-1142,2021,-61115
030100021,CITY OF BERWYN BOND ESCROW ACCOUNT,-3795,-35,2021,-3830
030100080,CITY OF BERWYN FIRE PENSION ESCROW,-22619,-525,2021,-23144
030100085,CITY OF BERWYN POLICE PENSION ESCROW,-26533,-470,2021,-27003
030100501,TIF CITY OF BERWYN-OGDEN AVE,-7288,0,2021,-7288
030100502,TIF CITY OF BERWYN-ROOSEVELT RD,-34252,0,2021,-34252
030100503,TIF CITY OF BERWYN-SOUTH BERWYN CORRIDOR,-131320,-6168,2021,-137488
030100504,TIF CITY OF BERWYN-HARLEM AVE,-4307,0,2021,-4307
030110000,CITY OF   BLUE ISLAND,-128288,-5281,2021,-133569
030110001,CITY OF BLUE ISLAND LIBRARY FUND,-43312,-1839,2021,-45151
030110020,CITY OF BLUE ISLAND   RB,-1787,-55,2021,-1842
030110022,CITY OF BLUE ISLAND - 2019 ESCROW,-3623,-265,2021,-3888
030110080,CITY OF BLUE ISLAND FIRE PENSION ESCROW,-47795,-2114,2021,-49909
030110085,CITY OF BLUE ISLAND POLICE PENSION ESCROW,-73411,-3223,2021,-76634
030110503,TIF CITY OF BLUE ISLAND-4,-2922,0,2021,-2922
030110504,TIF CITY OF BLUE ISLAND-5,-18626,0,2021,-18626
030110506,TIF CITY OF BLUE ISLAND-7,-797,0,2021,-797
030120000,VILLAGE OF   BRIDGEVIEW,-478804,-968,2021,-479772
030120001,VILLAGE OF BRIDGEVIEW LIBRARY FUND,-68574,-160,2021,-68734
030120020,VILLAGE OF BRIDGEVIEW   RB,-3539,-5,2021,-3544
030120021,VILLAGE OF BRIDGEVIEW ESCROW ACCOUNT,-218411,-634,2021,-219045
030120080,VILLAGE OF BRIDGEVIEW FIRE PENSION ESCROW,-8102,0,2021,-8102
030120085,VILLAGE OF BRIDGEVIEW POLICE PENSION ESCROW,-7676,0,2021,-7676
030120104,VIL OF BRIDGEVIEW SPECIAL SERVICE AREA 5,-7118,0,2021,-7118
030120501,TIF VIL OF BRIDGEVIEW-HARLEM AVE,-46913,0,2021,-46913
030130000,VILLAGE OF   BROADVIEW,-135593,-86,2021,-135679
030130080,VILLAGE OF BROADVIEW FIRE PENSION ESCROW,-70657,-45,2021,-70702
030130085,VILLAGE OF BROADVIEW POLICE PENSION ESCROW,-47241,-30,2021,-47271
030130501,TIF VIL OF BROADVIEW-ROOSEVELT RD,-37046,0,2021,-37046
030140000,VILLAGE OF BROOKFIELD,-77764,-6733,2021,-84497
030140001,VILLAGE OF BROOKFIELD LIBRARY FUND,-24390,-2036,2021,-26426
030140020,VILLAGE OF BROOKFIELD   RB,-603,-7,2021,-610
030140080,VILLAGE OF BROOKFIELD FIRE PENSION ESCROW,-11312,-905,2021,-12217
030140085,VILLAGE OF BROOKFIELD POLICE PENSION ESCROW,-20824,-1711,2021,-22535
030140103,VILLAGE OF BROOKFIELD SPECIAL SERVICE AREA 4,-237,0,2021,-237
030140500,TIF VIL OF BROOKFIELD-OGDEN AVE,-12867,0,2021,-12867
030140502,TIF VIL OF BROOKFIELD-8 CORNERS,-9657,0,2021,-9657
030150000,VILLAGE OF BUFFALO GROVE,-18716,0,2021,-18716
030150020,VILLAGE OF BUFFALO GROVE   RB,-161,0,2021,-161
030150080,VILLAGE OF BUFFALO GROVE FIRE PENSION ESCROW,-3216,0,2021,-3216
030150085,VILLAGE OF BUFFALO GROVE POLICE PENSION,-4656,0,2021,-4656
030160000,CITY OF   BURBANK,-100802,-602,2021,-101404
030160020,CITY OF BURBANK   RB,-2238,-13,2021,-2251
030160021,CITY OF BURBANK ESCROW ACCOUNT,-92405,-565,2021,-92970
030160501,TIF CITY OF BURBANK-DOWNTOWN BURBANK,-15668,0,2021,-15668
030170000,VILLAGE OF   BURNHAM,-148723,0,2021,-148723
030170020,VILLAGE OF BURNHAM   RB,-31,0,2021,-31
030170085,VILLAGE OF BURNHAM POLICE PENSION ESCROW,-27289,0,2021,-27289
030180000,VILLAGE OF BURR RIDGE,-3837,-154,2021,-3991
030180020,VILLAGE OF BURR RIDGE RB,-1837,-76,2021,-1913
030180085,VILLAGE OF BURR RIDGE POLICE PENSION ESCROW,-5878,-271,2021,-6149
030190000,CITY OF   CALUMET CITY,-1014697,-56293,2021,-1070990
030190001,CITY OF CALUMET CITY LIBRARY FUND,-87002,-4770,2021,-91772
030190020,CITY OF CALUMET CITY   RB,-553,-10,2021,-563
030190080,CITY OF CALUMET CITY FIRE PENSION ESCROW,-146320,-8953,2021,-155273
030190085,CITY OF CALUMET CITY POLICE PENSION ESCROW,-188755,-12447,2021,-201202
030190100,CITY OF CALUMET CITY SPEC SERV AREA 1998-1,-4721,-2153,2021,-6874
030190101,CITY OF CALUMET CITY SPEC SERV AREA 1998-2,-33076,-3835,2021,-36911
030190500,TIF CITY OF CALUMET CITY,-99889,0,2021,-99889
030190501,TIF CITY OF CALUMET CITY-2,-41154,0,2021,-41154
030200000,VILLAGE OF   CALUMET PARK,-146992,0,2021,-146992
030200001,VILLAGE OF CALUMET PARK LIBRARY FUND,-7309,0,2021,-7309
030200020,VILLAGE OF CALUMET PARK   RB,-1208,0,2021,-1208
030200021,VILLAGE OF CALUMET PARK ESCROW ACCOUNT,-24879,0,2021,-24879
030200022,VILLAGE OF CALUMET PARK - JAWA BOND ESC ACCT,-36,0,2021,-36
030200085,VILLAGE OF CALUMET PARK POLICE PENSION,-33640,0,2021,-33640
030200501,TIF VIL OF CALUMET PARK-2,-40423,0,2021,-40423
030200502,TIF VIL OF CALUMET PARK-3,-16274,0,2021,-16274
030210000,CITY OF CHICAGO,-20848139,-862092,2021,-21710231
030210001,CITY OF CHICAGO LIBRARY FUND,-1547291,-70924,2021,-1618215
030210002,CITY OF CHICAGO SCHOOL BLDG & IMP FUND,-1865417,-81113,2021,-1946530
030210022,CITY OF CHICAGO-CPS BLDG 99A ESCROW ACCOUNT,0,-31,2021,-31
030210023,CITY OF CHICAGO-CPS BLDG 97A ESCROW ACCOUNT,0,-316,2021,-316
030210091,CITY OF CHICAGO - TIF RPM1 DISTRIBUTION,-9732,-628,2021,-10360
030210101,CITY OF CHICAGO SPEC SERV AREA 2,-15255,0,2021,-15255
030210102,CITY OF CHICAGO SPEC SERV AREA #3,-64114,0,2021,-64114
030210103,CITY OF CHICAGO SPEC SERV AREA #4,-1762,0,2021,-1762
030210104,CITY OF CHICAGO SPEC SERVICE AREA #5,-13070,0,2021,-13070
030210106,CITY OF CHICAGO SPECIAL SERVICE AREA 7,-7086,0,2021,-7086
030210107,CITY OF CHICAGO SPECIAL SERVICE AREA NO. 8,-3801,0,2021,-3801
030210109,CITY OF CHICAGO SPECIAL SERVICE AREA NO. 10,-9585,0,2021,-9585
030210112,CITY OF CHICAGO SPECIAL SERVICE AREA 13,-66705,-241,2021,-66946
030210113,CITY OF CHICAGO SPECIAL SERVICE AREA 14,-1426,0,2021,-1426
030210115,CITY OF CHICAGO SPECIAL SERVICE AREA 16,-7292,0,2021,-7292
030210117,CITY OF CHICAGO SPECIAL SERVICE AREA 18,-9066,-662,2021,-9728
030210118,CITY OF CHICAGO SPECIAL SERVICE AREA 19,-12525,0,2021,-12525
030210119,CITY OF CHICAGO SPECIAL SERVICE AREA 20,-7602,0,2021,-7602
030210120,CITY OF CHICAGO SPECIAL SERVICES AREA #21,-1119,0,2021,-1119
030210121,CITY OF CHICAGO SPECIAL SERVICE AREA #22,-9254,0,2021,-9254
030210122,CITY OF CHICAGO SPECIAL SERVICE AREA #23,-9963,-504,2021,-10467
030210123,CITY OF CHICAGO SPECIAL SERVICE AREA #24,-7123,-440,2021,-7563
030210124,CITY OF CHICAGO SPECIAL SERVICE AREA #25,-12225,0,2021,-12225
030210125,CITY OF CHICAGO SPECIAL SERVICE AREA #26,-10876,0,2021,-10876
030210127,CITY OF CHICAGO SPECIAL SERVICE AREA 28,-361,0,2021,-361
030210130,CITY OF CHICAGO SPECIAL SERVICE AREA 31,-37765,-6632,2021,-44397
030210131,CITY OF CHICAGO SPECIAL SERVICE AREA #32,-24556,0,2021,-24556
030210132,CITY OF CHICAGO SPECIAL SERVICE AREA #33,-14961,-1682,2021,-16643
030210133,CITY OF CHICAGO SPECIAL SERVICE AREA #34,-30231,-672,2021,-30903
030210134,CITY OF CHICAGO SPECIAL SERVICE AREA #35,-209,0,2021,-209
030210137,CITY OF CHICAGO SPECIAL SERVICE AREA #38,-15651,-1365,2021,-17016
030210138,CITY OF CHICAGO SPECIAL SERVICE AREA 39,-20915,0,2021,-20915
030210141,CITY OF CHICAGO SPECIAL SERVICE AREA 42,-25304,0,2021,-25304
030210142,CITY OF CHICAGO SPECIAL SERVICE AREA 43,-13669,0,2021,-13669
030210143,CITY OF CHICAGO SPECIAL SERVICE AREA 44,-849,0,2021,-849
030210144,CITY OF CHICAGO SPECIAL SERVICE AREA 45,-63515,0,2021,-63515
030210146,CITY OF CHICAGO SPECIAL SERVICE AREA 47,-12200,-705,2021,-12905
030210147,CITY OF CHICAGO SPECIAL SERVICE AREA #48,-14222,0,2021,-14222
030210148,CITY OF CHICAGO SPEC SERV AREA #49,-23470,-1563,2021,-25033
030210149,CITY OF CHICAGO SPEC SERV AREA #50,-19021,-424,2021,-19445
030210150,CITY OF CHICAGO SPEC SERV AREA #51,-41354,-1870,2021,-43224
030210151,CITY OF CHICAGO SPECIAL SERVICE AREA 52,-9430,0,2021,-9430
030210153,CITY OF CHICAGO SPECIAL SERVICE AREA 54,-1596,0,2021,-1596
030210154,CITY OF CHICAGO SPECIAL SERVICE AREA 8-2011,-28953,0,2021,-28953
030210155,CITY OF CHICAGO SPECIAL SERVICE AREA 17-2011,-18047,-336,2021,-18383
030210156,CITY OF CHICAGO SPECIAL SERVICE AREA 27-2011,-14651,-444,2021,-15095
030210157,CITY OF CHICAGO SPEC SERV AREA #55,-1683,0,2021,-1683
030210158,CITY OF CHICAGO SPEC SERV AREA #56,-1448,0,2021,-1448
030210161,CITY OF CHICAGO SPEC SERV AREA #59,-5626,0,2021,-5626
030210162,CITY OF CHICAGO SPEC SERV AREA #60,-7536,0,2021,-7536
030210163,CITY OF CHICAGO SPEC SERV AREA #61,-11685,-8,2021,-11693
030210164,CITY OF CHICAGO SPEC SERV AREA #62,-1261,0,2021,-1261
030210165,CITY OF CHICAGO SPEC SERV AREA #63,-2243,0,2021,-2243
030210166,CITY OF CHICAGO SPEC SERV AREA #64,-96,0,2021,-96
030210167,CITY OF CHICAGO SPECIAL SERVICE AREA 28-2014,-4129,0,2021,-4129
030210168,CITY OF CHICAGO SPECIAL SERVICE AREA 29-2014,-6777,-1746,2021,-8523
030210169,CITY OF CHICAGO SPECIAL SERVICE AREA 69,-22976,-1365,2021,-24341
030210171,CITY OF CHICAGO SPEC SERV AREA 1-2015,-25618,0,2021,-25618
030210172,CITY OF CHICAGO SPEC SERV AREA 35-2015,-2560,0,2021,-2560
030210173,CITY OF CHICAGO SPECIAL SERVICE AREA 21-2016,-6584,0,2021,-6584
030210174,CITY OF CHICAGO SPECIAL SERVICE AREA 71,-17218,-963,2021,-18181
030210175,CITY OF CHICAGO SPECIAL SERVICE AREA 72,-3293,0,2021,-3293
030210176,CITY OF CHICAGO SPECIAL SERVICE AREA 73,-5212,0,2021,-5212
030210500,TIF CITY OF CHICAGO-111TH ST/KEDZIE AVE,-21705,0,2021,-21705
030210502,TIF CITY OF CHICAGO-24TH ST/MICHIGAN AVE,-101301,0,2021,-101301
