keypin_concat,pins,has_range,pins2,pins3,check_me,Alea_added
1.3234E+13,"13-23-402-027-0000, 13-23-402-077-0000, 13-23-402-078-0000, 13-23-402-079-0000, 13-23-402-080-0000",0,13-23-402-079-0000,13-23-402-079-0000,0,
1.3234E+13,"13-23-402-027-0000, 13-23-402-077-0000, 13-23-402-078-0000, 13-23-402-079-0000, 13-23-402-080-0000",0,13-23-402-080-0000,13-23-402-080-0000,0,
1.3254E+13,13-25-404-001-0000,0,13-25-404-001-0000,13-25-404-001-0000,0,
1.43011E+13,14-30-113-030-0000,0,14-30-113-030-0000,14-30-113-030-0000,0,
1.43011E+13,"14-30-113-031-0000, 14-30-113-033-0000, 14-30-113-034-0000, 14-30-113-035-0000",0,14-30-113-031-0000,14-30-113-031-0000,0,
1.43011E+13,"14-30-113-031-0000, 14-30-113-033-0000, 14-30-113-034-0000, 14-30-113-035-0000",0,14-30-113-033-0000,14-30-113-033-0000,0,
1.43011E+13,"14-30-113-031-0000, 14-30-113-033-0000, 14-30-113-034-0000, 14-30-113-035-0000",0,14-30-113-034-0000,14-30-113-034-0000,0,
1.43011E+13,"14-30-113-031-0000, 14-30-113-033-0000, 14-30-113-034-0000, 14-30-113-035-0000",0,14-30-113-035-0000,14-30-113-035-0000,0,
1.43032E+13,"14-30-319-046-0000, 14-30-319-047-0000",0,14-30-319-046-0000,14-30-319-046-0000,0,
1.43032E+13,"14-30-319-046-0000, 14-30-319-047-0000",0,14-30-319-047-0000,14-30-319-047-0000,0,
1.43121E+13,14-31-210-035-0000,0,14-31-210-035-0000,14-31-210-035-0000,0,
1.4323E+13,14-32-302-016-1001,0,14-32-302-016-1001,14-32-302-016-1001,0,
1.43231E+13,14-32-309-010-0000 thru 14-32-309-014-0000,1,14-32-309-010-0000 thru 14-32-309-014-0000,thru,1,
1.43231E+13,14-32-309-010-0000 thru 14-32-309-014-0000,1,14-32-309-010-0000 thru 14-32-309-014-0000,14-32-309-011-0000,1,1
1.43231E+13,14-32-309-010-0000 thru 14-32-309-014-0000,1,14-32-309-010-0000 thru 14-32-309-014-0000,14-32-309-012-0000,1,1
1.43231E+13,14-32-309-010-0000 thru 14-32-309-014-0000,1,14-32-309-010-0000 thru 14-32-309-014-0000,14-32-309-013-0000,1,1
1.43231E+13,14-32-309-010-0000 thru 14-32-309-014-0000,1,14-32-309-010-0000 thru 14-32-309-014-0000,14-32-309-010-0000,0,
1.43231E+13,14-32-309-010-0000 thru 14-32-309-014-0000,1,14-32-309-010-0000 thru 14-32-309-014-0000,14-32-309-014-0000,0,
1.43231E+13,14-32-309-024-0000,0,14-32-309-024-0000,14-32-309-024-0000,0,
1.5021E+13,"15-02-101-007-0000, 15-02-101-008-0000, 15-02-101-009-0000, 15-02-101-010-0000",0,15-02-101-007-0000,15-02-101-007-0000,0,
1.5021E+13,"15-02-101-007-0000, 15-02-101-008-0000, 15-02-101-009-0000, 15-02-101-010-0000",0,15-02-101-008-0000,15-02-101-008-0000,0,
1.5021E+13,"15-02-101-007-0000, 15-02-101-008-0000, 15-02-101-009-0000, 15-02-101-010-0000",0,15-02-101-009-0000,15-02-101-009-0000,0,
1.5021E+13,"15-02-101-007-0000, 15-02-101-008-0000, 15-02-101-009-0000, 15-02-101-010-0000",0,15-02-101-010-0000,15-02-101-010-0000,0,
1.50431E+13,"15-04-310-009-0000, 15-04-310-017-0000",0,15-04-310-009-0000,15-04-310-009-0000,0,
1.50431E+13,"15-04-310-009-0000, 15-04-310-017-0000",0,15-04-310-017-0000,15-04-310-017-0000,0,
1.50441E+13,"15-04-412-011-0000, 15-04-412-012-0000",0,15-04-412-011-0000,15-04-412-011-0000,0,
1.50441E+13,"15-04-412-011-0000, 15-04-412-012-0000",0,15-04-412-012-0000,15-04-412-012-0000,0,
1.5064E+13,"15-06-400-036-0000, 15-06-400-041-0000",0,15-06-400-036-0000,15-06-400-036-0000,0,
1.5064E+13,"15-06-400-036-0000, 15-06-400-041-0000",0,15-06-400-041-0000,15-06-400-041-0000,0,
1.5094E+13,"15-09-400-076-0000, 15-09-400-094-0000",0,15-09-400-076-0000,15-09-400-076-0000,0,
1.5094E+13,"15-09-400-076-0000, 15-09-400-094-0000",0,15-09-400-094-0000,15-09-400-094-0000,0,
1.5094E+13,"15-09-400-103-0000, 15-09-400-104-0000",0,15-09-400-103-0000,15-09-400-103-0000,0,
1.5094E+13,"15-09-400-103-0000, 15-09-400-104-0000",0,15-09-400-104-0000,15-09-400-104-0000,0,
1.5094E+13,15-09-400-105-1001,0,15-09-400-105-1001,15-09-400-105-1001,0,
1.5094E+13,15-09-400-105-1002,0,15-09-400-105-1002,15-09-400-105-1002,0,
1.5094E+13,15-09-400-105-1003,0,15-09-400-105-1003,15-09-400-105-1003,0,
1.51136E+13,"15-11-359-019-0000, 15-11-359-020-0000, 15-11-359-021-0000",0,15-11-359-019-0000,15-11-359-019-0000,0,
1.51136E+13,"15-11-359-019-0000, 15-11-359-020-0000, 15-11-359-021-0000",0,15-11-359-020-0000,15-11-359-020-0000,0,
1.51136E+13,"15-11-359-019-0000, 15-11-359-020-0000, 15-11-359-021-0000",0,15-11-359-021-0000,15-11-359-021-0000,0,
1.5172E+13,"15-17-200-011-0000, 15-17-200-014-0000",0,15-17-200-011-0000,15-17-200-011-0000,0,
1.5172E+13,"15-17-200-011-0000, 15-17-200-014-0000",0,15-17-200-014-0000,15-17-200-014-0000,0,
1.5173E+13,"15-17-304-065-0000, 15-17-304-075-0000, 15-17-304-076-0000, 15-17-304-095-0000",0,15-17-304-065-0000,15-17-304-065-0000,0,
1.5173E+13,"15-17-304-065-0000, 15-17-304-075-0000, 15-17-304-076-0000, 15-17-304-095-0000",0,15-17-304-075-0000,15-17-304-075-0000,0,
1.5173E+13,"15-17-304-065-0000, 15-17-304-075-0000, 15-17-304-076-0000, 15-17-304-095-0000",0,15-17-304-076-0000,15-17-304-076-0000,0,
1.5173E+13,"15-17-304-065-0000, 15-17-304-075-0000, 15-17-304-076-0000, 15-17-304-095-0000",0,15-17-304-095-0000,15-17-304-095-0000,0,
1.5223E+13,"15-22-300-013-0000, 15-22-300-019-0000",0,15-22-300-013-0000,15-22-300-013-0000,0,
1.5223E+13,"15-22-300-013-0000, 15-22-300-019-0000",0,15-22-300-019-0000,15-22-300-019-0000,0,
1.60332E+13,16-03-316-011-0000,0,16-03-316-011-0000,16-03-316-011-0000,0,
1.6102E+13,16-10-200-039-0000,0,16-10-200-039-0000,16-10-200-039-0000,0,
1.6102E+13,16-10-202-002-0000,0,16-10-202-002-0000,16-10-202-002-0000,0,
1.6104E+13,"16-10-401-007-0000, 16-10-401-008-0000, 16-10-401-009-0000, 16-10-401-010-0000, 16-10-401-011-0000, 16-10-401-012-0000",0,16-10-401-007-0000,16-10-401-007-0000,0,
1.6104E+13,"16-10-401-007-0000, 16-10-401-008-0000, 16-10-401-009-0000, 16-10-401-010-0000, 16-10-401-011-0000, 16-10-401-012-0000",0,16-10-401-008-0000,16-10-401-008-0000,0,
1.6104E+13,"16-10-401-007-0000, 16-10-401-008-0000, 16-10-401-009-0000, 16-10-401-010-0000, 16-10-401-011-0000, 16-10-401-012-0000",0,16-10-401-009-0000,16-10-401-009-0000,0,
1.6104E+13,"16-10-401-007-0000, 16-10-401-008-0000, 16-10-401-009-0000, 16-10-401-010-0000, 16-10-401-011-0000, 16-10-401-012-0000",0,16-10-401-010-0000,16-10-401-010-0000,0,
1.6104E+13,"16-10-401-007-0000, 16-10-401-008-0000, 16-10-401-009-0000, 16-10-401-010-0000, 16-10-401-011-0000, 16-10-401-012-0000",0,16-10-401-011-0000,16-10-401-011-0000,0,
1.6104E+13,"16-10-401-007-0000, 16-10-401-008-0000, 16-10-401-009-0000, 16-10-401-010-0000, 16-10-401-011-0000, 16-10-401-012-0000",0,16-10-401-012-0000,16-10-401-012-0000,0,
1.61141E+13,16-11-410-037-0000,0,16-11-410-037-0000,16-11-410-037-0000,0,
1.61211E+13,16-12-113-032-0000,0,16-12-113-032-0000,16-12-113-032-0000,0,
1.6123E+13,16-12-301-019-0000 thru 16-12-301-021-0000,1,16-12-301-019-0000 thru 16-12-301-021-0000,thru,1,
1.6123E+13,16-12-301-019-0000 thru 16-12-301-021-0000,1,16-12-301-019-0000 thru 16-12-301-021-0000,16-12-301-020-0000,1,1
1.6123E+13,16-12-301-019-0000 thru 16-12-301-021-0000,1,16-12-301-019-0000 thru 16-12-301-021-0000,16-12-301-019-0000,0,
1.6123E+13,16-12-301-019-0000 thru 16-12-301-021-0000,1,16-12-301-019-0000 thru 16-12-301-021-0000,16-12-301-021-0000,0,
1.6123E+13,16-12-301-025-0000,0,16-12-301-025-0000,16-12-301-025-0000,0,
1.61231E+13,16-12-307-023-0000,0,16-12-307-023-0000,16-12-307-023-0000,0,
1.61231E+13,16-12-307-024-0000,0,16-12-307-024-0000,16-12-307-024-0000,0,
1.61342E+13,"16-13-422-002-0000, 16-13-422-003-0000 16-13-422-005-0000, 16-13-422-011-0000 thru 16-13-422-014-0000",1,16-13-422-011-0000 thru 16-13-422-014-0000,thru,1,
1.61342E+13,"16-13-422-002-0000, 16-13-422-003-0000 16-13-422-005-0000, 16-13-422-011-0000 thru 16-13-422-014-0000",1,16-13-422-011-0000 thru 16-13-422-014-0000,16-13-422-012-0000,,1
1.61342E+13,"16-13-422-002-0000, 16-13-422-003-0000 16-13-422-005-0000, 16-13-422-011-0000 thru 16-13-422-014-0000",1,16-13-422-011-0000 thru 16-13-422-014-0000,16-13-422-013-0000,1,1
1.61342E+13,"16-13-422-002-0000, 16-13-422-003-0000 16-13-422-005-0000, 16-13-422-011-0000 thru 16-13-422-014-0000",1,16-13-422-002-0000,16-13-422-002-0000,0,
1.61342E+13,"16-13-422-002-0000, 16-13-422-003-0000 16-13-422-005-0000, 16-13-422-011-0000 thru 16-13-422-014-0000",1,16-13-422-003-0000 16-13-422-005-0000,16-13-422-003-0000,0,
1.61342E+13,"16-13-422-002-0000, 16-13-422-003-0000 16-13-422-005-0000, 16-13-422-011-0000 thru 16-13-422-014-0000",1,16-13-422-003-0000 16-13-422-005-0000,16-13-422-005-0000,0,
1.61342E+13,"16-13-422-002-0000, 16-13-422-003-0000 16-13-422-005-0000, 16-13-422-011-0000 thru 16-13-422-014-0000",1,16-13-422-011-0000 thru 16-13-422-014-0000,16-13-422-011-0000,0,
1.61342E+13,"16-13-422-002-0000, 16-13-422-003-0000 16-13-422-005-0000, 16-13-422-011-0000 thru 16-13-422-014-0000",1,16-13-422-011-0000 thru 16-13-422-014-0000,16-13-422-014-0000,0,
1.61532E+13,16-15-321-008-0000,0,16-15-321-008-0000,16-15-321-008-0000,0,
1.62422E+13,"16-24-219-001-0000, 16-24-219-002-0000",0,16-24-219-001-0000,16-24-219-001-0000,0,
1.62422E+13,"16-24-219-001-0000, 16-24-219-002-0000",0,16-24-219-002-0000,16-24-219-002-0000,0,
1.62422E+13,"16-24-223-001-0000, 16-24-223-004-0000",0,16-24-223-001-0000,16-24-223-001-0000,0,
1.62422E+13,"16-24-223-001-0000, 16-24-223-004-0000",0,16-24-223-004-0000,16-24-223-004-0000,0,
1.62422E+13,16-24-223-002-0000,0,16-24-223-002-0000,16-24-223-002-0000,0,
1.6244E+13,16-24-403-055-0000,0,16-24-403-055-0000,16-24-403-055-0000,0,
1.6244E+13,16-24-404-003-0000,0,16-24-404-003-0000,16-24-404-003-0000,0,
1.62441E+13,"16-24-409-038-0000, 16-24-409-039-0000",0,16-24-409-038-0000,16-24-409-038-0000,0,
1.62441E+13,"16-24-409-038-0000, 16-24-409-039-0000",0,16-24-409-039-0000,16-24-409-039-0000,0,
1.62441E+13,16-24-409-040-0000,0,16-24-409-040-0000,16-24-409-040-0000,0,
1.62441E+13,16-24-410-001-0000,0,16-24-410-001-0000,16-24-410-001-0000,0,
1.62441E+13,16-24-411-001-0000,0,16-24-411-001-0000,16-24-411-001-0000,0,
1.62443E+13,16-24-426-001-0000,0,16-24-426-001-0000,16-24-426-001-0000,0,
1.62443E+13,16-24-426-002-0000 thru 16-24-426-005-0000,1,16-24-426-002-0000 thru 16-24-426-005-0000,thru,1,
1.62443E+13,16-24-426-002-0000 thru 16-24-426-005-0000,1,16-24-426-002-0000 thru 16-24-426-005-0000,16-24-426-003-0000,1,1
1.62443E+13,16-24-426-002-0000 thru 16-24-426-005-0000,1,16-24-426-002-0000 thru 16-24-426-005-0000,16-24-426-004-0000,1,1
1.62443E+13,16-24-426-002-0000 thru 16-24-426-005-0000,1,16-24-426-002-0000 thru 16-24-426-005-0000,16-24-426-002-0000,0,
1.62443E+13,16-24-426-002-0000 thru 16-24-426-005-0000,1,16-24-426-002-0000 thru 16-24-426-005-0000,16-24-426-005-0000,0,
1.6245E+13,16-24-504-017-0000,0,16-24-504-017-0000,16-24-504-017-0000,0,
1.62521E+13,16-25-214-001-0000 thru 16-25-214-003-0000,1,16-25-214-001-0000 thru 16-25-214-003-0000,16-25-214-002-0000,1,1
1.62521E+13,16-25-214-001-0000 thru 16-25-214-003-0000,1,16-25-214-001-0000 thru 16-25-214-003-0000,thru,1,
1.62521E+13,16-25-214-001-0000 thru 16-25-214-003-0000,1,16-25-214-001-0000 thru 16-25-214-003-0000,16-25-214-001-0000,0,
1.62521E+13,16-25-214-001-0000 thru 16-25-214-003-0000,1,16-25-214-001-0000 thru 16-25-214-003-0000,16-25-214-003-0000,0,
1.62721E+13,16-27-209-003-0000,0,16-27-209-003-0000,16-27-209-003-0000,0,
1.6341E+13,16-34-103-012-0000,0,16-34-103-012-0000,16-34-103-012-0000,0,
1.6342E+13,16-34-200-015-0000,0,16-34-200-015-0000,16-34-200-015-0000,0,
1.63421E+13,16-34-210-002-0000,0,16-34-210-002-0000,16-34-210-002-0000,0,
1.6352E+13,"16-35-200-001-0000, 16-35-200-002-0000",0,16-35-200-001-0000,16-35-200-001-0000,0,
1.6352E+13,"16-35-200-001-0000, 16-35-200-002-0000",0,16-35-200-002-0000,16-35-200-002-0000,0,
1.63541E+13,"16-35-406-003-0000, 16-35-406-026-0000",0,16-35-406-003-0000,16-35-406-003-0000,0,
1.63541E+13,"16-35-406-003-0000, 16-35-406-026-0000",0,16-35-406-026-0000,16-35-406-026-0000,0,
1.6362E+13,"16-36-200-001-0000, 16-36-200-002-0000",0,16-36-200-001-0000,16-36-200-001-0000,0,
1.6362E+13,"16-36-200-001-0000, 16-36-200-002-0000",0,16-36-200-002-0000,16-36-200-002-0000,0,
1.6362E+13,16-36-200-003-0000,0,16-36-200-003-0000,16-36-200-003-0000,0,
1.7032E+13,17-03-202-053-0000,0,17-03-202-053-0000,17-03-202-053-0000,0,
1.70422E+13,17-04-217-044-0000,0,17-04-217-044-0000,17-04-217-044-0000,0,
1.70512E+13,17-05-116-102-0000,0,17-05-116-102-0000,17-05-116-102-0000,0,
1.70521E+13,"17-05-212-001-0000, 17-05-212-002-0000, 17-05-212-003-0000, 17-05-212-004-0000, 17-05-212-005-0000, 17-05-212-006-0000, 17-05-212-007-0000, 17-05-212-008-0000, 17-05-212-009-0000, 17-05-212-010-0000",0,17-05-212-001-0000,17-05-212-001-0000,0,
1.70521E+13,"17-05-212-001-0000, 17-05-212-002-0000, 17-05-212-003-0000, 17-05-212-004-0000, 17-05-212-005-0000, 17-05-212-006-0000, 17-05-212-007-0000, 17-05-212-008-0000, 17-05-212-009-0000, 17-05-212-010-0000",0,17-05-212-002-0000,17-05-212-002-0000,0,
1.70521E+13,"17-05-212-001-0000, 17-05-212-002-0000, 17-05-212-003-0000, 17-05-212-004-0000, 17-05-212-005-0000, 17-05-212-006-0000, 17-05-212-007-0000, 17-05-212-008-0000, 17-05-212-009-0000, 17-05-212-010-0000",0,17-05-212-003-0000,17-05-212-003-0000,0,
1.70521E+13,"17-05-212-001-0000, 17-05-212-002-0000, 17-05-212-003-0000, 17-05-212-004-0000, 17-05-212-005-0000, 17-05-212-006-0000, 17-05-212-007-0000, 17-05-212-008-0000, 17-05-212-009-0000, 17-05-212-010-0000",0,17-05-212-004-0000,17-05-212-004-0000,0,
1.70521E+13,"17-05-212-001-0000, 17-05-212-002-0000, 17-05-212-003-0000, 17-05-212-004-0000, 17-05-212-005-0000, 17-05-212-006-0000, 17-05-212-007-0000, 17-05-212-008-0000, 17-05-212-009-0000, 17-05-212-010-0000",0,17-05-212-005-0000,17-05-212-005-0000,0,
1.70521E+13,"17-05-212-001-0000, 17-05-212-002-0000, 17-05-212-003-0000, 17-05-212-004-0000, 17-05-212-005-0000, 17-05-212-006-0000, 17-05-212-007-0000, 17-05-212-008-0000, 17-05-212-009-0000, 17-05-212-010-0000",0,17-05-212-006-0000,17-05-212-006-0000,0,
1.70521E+13,"17-05-212-001-0000, 17-05-212-002-0000, 17-05-212-003-0000, 17-05-212-004-0000, 17-05-212-005-0000, 17-05-212-006-0000, 17-05-212-007-0000, 17-05-212-008-0000, 17-05-212-009-0000, 17-05-212-010-0000",0,17-05-212-007-0000,17-05-212-007-0000,0,
1.70521E+13,"17-05-212-001-0000, 17-05-212-002-0000, 17-05-212-003-0000, 17-05-212-004-0000, 17-05-212-005-0000, 17-05-212-006-0000, 17-05-212-007-0000, 17-05-212-008-0000, 17-05-212-009-0000, 17-05-212-010-0000",0,17-05-212-008-0000,17-05-212-008-0000,0,
1.70521E+13,"17-05-212-001-0000, 17-05-212-002-0000, 17-05-212-003-0000, 17-05-212-004-0000, 17-05-212-005-0000, 17-05-212-006-0000, 17-05-212-007-0000, 17-05-212-008-0000, 17-05-212-009-0000, 17-05-212-010-0000",0,17-05-212-009-0000,17-05-212-009-0000,0,
1.70521E+13,"17-05-212-001-0000, 17-05-212-002-0000, 17-05-212-003-0000, 17-05-212-004-0000, 17-05-212-005-0000, 17-05-212-006-0000, 17-05-212-007-0000, 17-05-212-008-0000, 17-05-212-009-0000, 17-05-212-010-0000",0,17-05-212-010-0000,17-05-212-010-0000,0,
1.70542E+13,"17-05-415-003-0000, 17-05-415-004-0000",0,17-05-415-003-0000,17-05-415-003-0000,0,
1.70542E+13,"17-05-415-003-0000, 17-05-415-004-0000",0,17-05-415-004-0000,17-05-415-004-0000,0,
1.70542E+13,17-05-415-005-0000,0,17-05-415-005-0000,17-05-415-005-0000,0,
1.70623E+13,17-06-232-052-0000,0,17-06-232-052-0000,17-06-232-052-0000,0,
1.70623E+13,17-06-232-053-0000,0,17-06-232-053-0000,17-06-232-053-0000,0,
1.70623E+13,17-06-232-054-0000,0,17-06-232-054-0000,17-06-232-054-0000,0,
1.7073E+13,17-07-301-050-0000,0,17-07-301-050-0000,17-07-301-050-0000,0,
1.7073E+13,17-07-301-051-0000,0,17-07-301-051-0000,17-07-301-051-0000,0,
1.70731E+13,17-07-312-040-0000 thru 17-07-312-042-0000,1,17-07-312-040-0000 thru 17-07-312-042-0000,17-07-312-041-0000,1,1
1.70731E+13,17-07-312-040-0000 thru 17-07-312-042-0000,1,17-07-312-040-0000 thru 17-07-312-042-0000,thru,1,
1.70731E+13,17-07-312-040-0000 thru 17-07-312-042-0000,1,17-07-312-040-0000 thru 17-07-312-042-0000,17-07-312-040-0000,0,
1.70731E+13,17-07-312-040-0000 thru 17-07-312-042-0000,1,17-07-312-040-0000 thru 17-07-312-042-0000,17-07-312-042-0000,0,
1.70741E+13,"17-07-407-005-0000, 17-07-407-006-0000",0,17-07-407-005-0000,17-07-407-005-0000,0,
1.70741E+13,"17-07-407-005-0000, 17-07-407-006-0000",0,17-07-407-006-0000,17-07-407-006-0000,0,
1.70741E+13,"17-07-412-008-0000, 17-07-412-009-0000, 17-07-412-010-0000, 17-07-412-011-0000",0,17-07-412-008-0000,17-07-412-008-0000,0,
1.70741E+13,"17-07-412-008-0000, 17-07-412-009-0000, 17-07-412-010-0000, 17-07-412-011-0000",0,17-07-412-009-0000,17-07-412-009-0000,0,
1.70741E+13,"17-07-412-008-0000, 17-07-412-009-0000, 17-07-412-010-0000, 17-07-412-011-0000",0,17-07-412-010-0000,17-07-412-010-0000,0,
1.70741E+13,"17-07-412-008-0000, 17-07-412-009-0000, 17-07-412-010-0000, 17-07-412-011-0000",0,17-07-412-011-0000,17-07-412-011-0000,0,
1.70741E+13,"17-07-412-021-0000, 17-07-412-022-0000, 17-07-412-023-0000, 17-07-412-024-0000, 17-07-412-025-0000, 17-07-412-026-0000, 17-07-412-027-0000",0,17-07-412-021-0000,17-07-412-021-0000,0,
1.70741E+13,"17-07-412-021-0000, 17-07-412-022-0000, 17-07-412-023-0000, 17-07-412-024-0000, 17-07-412-025-0000, 17-07-412-026-0000, 17-07-412-027-0000",0,17-07-412-022-0000,17-07-412-022-0000,0,
1.70741E+13,"17-07-412-021-0000, 17-07-412-022-0000, 17-07-412-023-0000, 17-07-412-024-0000, 17-07-412-025-0000, 17-07-412-026-0000, 17-07-412-027-0000",0,17-07-412-023-0000,17-07-412-023-0000,0,
1.70741E+13,"17-07-412-021-0000, 17-07-412-022-0000, 17-07-412-023-0000, 17-07-412-024-0000, 17-07-412-025-0000, 17-07-412-026-0000, 17-07-412-027-0000",0,17-07-412-024-0000,17-07-412-024-0000,0,
1.70741E+13,"17-07-412-021-0000, 17-07-412-022-0000, 17-07-412-023-0000, 17-07-412-024-0000, 17-07-412-025-0000, 17-07-412-026-0000, 17-07-412-027-0000",0,17-07-412-025-0000,17-07-412-025-0000,0,
1.70741E+13,"17-07-412-021-0000, 17-07-412-022-0000, 17-07-412-023-0000, 17-07-412-024-0000, 17-07-412-025-0000, 17-07-412-026-0000, 17-07-412-027-0000",0,17-07-412-026-0000,17-07-412-026-0000,0,
1.70741E+13,"17-07-412-021-0000, 17-07-412-022-0000, 17-07-412-023-0000, 17-07-412-024-0000, 17-07-412-025-0000, 17-07-412-026-0000, 17-07-412-027-0000",0,17-07-412-027-0000,17-07-412-027-0000,0,
1.70831E+13,17-08-310-001-0000,0,17-08-310-001-0000,17-08-310-001-0000,0,
1.70831E+13,17-08-310-002-0000,0,17-08-310-002-0000,17-08-310-002-0000,0,
1.70831E+13,17-08-311-001-0000,0,17-08-311-001-0000,17-08-311-001-0000,0,
