agency_number,agency_name,refunded_sp_ptab,refunded_coe,year,total_refunds,home_rule_ind,agg_ext_base_year,lim_numerator,lim_denominator,lim_rate,prior_eav,curr_new_prop,cty_cook_eav,cty_total_eav,pct_burden,total_levy,total_max_levy,total_prelim_rate,total_reduced_levy,total_final_levy,total_final_rate,reduction_type,reduction_pct,total_non_cap_ext,total_ext,pct_inCook,refund_levyshare
010010061,COUNTY OF COOK 2012C BOND ESCROW ACCOUNT,-251778,-31403,2021,-283181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010062,COUNTY OF COOK 2012D BOND ESCROW ACCOUNT,0,-6999,2021,-6999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010063,COUNTY OF COOK 2013A BOND ESCROW ACCOUNT,0,-11206,2021,-11206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010064,COUNTY OF COOK 2013B BOND ESCROW ACCOUNT,-16598,-1853,2021,-18451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010065,COUNTY OF COOK 2014A BOND ESCROW ACCOUNT,-234411,-22065,2021,-256476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010066,COUNTY OF COOK 2014C BOND ESCROW ACCOUNT,-39360,-4089,2021,-43449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010067,COUNTY OF COOK 2016A BOND ESCROW ACCOUNT,-212896,-23055,2021,-235951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010068,COUNTY OF COOK 2018 BOND ESCROW ACCOUNT,-125726,-12461,2021,-138187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010069,COUNTY OF COOK 2019 BOND ESCROW ACCOUNT,-18851,-19063,2021,-37914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010070,COUNTY OF COOK 2021A BOND ESCROW ACCOUNT,-2,0,2021,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010010090,COUNTY OF COOK EMPLOYEE ANNUITY AND BENEFITS,-1830649,-199428,2021,-2030077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010020000,FOREST PRESERVE DISTRICT OF COOK COUNTY,-1014170,-106860,2021,-1121030,0,2020,88762477,NA,0.052,NA,NA,NA,NA,1,101750496,101750496,0.058,NA,101750496,0.058,NA,NA,14438178.52,101763805.32,NA,0.011
010020021,FOREST PRESERVE BOND ESCROW ACCOUNT,-9092,-5920,2021,-15012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010020090,FOREST PRESERVE EMPLOYEE ANNUITY & BENEFIT,-51230,-5662,2021,-56892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010000,TOWN BARRINGTON,-5118,-280,2021,-5398,0,2020,468261,1292975496,0.037,1399384325,157979244,1450954740,1450954740,1,481049,481049,0.034,NA,481049,0.034,NA,NA,5803.82,493324.61,1,0.011
020010002,GENERAL ASSISTANCE BARRINGTON,-167,-9,2021,-176,0,2019,14312,1292975496,0.002,1399384325,157979244,1450954740,1450954740,1,14589,14589,0.001,NA,14589,0.001,NA,NA,NA,14509.55,1,0.012
020010003,ROAD AND BRIDGE BARRINGTON,0,0,2021,0,0,NA,0,NA,0,1399384325,157979244,1450954740,1450954740,1,0,0,0,NA,0,0,NA,NA,NA,0,1,NA
020020000,TOWN BERWYN,-2594,-5934,2021,-8528,0,2020,2143710,795864658,0.27,866439945,1021074,796885732,796885732,1,445034,445034,0.056,420883,429411,0.054,AGENCY,NA,8765.74,430318.3,1,0.02
020020002,GENERAL ASSISTANCE BERWYN,-2254,-5217,2021,-7471,0,2020,2143710,795864658,0.27,866439945,1021074,796885732,796885732,1,389414,389414,0.049,368272,375742,0.048,AGENCY,NA,7171.97,382505.15,1,0.02
020020004,BERWYN TOWNSHIP COMM MENTAL HEALTH DIST,-3915,-9099,2021,-13014,0,2020,2143710,795864658,0.27,866439945,1021074,796885732,796885732,1,684035,684035,0.086,646999,660014,0.083,AGENCY,NA,12750.17,661415.16,1,0.02
020020005,PUBLIC HEALTH BERWYN,-4391,-10037,2021,-14428,0,2020,2143710,795864658,0.27,866439945,1021074,796885732,796885732,1,751033,751033,0.095,710240,724667,0.091,AGENCY,NA,14343.94,725166.02,1,0.02
020030000,TOWN BLOOM,-28693,-437,2021,-29130,0,2020,3494439,1104117421,0.317,1213448303,3478495,1107595916,1107595916,1,2614523,2614523,0.236,2521995,2551125,0.231,CLERK,0.9753839999999999,28797.49,2558546.57,1,0.011
020030002,GENERAL ASSISTANCE BLOOM,-11089,-169,2021,-11258,0,2020,3494439,1104117421,0.317,1213448303,3478495,1107595916,1107595916,1,1025137,1025137,0.093,987975,999233,0.091,CLERK,0.9753839999999999,11075.96,1007912.28,1,0.011
020030003,ROAD AND BRIDGE BLOOM,-4548,-68,2021,-4616,0,2020,787478,1104117421,0.072,1213448303,3478495,1107595916,1107595916,1,815718,815718,0.074,788608,793224,0.072,CLERK,0.9729720000000001,4430.38,797469.06,1,0.006
020040000,TOWN BREMEN,-12913,-429,2021,-13342,0,2020,1859367,1718878777,0.109,1890407922,7217680,1726096457,1726096457,1,1628478,1628478,0.095,1531047,1544389,0.09,CLERK,0.9478260000000001,13808.77,1553486.81,1,0.009
020040002,GENERAL ASSISTANCE BREMEN,-2828,-95,2021,-2923,0,2020,1859367,1718878777,0.109,1890407922,7217680,1726096457,1726096457,1,370929,370929,0.022,348671,351594,0.021,CLERK,0.9478260000000001,3452.19,362480.26,1,0.008
020040003,ROAD AND BRIDGE BREMEN,-4307,-168,2021,-4475,0,2020,996774,1718878777,0.058,1890407922,7217680,1726096457,1726096457,1,1067602,1067602,0.062,994231,998706,0.058,CLERK,0.935483,5178.29,1001135.95,1,0.004
020050000,TOWN CALUMET,-8014,-726,2021,-8740,0,2020,1214416,197792866,0.614,220561750,32726,197825592,197825592,1,966949,914192,0.463,NA,914192,0.463,AGENCY,NA,8704.33,915932.49,1,0.01
020050002,GENERAL ASSISTANCE CALUMET,-2559,-451,2021,-3010,0,2020,1214416,197792866,0.614,220561750,32726,197825592,197825592,1,338826,337895,0.171,194421,312178,0.158,AGENCY,NA,2967.38,312564.44,1,0.01
020050003,ROAD AND BRIDGE CALUMET,-1802,-187,2021,-1989,0,2020,308636,197792866,0.156,220561750,32726,197825592,197825592,1,330857,330087,0.167,211492,310304,0.157,AGENCY,NA,1978.26,310586.18,1,0.006
020060000,TOWN OF CICERO,-139403,-25689,2021,-165092,1,NA,NA,NA,NA,840470438,2577431,774266737,774266737,1,43752047,43752047,5.651,NA,43752047,5.651,NA,NA,NA,43753813.31,1,0.004
020060001,TOWN OF CICERO LIBRARY FUND,-13971,-2312,2021,-16283,1,NA,NA,NA,NA,840470438,2577431,774266737,774266737,1,1944855,1944855,0.252,NA,1944855,0.252,NA,NA,NA,1951152.18,1,0.008
020060002,GENERAL ASSISTANCE CICERO,-1281,-183,2021,-1464,1,NA,NA,NA,NA,840470438,2577431,774266737,774266737,1,144283,144283,0.019,NA,144283,0.019,NA,NA,NA,147110.68,1,0.01
020060004,CICERO COMM MENTAL HLTH FD,-4677,-810,2021,-5487,1,NA,NA,NA,NA,840470438,2577431,774266737,774266737,1,664142,664142,0.086,NA,664142,0.086,NA,NA,NA,665869.39,1,0.008
020060021,TOWN OF CICERO ESCROW ACCOUNT,0,0,2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020060022,TOWN OF CICERO-94 & 99 ESCROW,0,0,2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020060023,TOWN OF CICERO - JUDGEMENT FUND,-28109,-3093,2021,-31202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020060024,TOWN OF CICERO - 2007 ESCROW,-5500,-910,2021,-6410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020060025,TOWN OF CICERO - 2010B ESCROW ACCOUNT,-4631,-788,2021,-5419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020060026,TOWN OF CICERO - 2012 ESCROW,-14822,-2494,2021,-17316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020060027,TOWN OF CICERO - 2014A ESCROW,-378,-220,2021,-598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020060028,TOWN OF CICERO - 2017 ESCROW,-8652,-1775,2021,-10427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020060080,TOWN OF CICERO FIRE PENSION ESCROW,-37888,-8180,2021,-46068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020060085,TOWN OF CICERO - POLICE PENSION ESCROW ACCT,-48621,-8257,2021,-56878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020060100,TOWN OF CICERO SPECIAL SERVICE AREA #2,0,0,2021,0,1,NA,NA,NA,NA,38549501,0,37156898,37156898,1,0,0,0,NA,0,0,NA,NA,NA,0,1,NA
020060500,TIF TOWN OF CICERO,-227504,0,2021,-227504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020060501,TIF TOWN OF CICERO-LARAMIE/25TH ST,-198,0,2021,-198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020060502,TIF TOWN OF CICERO-54TH AVE,-1577,0,2021,-1577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020060503,TIF TOWN OF CICERO-TOWN SQUARE,-44070,0,2021,-44070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020060504,TIF TOWN OF CICERO-1400 S. LARAMIE,0,0,2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020070000,TOWN ELK GROVE,-50378,-1527,2021,-51905,0,2019,2854893,NA,0.072,NA,40699467,NA,NA,1,2347230,2347230,0.058,NA,2347230,0.058,NA,NA,52729.96,2352567.35,NA,0.022
020070002,GENERAL ASSISTANCE ELK GROVE,-10144,-313,2021,-10457,0,2020,2854893,NA,0.072,NA,40699467,NA,NA,1,466459,466459,0.012,NA,466459,0.012,NA,NA,12168.45,486738.07,NA,0.022
020070003,TRUE,-6408,-190,2021,-6598,0,2019,602841,NA,0.015,NA,40699467,NA,NA,1,562567,562567,0.014,NA,562567,0.014,NA,NA,8112.3,567861.09,NA,0.012
020080000,TOWN OF EVANSTON,0,0,2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020080002,GENERAL ASSISTANCE EVANSTON,0,0,2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020080003,MENTAL HEALTH DISTRICT EVANSTON,0,0,2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
020090000,TOWN HANOVER,-61625,-2368,2021,-63993,0,2020,9411214,2074295770,0.454,NA,12077234,2086373004,2086373004,1,6018464,6018464,0.289,5912779,5976772,0.287,CLERK,0.9934350000000001,64677.56,5987890.52,1,0.011
020090002,GENERAL ASSISTANCE HANOVER,-4750,-182,2021,-4932,0,2020,9411214,2074295770,0.454,NA,12077234,2086373004,2086373004,1,460821,460821,0.023,454829,459761,0.022,CLERK,0.9934350000000001,4172.75,459002.06,1,0.011
020090003,TOWN HANOVER ROAD FUND,-10578,-704,2021,-11282,0,2020,9411214,2074295770,0.454,NA,12077234,2086373004,2086373004,1,1743661,1743661,0.084,1721257,1732539,0.083,CLERK,0.9934350000000001,10431.87,1731689.59,1,0.007
020090004,HANOVER COMM MENTAL HLTH FAC&SERV DIST,-13887,-533,2021,-14420,0,2020,9411214,2074295770,0.454,NA,12077234,2086373004,2086373004,1,1386738,1386738,0.067,1364487,1378906,0.067,CLERK,0.9934350000000001,14604.61,1397869.91,1,0.01
020100000,TOWN LEMONT,-5720,-1772,2021,-7492,0,2020,1017716,932307790,0.11,1021207293,11155408,943463198,943463198,1,1001453,1001453,0.107,985002,992494,0.106,AGENCY,NA,7547.71,1000070.99,1,0.008
020100002,GENERAL ASSISTANCE LEMONT,-250,-44,2021,-294,0,2019,1017716,932307790,0.11,1021207293,11155408,943463198,943463198,1,52886,52886,0.006,52118,52412,0.006,AGENCY,NA,NA,56607.79,1,0.006
020100003,ROAD AND BRIDGE LEMONT,-5232,-948,2021,-6180,0,2020,1211539,932307790,0.13,1021207293,11155408,943463198,943463198,1,1307512,1307512,0.139,1225557,1231737,0.131,CLERK,0.942028,6604.24,1235936.79,1,0.005
020110000,TOWN LEYDEN,-61770,-448,2021,-62218,0,2020,4452458,NA,0.137,NA,8301927,NA,NA,1,4465973,4465973,0.137,4131935,4194152,0.129,CLERK,0.938356,61962.73,4206943.4,NA,0.015
020110002,GENERAL ASSISTANCE LEYDEN,-3890,-30,2021,-3920,0,2020,4452458,NA,0.137,NA,8301927,NA,NA,1,348561,348561,0.011,322858,326778,0.01,CLERK,0.938356,3261.2,326119.64,NA,0.012
020110003,ROAD AND BRIDGE LEYDEN,-51808,-390,2021,-52198,0,2020,5601480,NA,0.173,NA,8301927,NA,NA,1,6025990,6025990,0.185,5619040,5671239,0.174,CLERK,0.940217,52179.14,5674481.8,NA,0.009
020110008,TOWN LEYDEN - WESTDALE PARK DIST,-1266,0,2021,-1266,0,2020,114380,43311749,0.265,47000450,6801,43318550,43318550,1,123248,123248,0.285,114620,115886,0.268,CLERK,0.939716,1256.24,116093.71,1,0.011
020120000,TOWN LYONS,-33085,-2185,2021,-35270,0,2020,6026331,NA,0.137,NA,12243099,NA,NA,1,1906265,1906265,0.043,NA,1906265,0.043,NA,NA,35523.23,1909373.81,NA,0.019
020120002,GENERAL ASSISTANCE LYONS,-850,-97,2021,-947,0,2019,6026331,NA,0.137,NA,12243099,NA,NA,1,210745,210745,0.005,NA,210745,0.005,NA,NA,NA,222020.21,NA,0.004
020120003,ROAD AND BRIDGE LYONS,-11199,-762,2021,-11961,0,2020,1757617,NA,0.04,NA,12243099,NA,NA,1,1700956,1700956,0.039,NA,1700956,0.039,NA,NA,13321.21,1731757.64,NA,0.007
020120004,LYONS MENTAL HEALTH,-50418,-3479,2021,-53897,0,2020,6026331,NA,0.137,NA,12243099,NA,NA,1,3844914,3844914,0.087,NA,3844914,0.087,NA,NA,53284.85,3863151.66,NA,0.014
020120006,LYONS TWP SPECIAL POLICE DIST,-399,-4,2021,-403,0,2020,104082,126151114,0.083,136860028,198861,126349975,126349975,1,93721,93721,0.075,NA,93721,0.075,NA,NA,379.05,94762.48,1,0.004
020130000,TOWN MAINE,-77990,-5023,2021,-83013,0,2018,3993659,NA,0.087,NA,91484141,NA,NA,1,4428581,4428581,0.095,3403675,3486688,0.075,CLERK,0.783783,84621.77,3525907.23,NA,0.024
020130002,GENERAL ASSISTANCE MAINE,-13448,-444,2021,-13892,0,2020,3993659,NA,0.087,NA,91484141,NA,NA,1,866001,866001,0.019,667571,681464,0.015,CLERK,0.783783,14103.63,705181.45,NA,0.02
020130003,ROAD AND BRIDGE MAINE,-37022,-4722,2021,-41744,0,2020,2735826,NA,0.06,NA,91484141,NA,NA,1,2725464,2725464,0.058,NA,2725464,0.058,NA,NA,42310.89,2726701.59,NA,0.015
020140000,TOWN NEW TRIER,-32972,-229,2021,-33201,0,2020,3223029,NA,0.068,NA,22361832,NA,NA,1,2909667,2909667,0.061,2835049,2868250,0.06,CLERK,0.985507,33693.29,2887996.32,NA,0.012
020140002,GENERAL ASSISTANCE NEW TRIER,-4727,-33,2021,-4760,0,2019,3223029,NA,0.068,NA,22361832,NA,NA,1,434003,434003,0.009,423572,428332,0.009,CLERK,0.985507,4813.33,433199.45,NA,0.011
020150000,TOWN NILES,-30178,-418,2021,-30596,0,2020,2826090,NA,0.058,NA,4183932,NA,NA,1,2637355,2637355,0.054,2439406,2470002,0.051,CLERK,0.935483,29331.54,2493180.75,NA,0.012
020150002,GENERAL ASSISTANCE NILES,-4655,-65,2021,-4720,0,2020,2826090,NA,0.058,NA,4183932,NA,NA,1,401398,401398,0.009,371532,376252,0.008,CLERK,0.935483,4888.59,391087.18,NA,0.013
